module_name,source_file,source_class,parent_module,pin_order,pin_roles,instance_count,instance_count_formula,parameter_dependencies,operation_dependencies,row_dependencies,column_dependencies,drive_scale_dependencies,child_modules,consumer_modules,control_signals_generated
ADDR_DFF,sram_compiler/subcircuits/time_generate.py,ADDR_DFF,TIME,VDD|VSS|CLK|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,power|ground|clock|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg,1,1,"num_rows,length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,depends on num_rows or address_width=ceil(log2(num_rows)),none or indirect via parent topology,none,DFF,TIME,A_dff0|A_dff1|A_dff2|A_dff3
AND2,sram_compiler/subcircuits/standard_cell.py,AND2,DECODER3_8|OPENYIELD_SRAM_TOP_V1|TIME,VDD|VSS|A|B|Z,power|ground|address_or_address_reg|signal|signal,11,2 in TIME for gated clocks plus decoder-side uses outside TIME closure,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,PINV|PNAND2,DECODER3_8|OPENYIELD_SRAM_TOP_V1|TIME,
AND3,sram_compiler/subcircuits/standard_cell.py,AND3,DECODER3_8|TIME,VDD|VSS|A|B|C|Z,power|ground|address_or_address_reg|signal|signal|signal,10,2 in TIME for w_en and s_en,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",sizing depends on write-capable data path width,none or indirect via parent topology,depends on num_cols or derived scaling,"w_en_scale=max(1, ceil(num_cols/64))",PINV|PNAND3,DECODER3_8|TIME,
DATA_DFF,sram_compiler/subcircuits/time_generate.py,DATA_DFF,TIME,VDD|VSS|CLK|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15,power|ground|clock|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg,1,"1 if operation in {write, read&write} else 0","num_cols,operation,length,nmos_model,pmos_model",present only in write/read&write,none or indirect via parent topology,depends on num_cols or derived scaling,none,DFF,TIME,DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15
DFF,sram_compiler/subcircuits/time_generate.py,dff,ADDR_DFF|DATA_DFF|DFF_BUF,VDD|VSS|D|Q|CLK,power|ground|signal|signal|clock,21,"ceil(log2(num_rows)) + (num_cols if operation in {write, read&write} else 0) + 1 template in each DFF_BUF","length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,PINV1|TRANSMISSION_GATE,ADDR_DFF|DATA_DFF|DFF_BUF,
DFF_BUF,sram_compiler/subcircuits/time_generate.py,DFF_BUF,TIME,VDD|VSS|D|Q|QB|CLK,power|ground|signal|signal|signal|clock,2,2 in TIME for cs/web register capture,"length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,DFF|PINV1|PINV2,TIME,
NMOS_VTG,,NMOS_VTG,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,,,63,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,
PINV,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV,AND2|AND3|DECODER3_8|D_LATCH|TIME|WORDLINEDRIVER,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,12,operation- and topology-dependent support inverter count,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,AND2|AND3|DECODER3_8|D_LATCH|TIME|WORDLINEDRIVER,
PINV1,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV1,DFF|DFF_BUF|delay_chain|pdrive|pdrive2_for_pre|wl_pdrive,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,70,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,DFF|DFF_BUF|delay_chain|pdrive|pdrive2_for_pre|wl_pdrive,
PINV2,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV2,DFF_BUF|pdrive|pdrive2_for_pre|wl_pdrive,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,4,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,DFF_BUF|pdrive|pdrive2_for_pre|wl_pdrive,
