blocker_id,blocker_category,affected_net_or_module,c4_resolution_status,route_id,route_status_after_C4,source_pin_status,target_pin_status,shape_verified_in_gds,blocks_complete_gds_after_C4,remaining_gap,next_required_action
BLK_001,CONTRACT_ROUTE,WL[0],RESOLVED,ROUTE_0001,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_002,CONTRACT_ROUTE,WL[1],RESOLVED,ROUTE_0002,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_003,CONTRACT_ROUTE,WL[2],RESOLVED,ROUTE_0003,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_004,CONTRACT_ROUTE,WL[3],RESOLVED,ROUTE_0004,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_005,CONTRACT_ROUTE,BL[0],RESOLVED,ROUTE_0005,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_006,CONTRACT_ROUTE,BL[0],RESOLVED,ROUTE_0005,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_007,CONTRACT_ROUTE,BL[0],RESOLVED,ROUTE_0005,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_008,CONTRACT_ROUTE,BL[0],RESOLVED,ROUTE_0005,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_009,CONTRACT_ROUTE,BR[0],RESOLVED,ROUTE_0006,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_010,CONTRACT_ROUTE,BR[0],RESOLVED,ROUTE_0006,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_011,CONTRACT_ROUTE,BR[0],RESOLVED,ROUTE_0006,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_012,CONTRACT_ROUTE,BR[0],RESOLVED,ROUTE_0006,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_013,CONTRACT_ROUTE,BL[1],RESOLVED,ROUTE_0013,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_014,CONTRACT_ROUTE,BL[1],RESOLVED,ROUTE_0013,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_015,CONTRACT_ROUTE,BL[1],RESOLVED,ROUTE_0013,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_016,CONTRACT_ROUTE,BL[1],RESOLVED,ROUTE_0013,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_017,CONTRACT_ROUTE,BR[1],RESOLVED,ROUTE_0014,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_018,CONTRACT_ROUTE,BR[1],RESOLVED,ROUTE_0014,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_019,CONTRACT_ROUTE,BR[1],RESOLVED,ROUTE_0014,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_020,CONTRACT_ROUTE,BR[1],RESOLVED,ROUTE_0014,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
