openyield_module,openyield_role,module_gds_path,generation_status,generation_strategy,bbox_width,bbox_height,pin_count,rail_status,contract_pin_used,candidate_geometry_used,golden_target_cell_or_region,golden_match_status,bbox_compatible,pin_compatible,rail_compatible,pitch_compatible,layer_compatible,floorplan_safe,placement_safe,routing_safe,power_safe,decision,decision_reason,first_substitution_priority,requires_M11B_metadata_extraction,requires_wrapper,requires_layoutgen_fallback,human_review_required
CONTROL_LOGIC,CONTROL_LOGIC,outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,6.105,4.235,11,candidate_row_rail_metadata_exported,True,True,control_logic;control_glue,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
DELAY_CHAIN,DELAY_CHAIN,outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,composition_backed_candidate_generator,3.29,2.585,5,candidate_row_rail_metadata_exported,True,True,gen_delay_inv chain,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
DFF_ROW,DFF_ROW,outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,11.44,2.67,5,candidate_row_rail_metadata_exported,True,True,dff array,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
GATED_CLOCK_PATH,CLOCK_PATH,outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,2.6825,2.96,5,candidate_row_rail_metadata_exported,True,True,control_glue,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
PRECHARGE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,4.245,4.065,5,candidate_row_rail_metadata_exported,True,True,control_glue,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
SENSE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,3.4225,7.575,5,candidate_row_rail_metadata_exported,True,True,control_glue,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
WORDLINE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,3.8675,3.07,5,candidate_row_rail_metadata_exported,True,True,control_glue,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
WRITE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,1.6625,6.76,5,candidate_row_rail_metadata_exported,True,True,control_glue,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
bitcell_array,ARRAY_CORE,outputs/openyield_module_gds/bitcell_array/bitcell_array.gds,L3_GDS_GENERATED_WITH_CONTRACT_PINS,array_generator_with_l2_orientation_policy,3.58,6.26,7,module_boundary_rails_exported,True,False,cell_1rw,UNKNOWN_GOLDEN_REGION,False,False,True,True,True,False,False,False,False,CONSTRAINT_EXTRACTION_ONLY,"Module metadata is useful for bbox/pin/rail/pitch extraction, but contract pins, array sizing scope, or wrapper assumptions block direct substitution.",P1,True,False,False,True
column_mux,COLUMN_MUX,outputs/openyield_module_gds/column_mux/column_mux.gds,L3_GDS_GENERATED,hardmacro_wrapper_generator,0.8175,1.88,10,hardmacro_wrapper_rail_metadata_exported,False,False,gen_col_mux_vdd_labeled,ALIAS_GOLDEN_CELL,True,True,True,True,True,True,True,True,True,DIRECT_HARDMACRO_REPLACE,"Wrapper macro has a real golden leaf counterpart, non-contract pin geometry, and compatible rails/bbox for a guarded selective substitution trial.",P0,True,True,False,True
