check_area,net_or_module,category,status,geometry_available,uses_contract_pin,uses_approximate_geometry,affected_modules,evidence_file,blocks_R4,blocks_drc_clean,blocks_lvs_clean,next_required_action
wordline,WL[0],WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,True,False,wordline_driver_inst;bitcell_array_inst,outputs/openyield_routing_power_pin/current_supported_config/wordline_routing_report.json,False,True,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
wordline,WL[1],WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,True,False,wordline_driver_inst;bitcell_array_inst,outputs/openyield_routing_power_pin/current_supported_config/wordline_routing_report.json,False,True,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
wordline,WL[2],WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,True,False,wordline_driver_inst;bitcell_array_inst,outputs/openyield_routing_power_pin/current_supported_config/wordline_routing_report.json,False,True,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
wordline,WL[3],WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,True,False,wordline_driver_inst;bitcell_array_inst,outputs/openyield_routing_power_pin/current_supported_config/wordline_routing_report.json,False,True,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
bitline,BL[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
