openyield_module,openyield_physical_role,openyield_netlist_evidence,layoutgen_target_generator,layoutgen_target_cell,implementation_mode,requires_floorplan_change,requires_placement_change,requires_routing_change,requires_power_change,can_implement_in_next_stage,fallback_if_not_implemented,blocking_reason,code_files_to_modify
bitcell_array,ARRAY_CORE,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,ArrayAggregationPlanner;StandaloneSRAMGenerator,cell_1rw,DIRECT_GENERATOR_BINDING,False,False,False,False,True,retain M3F optimized storage array aggregation,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/array_aggregation.py;sram_layoutgen/openyield_adapter/M3F_optimized_layoutgen_restore.py
dummy_array,ARRAY_DUMMY,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,ArrayAggregationPlanner;StandaloneSRAMGenerator,dummy_cell_1rw,DIRECT_GENERATOR_BINDING,False,False,False,False,True,retain M3F optimized dummy boundary arrays,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/array_aggregation.py;sram_layoutgen/openyield_adapter/M3F_optimized_layoutgen_restore.py
replica_array,ARRAY_REPLICA,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,ArrayAggregationPlanner;StandaloneSRAMGenerator,replica_cell_1rw;replica_precharge,DIRECT_GENERATOR_BINDING,False,False,False,False,True,retain M3F optimized replica array,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/array_aggregation.py;sram_layoutgen/openyield_adapter/M3F_optimized_layoutgen_restore.py
row_decoder,ROW_DECODER,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.gate_row_packer,row_decoder role instances,PARAMETERIZED_LAYOUTGEN_GENERATOR,True,True,True,True,True,retain M3F optimized row_decoder role with OpenYield net ownership only,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
wordline_decoder,ROW_DECODER,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.gate_row_packer,row_decoder role instances,PARAMETERIZED_LAYOUTGEN_GENERATOR,True,True,True,True,True,retain M3F optimized row_decoder role with OpenYield semantic split only,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
decoder_gate_cells,ROW_DECODER,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.gate_row_packer,row_decoder role instances,PARAMETERIZED_LAYOUTGEN_GENERATOR,True,True,True,True,True,retain M3F optimized row_decoder gate-row packing,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
wordline_driver,WORDLINE_DRIVER,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.wordlinedriver_adapter,gen_wl_driver,REAL_CELL_WRAPPER,False,True,True,True,True,retain M3F optimized wordline_driver role,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/wordlinedriver_adapter.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
wordline_driver_gate_cells,WORDLINE_DRIVER,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.gate_row_packer+wordlinedriver_adapter,wordline_driver role instances,PARAMETERIZED_LAYOUTGEN_GENERATOR,False,True,True,True,True,retain M3F optimized wordline driver gate ownership only,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/wordlinedriver_adapter.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
column_mux,COLUMN_MUX,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.columnmux_adapter,gen_col_mux_vdd_labeled,REAL_CELL_WRAPPER,False,True,True,True,True,retain M3F optimized column_mux placement and semantic mapping,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/top_level_assembly.py;sram_layoutgen/openyield_adapter/hardcell_power_rail_continuity.py
sense_amp,SENSE_AMP,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.senseamp_adapter,sense_amp,REAL_CELL_WRAPPER,False,True,True,False,True,retain M3F optimized sense_amp placement with existing mux-out mapping,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/architecture_adapter.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
write_driver,WRITE_DRIVER,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.writedriver_adapter,write_driver,REAL_CELL_WRAPPER,False,True,True,True,True,retain M3F optimized write_driver placement and semantic mapping,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/writedriver_adapter.py;sram_layoutgen/openyield_adapter/hardcell_power_rail_continuity.py
precharge,COLUMN_PRECHARGE,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.precharge_row,gen_precharge,REAL_CELL_WRAPPER,False,True,True,True,True,retain M3F optimized precharge row,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/hardcell_power_rail_continuity.py
DELAY_CHAIN,DELAY_CHAIN,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.delay_chain_row,gen_delay_inv chain,PARAMETERIZED_LAYOUTGEN_GENERATOR,True,True,True,False,True,retain M3F optimized layoutgen delay chain semantics,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
DFF_ROW,DFF_ROW,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.data_dff_packing,dff array,PARAMETERIZED_LAYOUTGEN_GENERATOR,True,True,True,False,True,retain M3F optimized data_dff role with OpenYield bus ownership only,,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
CONTROL_LOGIC,CONTROL_LOGIC,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.control_logic_fallback,control_logic;control_glue,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,True,True,True,True,False,keep current M3F control_logic/control_glue backbone and bind OpenYield nets only,First-round CONTROL_LOGIC is candidate-only and no native OpenYield physical control composite is installed in the optimized trunk.,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py;sram_layoutgen/openyield_adapter/M3F_optimized_layoutgen_restore.py
GATED_CLOCK_PATH,CLOCK_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.control_glue_fallback,control_glue,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,True,True,True,True,False,keep current M3F control_glue and export gated-clock ownership only,"OpenYield gated clock path exists only as candidate/control-contract evidence, not as a physical-ready module generator output.",sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
PRECHARGE_ENABLE_PATH,ENABLE_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.control_glue_fallback,control_glue,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,True,True,True,True,False,keep current M3F control_glue precharge-enable ownership only,OpenYield precharge-enable path is still candidate-only and has no physical-ready generator path in the optimized flow.,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
SENSE_ENABLE_PATH,ENABLE_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.control_glue_fallback,control_glue,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,True,True,True,True,False,keep current M3F control_glue sense-enable ownership only,OpenYield sense-enable path is still candidate-only and has no physical-ready generator path in the optimized flow.,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
WRITE_ENABLE_PATH,ENABLE_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.control_glue_fallback,control_glue,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,True,True,True,True,False,keep current M3F control_glue write-enable ownership only,OpenYield write-enable path is still candidate-only and has no physical-ready generator path in the optimized flow.,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
WORDLINE_ENABLE_PATH,ENABLE_PATH,docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,StandaloneSRAMGenerator.control_glue_fallback,control_glue,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,True,True,True,True,False,keep current M3F control_glue wl-enable ownership only,OpenYield wl-enable path is still candidate-only and has no physical-ready generator path in the optimized flow.,sram_layoutgen/standalone.py;sram_layoutgen/openyield_adapter/module_gds_generators.py;sram_layoutgen/openyield_adapter/top_level_assembly.py
