object_name,object_type,required_by_modules,physical_source_type,placement_class,placement_strategy,row_or_array_based,x_pitch_rule,y_pitch_rule,row_height_rule,array_pitch_rule,module_origin_rule,bbox_source,pin_source,rail_source,orientation_policy,requires_routing_channel,requires_power_channel,can_be_packed_in_row,can_be_packed_in_array,can_be_instantiated_as_macro,placement_rule_status,blocking_gap,next_required_action,evidence_files
bitcell,primitive,SRAM_TOP;BANK;bitcell_array;routing_semantics;power_semantics,EXISTING_GDS,ARRAY_CELL,array_cell_full_bbox_pitch_and_row_alternation,array,0.895um_full_bbox_pitch,1.565um_full_bbox_pitch,storage_cell_bbox_height,0.895um_full_bbox_pitch x 1.565um_full_bbox_pitch,origin_at_lower_left_of_array_bbox,docs/openyield_storage_pitch_audit_report.json,technology/freepdk45/gds_lib/cell_1rw.gds,docs/openyield_hardcell_power_rail_continuity_report.json,storage_array_alternating_mx_r0_policy,False,False,True,True,False,PLACEMENT_RULE_CLOSED,,Carry rule directly into L3 array macro export.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/sram_6t_core.py;technology/freepdk45/gds_lib/cell_1rw.gds; docs/evidence/L1_physical_primitive_gap_summary.md
dummy_cell,primitive,SRAM_TOP;BANK;dummy_array;power_semantics,EXISTING_GDS,ARRAY_CELL,array_cell_full_bbox_pitch_and_row_alternation,array,0.895um_full_bbox_pitch,1.565um_full_bbox_pitch,storage_cell_bbox_height,0.895um_full_bbox_pitch x 1.565um_full_bbox_pitch,origin_at_lower_left_of_array_bbox,docs/openyield_storage_pitch_audit_report.json,technology/freepdk45/gds_lib/dummy_cell_1rw.gds,docs/openyield_hardcell_power_rail_continuity_report.json,storage_array_alternating_mx_r0_policy,False,False,True,True,False,PLACEMENT_RULE_CLOSED,,Carry rule directly into L3 array macro export.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/dummy_row_or_column.py;technology/freepdk45/gds_lib/dummy_cell_1rw.gds; docs/evidence/L1_physical_primitive_gap_summary.md
replica_cell,primitive,SRAM_TOP;BANK;replica_array;timing_semantics;power_semantics,EXISTING_GDS,ARRAY_CELL,array_cell_full_bbox_pitch_and_row_alternation,array,0.895um_full_bbox_pitch,1.565um_full_bbox_pitch,storage_cell_bbox_height,0.895um_full_bbox_pitch x 1.565um_full_bbox_pitch,origin_at_lower_left_of_array_bbox,docs/openyield_storage_pitch_audit_report.json,technology/freepdk45/gds_lib/replica_cell_1rw.gds,docs/openyield_hardcell_power_rail_continuity_report.json,storage_array_alternating_mx_r0_policy,False,False,True,True,False,PLACEMENT_RULE_CLOSED,,Carry rule directly into L3 array macro export.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/replica_column.py;technology/freepdk45/gds_lib/replica_cell_1rw.gds; docs/evidence/L1_physical_primitive_gap_summary.md
inv,primitive,row_decoder;wordline_decoder;decoder_gate_cells;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;CONTROL_LOGIC;timing_semantics;power_semantics,HARDMACRO_GDS,GATE_ROW_CELL,gate_row_same_row_abut_with_alternating_row_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds,technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,False,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds; docs/evidence/L1_physical_primitive_gap_summary.md
delay_inv,primitive,DELAY_CHAIN;WRITE_ENABLE_PATH;CONTROL_LOGIC;timing_semantics;SRAM_TOP;BANK,HARDMACRO_GDS,GATE_ROW_CELL,gate_row_same_row_abut_with_alternating_row_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds,technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,False,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds; docs/evidence/L1_physical_primitive_gap_summary.md
nand2,primitive,wordline_driver;wordline_driver_gate_cells;GATED_CLOCK_PATH;CONTROL_LOGIC;decoder_leaf_gate;wordline_driver_leaf_gate;gated_clock_leaf_gate;control_logic_leaf_gate,HARDMACRO_GDS,GATE_ROW_CELL,gate_row_same_row_abut_with_alternating_row_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds,technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,False,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds; docs/evidence/L1_physical_primitive_gap_summary.md
nand3,primitive,row_decoder;wordline_decoder;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;CONTROL_LOGIC;timing_semantics,PYTHON_GENERATOR,GATE_ROW_CELL,gate_row_same_row_abut_with_alternating_row_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,technology/freepdk45/openyield_primitive_composition_library.json::nand3;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_nand3_from_nand4_tie_high,technology/freepdk45/openyield_primitive_composition_library.json::nand3;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_nand3_from_nand4_tie_high,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,True,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
nand4,primitive,,PYTHON_GENERATOR,GATE_ROW_CELL,gate_row_same_row_abut_with_alternating_row_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,technology/freepdk45/gds_lib/gen_nand4.gds,technology/freepdk45/gds_lib/gen_nand4.gds,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,True,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,technology/freepdk45/gds_lib/gen_nand4.gds; docs/evidence/L1_physical_primitive_gap_summary.md
nor2,primitive,,PYTHON_GENERATOR,GATE_ROW_CELL,gate_row_same_row_abut_with_alternating_row_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,technology/freepdk45/gds_lib/gen_nor2.gds,technology/freepdk45/gds_lib/gen_nor2.gds,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,True,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,technology/freepdk45/gds_lib/gen_nor2.gds; docs/evidence/L1_physical_primitive_gap_summary.md
nor3,primitive,,MISSING,GATE_ROW_CELL,gate_row_same_row_abut_with_alternating_row_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,,,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,True,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,docs/evidence/L1_physical_primitive_gap_summary.md
