file_id,relative_path,file_type,extension,size_bytes,line_count,is_text,is_binary,is_source_code,is_config,is_netlist,is_data,is_test,is_documentation,main_purpose,key_classes,key_functions,key_inputs,key_outputs,depends_on,used_by,relevance_to_sram_layoutgen,relevance_category,can_drive_layout_generation,can_provide_netlist_semantics,can_provide_module_definition,can_provide_optimization_result,can_be_used_in_next_stage,risk_or_limitation,notes
OYF0001,.gitignore,text_asset,NONE,506,31,True,False,False,False,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,False,False,False,UNKNOWN,Classification remained UNKNOWN where evidence was insufficient.
OYF0002,LICENSE,documentation,NONE,11357,201,True,False,False,False,False,False,False,True,Source file containing class-based project logic.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Documentation or license material; informative for understanding the project but not a layout driver.,DOCUMENTATION,False,False,False,False,False,UNKNOWN,NONE
OYF0003,README.md,documentation,.md,11639,281,True,False,False,False,False,False,False,True,Documentation file.,UNKNOWN,UNKNOWN,CSV or numeric result files.,Plots or visualizations.,UNKNOWN,UNKNOWN,Documentation or license material; informative for understanding the project but not a layout driver.,DOCUMENTATION,False,False,False,False,False,UNKNOWN,NONE
OYF0004,conda,source_code,NONE,0,0,True,False,True,True,False,False,False,False,Environment helper script.,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Project-level utility or environment helper with indirect integration relevance only.,UTILITY,False,False,False,False,False,UNKNOWN,NONE
OYF0005,config.py,source_code,.py,18456,470,True,False,True,False,False,False,False,False,Source file containing class-based project logic.,"AttrDict, GlobalConfig, Parameter, CircuitConfig, ConfigLoader, SRAM_CONFIG","_abs_path, load_global_config, __init__, __repr__, __init__, _process_performance_metrics, _normalize_metric_bounds, __repr__, get_metric, get_metric_names, get_objective_formula, get_constraints, __init__, _coerce_numeric_like, _validate_types, __repr__, __init__, get_parameter",UNKNOWN,UNKNOWN,"os, typing, yaml","demo_run_a_testbench.py, equivalent_modeling/main_sram.py, main_sram.py, size_optimization/exp_utils.py, size_optimization/experiment.py, sram_compiler/subcircuits/sram_cell_add_equivalent.py",Central OpenYield YAML configuration loader that materializes SRAM/global/module semantics used by netlist-generation flows.,CONFIG,False,True,False,False,True,Configuration alone cannot prove which physical layout cell should implement a given OpenYield module.,NONE
OYF0006,demo_run_a_testbench.py,source_code,.py,7325,144,True,False,True,False,False,False,True,False,UNKNOWN,NONE,NONE,UNKNOWN,UNKNOWN,"PySpice.Unit, config, numpy, sys, testbenches.sram_6t_core_MC_testbench, tool.Distribution.gmm_v2, tool.Distribution.normal_v1, tool.util, utils, yield_estimation.model_lib.ACS, yield_estimation.model_lib.AIS, yield_estimation.model_lib.HSCS, yield_estimation.model_lib.MC, yield_estimation.model_lib.MNIS",UNKNOWN,"Script entrypoint for optimization or estimation flows, useful for locating execution roots but not direct GDS generation.",SCRIPT_ENTRYPOINT,False,False,False,False,False,UNKNOWN,NONE
OYF0007,environment.yml,text_asset,.yml,3256,163,True,False,False,True,False,False,False,False,Configuration file for simulation or optimization flow.,UNKNOWN,UNKNOWN,CSV or numeric result files.,Plots or visualizations.,UNKNOWN,UNKNOWN,Project-level utility or environment helper with indirect integration relevance only.,UTILITY,False,False,False,False,False,UNKNOWN,NONE
OYF0008,equivalent_modeling/main_sram.py,source_code,.py,9691,184,True,False,True,False,False,False,False,False,Studies or demonstrates equivalent-circuit acceleration for large SRAM simulations.,NONE,"time_str_to_float, string_to_float_list",Array size / equivalent-model options.,Comparison results for equivalent vs full simulation.,"PySpice.Unit, config, datetime, numpy, os, pandas, sram_compiler.testbenches.sram_6t_core_MC_testbench, sram_compiler.testbenches.sram_6t_core_testbench, sys, time, utils",UNKNOWN,"Equivalent-model experiments for simulation acceleration, not a direct physical-layout source.",UTILITY,False,False,False,False,False,UNKNOWN,NONE
OYF0009,equivalent_modeling/run.sh,source_code,.sh,175,1,True,False,True,False,False,False,False,False,Studies or demonstrates equivalent-circuit acceleration for large SRAM simulations.,NONE,NONE,Array size / equivalent-model options.,Comparison results for equivalent vs full simulation.,UNKNOWN,UNKNOWN,"Equivalent-model experiments for simulation acceleration, not a direct physical-layout source.",UTILITY,False,False,False,False,False,UNKNOWN,NONE
OYF0010,equivalent_modeling/test.ipynb,text_asset,.ipynb,14951,389,True,False,False,False,False,True,True,False,Studies or demonstrates equivalent-circuit acceleration for large SRAM simulations.,UNKNOWN,UNKNOWN,Array size / equivalent-model options.,Comparison results for equivalent vs full simulation.,UNKNOWN,UNKNOWN,"Equivalent-model experiments for simulation acceleration, not a direct physical-layout source.",UTILITY,False,False,False,False,False,UNKNOWN,NONE
