iteration,candidate,DRC_count,rules,root_cause,change,connectivity,foreign_net,power,Pin_access,area,route_length,Via_count
0,C0,293,summarized,METAL6 width/spacing; parent route through child/pin geometry,baseline metal6 rectangle router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
0,C1,166,summarized,METAL6 width/spacing; parent route through child/pin geometry,baseline metal6 rectangle router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
0,C2,147,summarized,METAL6 width/spacing; parent route through child/pin geometry,baseline metal6 rectangle router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
0,C3,192,summarized,METAL6 width/spacing; parent route through child/pin geometry,baseline metal6 rectangle router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
0,C4,171,summarized,METAL6 width/spacing; parent route through child/pin geometry,baseline metal6 rectangle router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
1,C0,326,summarized,VIA9 landing/enclosure incomplete at child access,M9/M10 via router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
1,C1,212,summarized,VIA9 landing/enclosure incomplete at child access,M9/M10 via router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
1,C2,173,summarized,VIA9 landing/enclosure incomplete at child access,M9/M10 via router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
1,C3,205,summarized,VIA9 landing/enclosure incomplete at child access,M9/M10 via router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
1,C4,253,summarized,VIA9 landing/enclosure incomplete at child access,M9/M10 via router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
2,C0,275,summarized,M10 too coarse for dense control pins,single-layer M10 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
2,C1,152,summarized,M10 too coarse for dense control pins,single-layer M10 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
2,C2,97,summarized,M10 too coarse for dense control pins,single-layer M10 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
2,C3,139,summarized,M10 too coarse for dense control pins,single-layer M10 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
2,C4,245,summarized,M10 too coarse for dense control pins,single-layer M10 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
3,C0,260,summarized,M8 still too coarse and short stubs,single-layer M8 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
3,C1,151,summarized,M8 still too coarse and short stubs,single-layer M8 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
3,C2,103,summarized,M8 still too coarse and short stubs,single-layer M8 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
3,C3,136,summarized,M8 still too coarse and short stubs,single-layer M8 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
3,C4,144,summarized,M8 still too coarse and short stubs,single-layer M8 router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
