openyield_module,physical_role,layoutgen_physical_roles,layoutgen_hierarchy_anchor,layoutgen_instance_count,binding_status,binding_method,physical_implementation_summary,region_bbox,source_intent_path_group,uses_first_round_openyield_gds_as_physical,temporary_empty_wrapper
CONTROL_LOGIC,CONTROL_LOGIC,control_logic,openyield_layoutgen_full_sram_M2R,1,CONTROL_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,control DFF array and control-periphery logic on the preserved layoutgen backbone,"{""x0"": 0.3425, ""y0"": 0.2425, ""x1"": 6.2625, ""y1"": 14.3925, ""width"": 5.92, ""height"": 14.15}",CONTROL_PATH,False,False
DELAY_CHAIN,DELAY_CHAIN,delay_chain,openyield_layoutgen_full_sram_M2R,6,CONTROL_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,replica timing delay chain on the preserved control region,"{""x0"": 0.2625, ""y0"": 21.5675, ""x1"": 2.73, ""y1"": 27.0275, ""width"": 2.4675, ""height"": 5.46}",CONTROL_PATH,False,False
DFF_ROW,DFF_ROW,data_dff,openyield_layoutgen_full_sram_M2R,8,STD_CELL_ROW_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,data DFF row instances in the preserved control/data periphery,"{""x0"": 12.0, ""y0"": 0.3425, ""x1"": 36.28, ""y1"": 3.0125, ""width"": 24.28, ""height"": 2.67}",CONTROL_PATH,False,False
GATED_CLOCK_PATH,CLOCK_PATH,control_glue,openyield_layoutgen_full_sram_M2R,4,CLOCK_PATH_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,clock-related control glue inside the preserved control region,"{""x0"": 0.2625, ""y0"": 14.6175, ""x1"": 2.1225, ""y1"": 17.8675, ""width"": 1.86, ""height"": 3.25}",CONTROL_PATH,False,False
PRECHARGE_ENABLE_PATH,ENABLE_PATH,control_glue,openyield_layoutgen_full_sram_M2R,4,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,precharge enable glue in the preserved control region,"{""x0"": 0.2625, ""y0"": 14.6175, ""x1"": 2.1225, ""y1"": 17.8675, ""width"": 1.86, ""height"": 3.25}",CONTROL_PATH,False,False
SENSE_ENABLE_PATH,ENABLE_PATH,control_glue,openyield_layoutgen_full_sram_M2R,4,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,sense-enable glue in the preserved control region,"{""x0"": 0.2625, ""y0"": 14.6175, ""x1"": 2.1225, ""y1"": 17.8675, ""width"": 1.86, ""height"": 3.25}",CONTROL_PATH,False,False
WORDLINE_ENABLE_PATH,ENABLE_PATH,control_glue,openyield_layoutgen_full_sram_M2R,4,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,wordline-enable glue in the preserved control region,"{""x0"": 0.2625, ""y0"": 14.6175, ""x1"": 2.1225, ""y1"": 17.8675, ""width"": 1.86, ""height"": 3.25}",CONTROL_PATH,False,False
WRITE_ENABLE_PATH,ENABLE_PATH,control_glue,openyield_layoutgen_full_sram_M2R,4,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,write-enable glue in the preserved control region,"{""x0"": 0.2625, ""y0"": 14.6175, ""x1"": 2.1225, ""y1"": 17.8675, ""width"": 1.86, ""height"": 3.25}",CONTROL_PATH,False,False
bitcell_array,ARRAY_CORE,bitcell_array,openyield_layoutgen_full_sram_M2R,1,REAL_ARRAY_BASE_REUSABLE,semantic_label_on_preserved_layoutgen_backbone,dense bitcell array cell-array body,"{""x0"": 11.905, ""y0"": 20.0475, ""x1"": 34.655, ""y1"": 42.0875, ""width"": 22.75, ""height"": 22.04}",ARRAY_PATH,False,False
column_mux,COLUMN_MUX,column_mux,openyield_layoutgen_full_sram_M2R,32,REAL_HARDMACRO_WRAPPER_REUSABLE_WITH_REPAIRED_SOURCE,semantic_label_on_preserved_layoutgen_backbone,column mux hardmacro instances along the column path,"{""x0"": 11.8875, ""y0"": 17.8725, ""x1"": 34.56, ""y1"": 19.7525, ""width"": 22.6725, ""height"": 1.88}",COLUMN_PATH,False,False
decoder_gate_cells,ROW_DECODER,row_decoder,openyield_layoutgen_full_sram_M2R,16,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,row decoder logic stages generated by the preserved row path,"{""x0"": 6.6575, ""y0"": 20.0675, ""x1"": 17.605, ""y1"": 45.6075, ""width"": 10.9475, ""height"": 25.54}",ROW_PATH,False,False
dummy_array,ARRAY_DUMMY,dummy_bitcell,openyield_layoutgen_full_sram_M2R,2,REAL_ARRAY_BASE_REUSABLE,semantic_label_on_preserved_layoutgen_backbone,boundary dummy arrays at the array edges,"{""x0"": 11.2, ""y0"": 20.0475, ""x1"": 36.065, ""y1"": 42.0875, ""width"": 24.865, ""height"": 22.04}",ARRAY_PATH,False,False
precharge,COLUMN_PRECHARGE,precharge,openyield_layoutgen_full_sram_M2R,32,REAL_HARDMACRO_WRAPPER_REUSABLE,semantic_label_on_preserved_layoutgen_backbone,precharge instances above the bitcell array,"{""x0"": 11.9225, ""y0"": 42.4625, ""x1"": 34.5625, ""y1"": 43.8825, ""width"": 22.64, ""height"": 1.42}",COLUMN_PATH,False,False
replica_array,ARRAY_REPLICA,replica_bitline;replica_precharge,openyield_layoutgen_full_sram_M2R,2,REAL_ARRAY_BASE_REUSABLE_WITH_REPLICA_RULES,semantic_label_on_preserved_layoutgen_backbone,replica bitline array plus replica precharge,"{""x0"": 34.465, ""y0"": 20.0475, ""x1"": 35.36, ""y1"": 43.8825, ""width"": 0.895, ""height"": 23.835}",ARRAY_PATH,False,False
row_decoder,ROW_DECODER,row_decoder,openyield_layoutgen_full_sram_M2R,16,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,row decoder hierarchy on the array-adjacent side,"{""x0"": 6.6575, ""y0"": 20.0675, ""x1"": 17.605, ""y1"": 45.6075, ""width"": 10.9475, ""height"": 25.54}",ROW_PATH,False,False
sense_amp,SENSE_AMP,sense_amp,openyield_layoutgen_full_sram_M2R,1,REAL_HARDMACRO_WRAPPER_REUSABLE,semantic_label_on_preserved_layoutgen_backbone,sense amplifier array in the column path,"{""x0"": 11.965, ""y0"": 11.3875, ""x1"": 32.48, ""y1"": 17.3975, ""width"": 20.515, ""height"": 6.01}",COLUMN_PATH,False,False
wordline_decoder,ROW_DECODER,row_decoder,openyield_layoutgen_full_sram_M2R,16,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,semantic_label_on_preserved_layoutgen_backbone,wordline decode logic inside the preserved row path,"{""x0"": 6.6575, ""y0"": 20.0675, ""x1"": 17.605, ""y1"": 45.6075, ""width"": 10.9475, ""height"": 25.54}",ROW_PATH,False,False
