blocker_id,description,machine_solvable,requires_user_action,requires_teacher_confirmation,requires_external_file,requires_external_tool,blocks_which_stage,resolution_action,status
M12N2-B02,words_per_row > 1 and arbitrary numeric column mux ratio remain unverified.,False,False,False,False,False,post-V1 parameter expansion,Add verified >1 words_per_row expansion later.,OPEN
M12N2-B04,No full DRC/LVS/extraction loop exists for complete control logic or top-level SRAM.,False,False,False,False,True,full signoff,Stay at primitive smoke scope.,OPEN
M12N2-B05,Control-logic physical implementation is still not assembled.,False,False,False,False,False,composite control logic,Do not enter composite generation yet.,DEFINED_NOT_IMPLEMENTED
M12N2-B07,OpenRAM references still lack direct cross-flow equivalence closure.,False,False,False,True,False,cross-flow equivalence,Keep OpenRAM in backend-adapter scope only.,OPEN
M12C-B12,P0 primitive generator path was previously missing.,True,False,False,False,False,primitive library implementation,Bounded OpenRAM-backed P0 primitive adapter is implemented; proceed only after visual review.,P0_PRIMITIVE_GENERATOR_IMPLEMENTED_PENDING_VISUAL_REVIEW
M12C-B13,FreePDK45 tech contract had to be connected to actual generator behavior.,True,False,False,False,False,primitive generator,The locked 50nm FreePDK45 contract now drives generated P0 primitives.,RESOLVED_FOR_GENERATED_P0_PRIMITIVES
M12C-B14,OpenRAM provenance boundary must remain explicit.,False,False,False,False,False,reuse claims,BSD-3-Clause external backend adapter only; no source modification or full-module copy.,OPEN
M12C3A-B01,Symbolic drive-scale expressions must be concretized before GDS generation.,True,False,False,False,False,primitive naming and generation,Concrete 16x16 and 64x8 reference resolutions are generated and used.,RESOLVED_FOR_REFERENCE_CONFIGS
M12C3A-B02,OpenRAM pinv requested-to-actual transistor sizing must be proven.,True,False,False,False,False,primitive generation qualification,Requested versus actual pinv widths are exported and checked per generated variant.,RESOLVED_FOR_GENERATED_VARIANTS
M12C3A-B03,Primitive smoke cells require visual pin/well/rail review after DRC pass.,False,True,False,False,True,post-smoke composite planning,Inspect the clean and annotated primitive smoke atlas in KLayout before any composite stage.,OPEN_HUMAN_REVIEW_GATE
