source_path,language,class_or_function,generator_scope,supported_devices,supported_cells,technology_dependency,parameter_inputs,output_format,uses_klayout,uses_gdstk,uses_openram,generates_real_device_geometry,generates_only_proxy_geometry,pin_generation_supported,rail_generation_supported,contact_via_generation_supported,well_implant_generation_supported,parameterized_width_supported,parameterized_length_supported,orientation_supported,source_maturity,historical_usage,known_drc_status,reuse_feasibility,recommended_role
/data1/qujh/OpenRAM/compiler/modules/ptx.py,Python,ptx,Parameterized transistor primitive,NMOS|PMOS,device primitive only,OpenRAM FreePDK45 tech plugin,width|mults|tx_type|contacts|poly-connect flags,OpenRAM layout object -> GDS/SPICE,False,False,True,True,False,True,False,True,True,True,False,True,Production OpenRAM primitive,Core OpenRAM primitive generator,"OpenRAM-backed, not yet adapter-qualified for this project",TRUSTED_REUSE_CANDIDATE,Trusted device generator backend
/data1/qujh/OpenRAM/compiler/base/contact.py,Python,contact,Parameterized contact/via primitive,CONTACT|VIA stacks,contact arrays,OpenRAM FreePDK45 tech plugin,layer_stack|dimensions|directions|implant|well,OpenRAM layout object,False,False,True,True,False,False,False,True,True,True,True,True,Production OpenRAM primitive,Core OpenRAM primitive generator,"OpenRAM-backed, not yet adapter-qualified for this project",TRUSTED_REUSE_CANDIDATE,Trusted contact/via backend
/data1/qujh/OpenRAM/compiler/modules/pinv.py,Python,pinv,Parameterized inverter gate,Uses ptx child devices,PINV-style inverter,OpenRAM FreePDK45 tech plugin,size|beta|height|add_wells,OpenRAM layout object,False,False,True,True,False,True,True,True,True,True,False,True,Production OpenRAM gate primitive,Core OpenRAM primitive gate,"OpenRAM-backed, not yet adapter-qualified for this project",TRUSTED_REUSE_CANDIDATE,Trusted gate generator backend for PINV family
/data1/qujh/OpenRAM/compiler/modules/tri_gate.py,Python,tri_gate,Library wrapper,None directly,tri-state gate wrapper,OpenRAM library cells,library-backed only,Wrapper/reference,False,False,True,False,False,True,True,False,False,False,False,True,Library wrapper,Reference only,Depends on imported hard cells,REFERENCE_ONLY,"Reference for tri-state concepts, not direct primitive generator"
/data1/qujh/OpenRAM/compiler/modules/dff.py,Python,dff,Library wrapper,None directly,DFF hard-cell wrapper,OpenRAM library cells,library-backed only,Wrapper/reference,False,False,True,False,False,True,True,False,False,False,False,True,Library wrapper,Reference only,Depends on imported hard cells,REFERENCE_ONLY,Reference for DFF interface only
/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/stdcell.py,Python,gen_inv|gen_nand2|gen_nor2|gen_dff,Layoutgen standard-cell proxy/golden helper,Abstracted gate geometry only,inv|nand2|nor2|dff and helpers,sram_layoutgen.tech abstraction,limited sizing through local code paths,LayoutDB/GDS helper,False,False,False,False,True,True,True,False,False,False,False,True,Project helper,Golden/layoutgen reference cells,Not trusted as FreePDK45 transistor-level generator,PROXY_ONLY_DO_NOT_USE,Reference geometry only
/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/openyield_adapter/module_gds_generators.py,Python,module-level GDS generators,Candidate module export,Composed candidates,OpenYield module candidates,Project-local abstractions,module-specific,GDS candidates,False,True,False,False,False,True,True,False,False,False,False,True,Project candidate flow,M11/M12 candidate generation,Candidate-only,REFERENCE_ONLY,Audit/reference only
/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/openyield_adapter/primitive_composition_generators.py,Python,primitive composition helpers,Primitive composition planning,Composed from candidate leaves,Prototype composites,Project-local abstractions,composition-specific,Planning artifacts,False,True,False,False,False,True,True,False,False,False,False,True,Project planning helper,Planning only,No final GDS guarantee,REFERENCE_ONLY,Planning helper only
/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/tech/freepdk45.lydrc,Ruby/KLayout DRC,FreePDK45 DRC deck,"Rule deck, not layout generation",N/A,N/A,FreePDK45,input layout,KLayout DRC markers,True,False,False,False,False,False,False,False,False,False,False,False,Technology rule deck,Candidate-cell DRC in M12C2,Authoritative DRC deck path exists,REFERENCE_ONLY,Qualification deck only
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,Python,TIME primitive source,Logical/SPICE subcircuit generation,PySpice netlist only,TIME primitives and composites,OpenYield SPICE config,rows|cols|operation|device widths|length,PySpice subcircuits,False,False,False,False,False,False,False,False,False,True,True,False,Logical source of truth,M12N2/M12C hierarchy extraction,No physical generator,REFERENCE_ONLY,Logical primitive contract source
/data1/qujh/work/sram_layoutgen_step45_clean/scripts/M11W_wordline_driver_wrapper_pin_repair.py,Python,wordline-driver wrapper pin repair,Candidate wrapper metadata repair,Wrapper only,wordline_driver wrapper,Project-local metadata,wrapper metadata,GDS metadata repair outputs,False,True,False,False,False,True,True,False,False,False,False,True,Project repair script,M11W wrapper recovery,Not a primitive device generator,REFERENCE_ONLY,Repair evidence only
