logical_module,source_file,source_class,parent_path,logical_function,pin_names,pin_count,instance_count_or_formula,parameter_dependencies,operation_dependencies,existing_openyield_gds_found,existing_openyield_gds_path,existing_layoutgen_cell_found,existing_layoutgen_cell_name,existing_openram_reference_found,existing_openram_cell_or_region,bbox_metadata_available,pin_geometry_available,power_rail_metadata_available,layer_metadata_available,physical_strategy,physical_readiness,blocking_reason,recommended_action,requires_human_review
ADDR_DFF,sram_compiler/subcircuits/time_generate.py,ADDR_DFF,TIME,address register bank,VDD|VSS|CLK|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,11,1,"num_rows,length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,True,dff,True,row_addr_dff,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
AND2,sram_compiler/subcircuits/standard_cell.py,AND2,DECODER3_8|OPENYIELD_SRAM_TOP_V1|TIME,2-input gating primitive,VDD|VSS|A|B|Z,5,2 in TIME for gated clocks plus decoder-side uses outside TIME closure,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,True,gen_nand2,True,decoder primitive gates,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
AND3,sram_compiler/subcircuits/standard_cell.py,AND3,DECODER3_8|TIME,3-input enable-generation primitive,VDD|VSS|A|B|C|Z,6,2 in TIME for w_en and s_en,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",sizing depends on write-capable data path width,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,True,gen_nand4,True,decoder primitive gates,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
DATA_DFF,sram_compiler/subcircuits/time_generate.py,DATA_DFF,TIME,write-data register bank,VDD|VSS|CLK|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15,35,"1 if operation in {write, read&write} else 0","num_cols,operation,length,nmos_model,pmos_model",present only in write/read&write,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,True,dff,True,data_dff,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
DFF,sram_compiler/subcircuits/time_generate.py,dff,ADDR_DFF|DATA_DFF|DFF_BUF,transmission-gate flip-flop primitive,VDD|VSS|D|Q|CLK,5,"ceil(log2(num_rows)) + (num_cols if operation in {write, read&write} else 0) + 1 template in each DFF_BUF","length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,False,,True,dff,True,latch internals reference only,False,False,False,False,LAYOUTGEN_REFERENCE_ONLY,REFERENCE_ONLY,"A layoutgen hardcell exists, but there is no OpenYield-specific candidate composite proving direct reuse for this control role.",Use the layoutgen cell as a primitive reference only and bind it through an OpenYield-specific qualification stage.,False
DFF_BUF,sram_compiler/subcircuits/time_generate.py,DFF_BUF,TIME,cs/web capture register with buffered outputs,VDD|VSS|D|Q|QB|CLK,6,2 in TIME for cs/web register capture,"length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,True,dff,True,data_dff,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
NMOS_VTG,,NMOS_VTG,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,source-traced control-logic support block,,0,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,False,,False,,False,,False,False,False,False,UNKNOWN,UNKNOWN,No trustworthy physical implementation source was found.,Keep this block in the missing/unknown set until a primitive or candidate source is qualified.,False
PINV,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV,AND2|AND3|DECODER3_8|D_LATCH|TIME|WORDLINEDRIVER,source-traced control-logic support block,VDD|VSS|A|Z,4,operation- and topology-dependent support inverter count,source-traced,none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,gen_inv,False,,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
PINV1,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV1,DFF|DFF_BUF|delay_chain|pdrive|pdrive2_for_pre|wl_pdrive,source-traced control-logic support block,VDD|VSS|A|Z,4,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,gen_inv,False,,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
PINV2,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV2,DFF_BUF|pdrive|pdrive2_for_pre|wl_pdrive,source-traced control-logic support block,VDD|VSS|A|Z,4,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,gen_inv,False,,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
