blocker_id,description,machine_solvable,requires_user_action,requires_teacher_confirmation,requires_external_file,requires_external_tool,blocks_which_stage,resolution_action,status
M12N2-B02,words_per_row > 1 and arbitrary numeric column mux ratio remain unverified.,False,False,False,False,False,post-V1 parameter expansion,Add explicit raw-source-backed mux-ratio contract and generate verified >1 words_per_row samples.,OPEN
M12N2-B03,tech parameter is not connected to a physical PDK abstraction for layout generation.,True,False,False,False,False,physical tech binding,Lock the FreePDK45 physical tech contract and bind primitive-generator requirements to it.,RESOLVED_FREEPDK45_V1
M12N2-B04,No complete DRC/LVS/extraction loop is available for the extracted clean top.,False,False,False,False,True,signoff verification,Keep scope at primitive-planning and candidate-cell DRC only.,OPEN
M12N2-B05,Control-logic physical implementation has been defined but is not implemented.,False,False,False,False,False,control-logic implementation,Proceed only after primitive generator implementation and composite-cell plan.,DEFINED_NOT_IMPLEMENTED
M12N2-B07,OpenRAM references are still missing a matched full SPICE/LEF/Verilog/config contract for direct cross-flow equivalence.,False,False,False,True,False,cross-flow equivalence closure,Keep OpenRAM in reference-only or backend-adapter scope.,OPEN
M12C-B08,Existing OpenYield control-logic candidate GDS files were not all trustworthy reusable cells.,True,False,False,False,False,candidate library trust,Keep only audited/qualified entries and do not infer reuse readiness from audit completion.,SPLIT_INTO_REJECTED_AND_QUALIFIED
M12C-B09,Pin and rail metadata coverage is incomplete across the full TIME primitive hierarchy.,True,False,False,False,False,composite assembly,Complete primitive generator pin/rail policies before composite generation.,PARTIAL_REMAINING
M12C-B10,Candidate control region insertion is expected to affect or at least challenge the current top-level bbox contract.,False,False,False,False,False,floorplan prototype,Keep floorplan work for M12F after primitives exist.,OPEN
M12C-B11,OpenRAM control logic remains reference-only and cannot be directly reused as final OpenYield implementation.,False,False,False,False,False,implementation proof,Use only OpenRAM device/contact/gate infrastructure through an adapter.,OPEN
M12C-B12,Several transistor-level primitives and size variants still lack a parameterized physical generator plan.,True,False,False,False,False,primitive generation,"Lock generator architecture, tech contract, naming contract, and implementation order.",PLAN_LOCKED_IMPLEMENTATION_PENDING
M12C-B13,FreePDK45 physical tech rule binding is still not connected to the OpenYield control-logic parameter contract.,True,False,False,False,False,technology-aware primitive generation,Connect primitive requirement matrix to locked FreePDK45 contract.,RESOLVED_FOR_PRIMITIVE_V1
M12C-B14,Legal provenance and qualification boundaries for direct standard-cell-style reuse remain incomplete.,False,False,False,False,False,direct reuse claims,Keep reuse boundary at OpenRAM backend-adapter scope; do not claim direct cell reuse.,OPEN
