M3_length,candidate,conflict_evidence,net,why_M1_infeasible,why_M2_infeasible
4.55,DFF_RECT_RIGHT_FOREST_REFERENCE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,CLK,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_RIGHT_FOREST_REFERENCE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,CLKB,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.55,DFF_RECT_RIGHT_FOREST_REFERENCE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,D,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_RIGHT_FOREST_REFERENCE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,Q,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_RIGHT_FOREST_REFERENCE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,z1,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_RIGHT_FOREST_REFERENCE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,z2,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_RIGHT_FOREST_REFERENCE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,z5,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.55,DFF_RECT_LOCAL_Z2_ENV080,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,CLK,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_LOCAL_Z2_ENV080,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,CLKB,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.55,DFF_RECT_LOCAL_Z2_ENV080,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,D,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_LOCAL_Z2_ENV080,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,Q,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_LOCAL_Z2_ENV080,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,z1,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_LOCAL_Z2_ENV080,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,z2,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
4.685,DFF_RECT_LOCAL_Z2_ENV080,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,z5,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
32.275,DFF_RECT_BAND_SHIFT_TS045_TP038,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,unknown_physical,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
32.695,DFF_RECT_BAND_SHIFT_P266,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,unknown_physical,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
32.275,DFF_RECT_BAND_SHIFT_WIDE,SEARCH/conflict_cuts.json and ROUTING/M3_NECESSITY_PROOF.csv,unknown_physical,multi-terminal gate/diffusion crossings exceed current M1 local-access topology without shorts,same-layer M2-only vertical trunk replacement produced shorts or METAL2.2/METAL2.5 conflicts in counterexample states
