blocker_id,description,machine_solvable,requires_user_action,requires_teacher_confirmation,requires_external_file,requires_external_tool,blocks_which_stage,resolution_action,status
M12N2-B02,words_per_row > 1 and arbitrary numeric column mux ratio remain unverified.,False,False,False,False,False,post-V1 parameter expansion,Add explicit raw-source-backed mux-ratio contract and generate verified >1 words_per_row samples.,OPEN
M12N2-B03,tech parameter is not connected to a physical PDK abstraction for layout generation.,True,False,False,False,False,physical tech binding,Keep the locked FreePDK45 V1 contract and route adapter implementation through it.,RESOLVED_FREEPDK45_V1
M12N2-B04,No complete DRC/LVS/extraction loop is available for the extracted clean top.,False,False,False,False,True,signoff verification,Stay below smoke/composite/final-layout claims.,OPEN
M12N2-B05,Control-logic physical implementation has been defined but is not implemented.,False,False,False,False,False,physical implementation,Enter M12C3A only after this correction gate closes.,DEFINED_NOT_IMPLEMENTED
M12N2-B07,OpenRAM references are still missing a matched full SPICE/LEF/Verilog/config contract for direct cross-flow equivalence.,False,False,False,True,False,cross-flow equivalence closure,Keep OpenRAM in backend-adapter scope only.,OPEN
M12C-B08,Existing OpenYield control-logic candidate GDS files were not all trustworthy reusable cells.,True,False,False,False,False,candidate library trust,Preserve qualified/quarantined split and do not re-upgrade candidate GDS trust.,SPLIT_INTO_REJECTED_AND_QUALIFIED
M12C-B09,Pin and rail metadata coverage is incomplete across the full TIME primitive hierarchy.,True,False,False,False,False,later primitive/composite qualification,Carry source-derived physical identities into the adapter stage before claiming readiness.,PARTIAL_REMAINING
M12C-B10,Candidate control region insertion is expected to affect or at least challenge the current top-level bbox contract.,False,False,False,False,False,floorplan prototype,Keep floorplan work out of M12C3R.,OPEN
M12C-B11,OpenRAM control logic remains reference-only and cannot be directly reused as final OpenYield implementation.,False,False,False,False,False,final implementation,Use only device/contact/gate adapter routes.,OPEN
M12C-B12,Several transistor-level primitives and size variants still lack a parameterized physical generator plan.,True,False,False,False,False,primitive generator implementation,"Use corrected unit normalization, source-derived variants, fixed-50nm policy, and verified OpenRAM bootstrap mode as the implementation contract.",CORRECTED_PLAN_LOCKED_IMPLEMENTATION_PENDING
M12C-B13,FreePDK45 physical tech rule binding is still not connected to the OpenYield control-logic parameter contract.,True,False,False,False,False,tech-aware adapter implementation,Treat channel length as fixed 50 nm in V1 and reject non-50 requests explicitly.,RESOLVED_FOR_PRIMITIVE_V1
M12C-B14,Legal provenance and qualification boundaries for direct standard-cell-style reuse remain incomplete.,False,False,False,False,False,direct reuse claims,Keep adapter scope at BSD-3-Clause OpenRAM backend reuse and do not claim direct OpenYield hardmacro reuse.,OPEN
M12C3R-B01,Incorrect dimension normalization created invalid NW0/PW0/L0 physical names.,True,False,False,False,False,naming contract,Use explicit unit-tagged Decimal normalization.,RESOLVED
M12C3R-B02,Logical aliases such as PINV1 may represent multiple physical parameter variants.,True,False,False,False,False,physical variant identity,"Key physical identity by source path plus parameter tuple, not by alias alone.",RESOLVED_BY_SOURCE_PATH_AND_PARAMETER_IDENTITY
M12C3R-B03,OpenRAM does not support arbitrary channel length.,True,False,False,False,False,future non-50nm primitive requests,"For FreePDK45 V1, lock channel length to 50 nm and reject any non-50 request explicitly.",NOT_BLOCKING_FIXED_FREEPDK45_V1
