classification,topic,mechanism,evidence_file,class_or_function,why_it_matters,notes
must_learn,entry_flow,Config-to-GDS main call chain,/data1/qujh/OpenRAM/sram_compiler.py:18-64;/data1/qujh/OpenRAM/compiler/sram.py:23-158;/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py:1473-1492,main;sram.__init__;sram.save;layout.gds_write,Need a clean end-to-end orchestration model from semantic config to final GDS,Keep orchestration but separate generation from verification
must_learn,parameter_model,Canonical SRAM parameter derivation,/data1/qujh/OpenRAM/compiler/sram_config.py:14-149,class sram_config;compute_sizes;recompute_sizes,Transforms word_size/num_words/num_banks/words_per_row into num_rows/num_cols/address sizes,This should become the OpenYield canonical parameter model
must_learn,parameter_model,Aspect-ratio-aware words_per_row estimation,/data1/qujh/OpenRAM/compiler/sram_config.py:151-184,estimate_words_per_row,Shows how mux ratio can be tied to physical shape rather than arbitrary input,Adapt for OpenYield-supported ratios 1 or 2 first
must_learn,registry,Module factory and caching,/data1/qujh/OpenRAM/compiler/sram_factory.py:14-110,class sram_factory;create,Dynamic module registry avoids hard-coding every module instantiation path,Current project already has a similar registry pattern worth extending
must_learn,array,Base array pin naming contract,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py:26-72,create_all_bitline_names;create_all_wordline_names;get_bitcell_pins,Array-level naming consistency is required for GDS/SPICE/LVS alignment,Do not leave naming to ad hoc wrappers
must_learn,array,Replica-dummy-cap wrapper around main array,/data1/qujh/OpenRAM/compiler/modules/replica_bitcell_array.py:73-120;/data1/qujh/OpenRAM/compiler/modules/capped_replica_bitcell_array.py:69-116,add_modules,Full SRAM arrays need more than a bare bitcell array,Start with a simplified wrapper for single-bank single-port
must_learn,array,Placed column offsets as source of truth,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py:172-205,place_array;get_column_offsets,Physical column alignment should come from actual placed geometry,Important for precharge/mux/sense/write alignment
must_learn,row_path,port_address decomposition,/data1/qujh/OpenRAM/compiler/modules/port_address.py:159-234,add_modules;create_row_decoder;create_wordline_driver,Decoder and WL driver should be one compositional block,Good fit for OpenYield-specific row-path generator
must_learn,column_path,port_data decomposition,/data1/qujh/OpenRAM/compiler/modules/port_data.py:193-266,add_modules,Column path should be a dedicated composition boundary,Good fit for precharge/mux/sense/write orchestration
must_learn,column_path,bit-offset-driven column alignment,/data1/qujh/OpenRAM/compiler/modules/port_data.py:438-479;/data1/qujh/OpenRAM/compiler/modules/port_data.py:553-823,compute_instance_offsets;route_sense_amp_to_column_mux_or_precharge_array;connect_bitlines,Column peripherals must share array-derived offsets,Use this idea directly
