module_or_function,openram_cell_or_region,layoutgen_cell_or_region,openyield_module_or_source,exists_in_openram,exists_in_layoutgen_golden,exists_in_openyield,difference_type,physical_implementation_status,netlist_semantics_status,control_logic_status,parameterization_status,blocking_level,recommended_action
bitcell_array,bitcell_array,cell_1rw instance array,outputs/openyield_module_gds/bitcell_array,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
dummy_array,dummy_array / dummy_array_*,dummy_cell_1rw edge arrays,outputs/openyield_module_gds/dummy_array,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
replica_array,replica_bitcell_array + replica_column,replica_cell_1rw side array,outputs/openyield_module_gds/replica_array,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
precharge,precharge_array,gen_precharge,outputs/openyield_module_gds/precharge,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
sense_amp,sense_amp_array,sense_amp,outputs/openyield_module_gds/sense_amp,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_READY; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
write_driver,write_driver_array,write_driver,outputs/openyield_module_gds/write_driver,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
column_mux,column_mux_array,gen_col_mux,outputs/openyield_module_gds/column_mux,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
row_decoder,hierarchical_decoder / port_address,gen_inv + gen_nand2 decoder decomposition,outputs/openyield_module_gds/row_decoder,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|NETLIST_CONNECTIVITY_DIFFERS,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
wordline_decoder,hierarchical_decoder,gen_inv + gen_nand2 wordline decode decomposition,outputs/openyield_module_gds/wordline_decoder,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|NETLIST_CONNECTIVITY_DIFFERS,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
wordline_driver,wordline_driver_array,gen_wl_driver,outputs/openyield_module_gds/wordline_driver,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS|PARAMETERIZATION_UNKNOWN,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_READY; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,MEDIUM,Keep as audited reference only until netlist authority and parameter mapping are locked.
