module,source_file,source_class,wave,owner,owner_branch,owner_output_prefix,current_status,dependency_modules,existing_gds_count,existing_gds_qualification_required,shared_code_owner,ledger_write_permission,reusable_release_permission,merge_authority,notes
PINV,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,Pinv family approved via M12C3A4R,Wave0,FROZEN_BASELINE,feature/step45-clean-array-aggregation,outputs/M12C3A4_*,HUMAN_REVIEWED_REUSABLE_PRIMITIVE,,9,false,Owner A,Owner A only,Owner A only,Owner A,"Frozen approved primitive family; do not modify approved reusable GDS."
TRANSMISSION_GATE,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,TransmissionGate,Wave0,FROZEN_BASELINE,feature/step45-clean-array-aggregation,outputs/M12C3A4_*|outputs/M12C3A3_*,HUMAN_REVIEWED_REUSABLE_PRIMITIVE,PINV,1,false,Owner A,Owner A only,Owner A only,Owner A,"Frozen approved primitive; only released clean reusable cell may be composed."
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,Wave1,FROZEN_BASELINE,feature/step45-clean-array-aggregation,outputs/M12C4AC_*|outputs/M12C4ACH_*,HUMAN_REVIEWED_REUSABLE_COMPOSITE,PINV|TRANSMISSION_GATE,1,false,Owner A,Owner A only,Owner A only,Owner A,"Frozen approved composite; composition source is outputs/M12C4ACH_dff_reusable_release/DFF_reusable_clean.gds."
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DFF_BUF,Wave3,FROZEN_BASELINE,feature/step45-clean-array-aggregation,outputs/Wave3_*|outputs/Wave3H1_*,HUMAN_REVIEWED_REUSABLE_COMPOSITE,DFF|PINV,1,false,Owner A,Owner A only,Owner A only,Owner A,"Frozen approved composite; reusable release exists and is Owner A managed."
PNAND2,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,PNAND2,Wave2,Owner B,collab/team-b-control-support,outputs/Wave2_PNAND*,SOURCE_EXACT_LOCKED_PHYSICAL_NOT_STARTED,,0,true,Owner B,No,No,Owner A,"Wave plan says Wave2; dependency matrix marks PRIMITIVE_GENERATOR_REQUIRED and contract matrix says qualified_for_binding=false."
PNAND3,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,PNAND3,Wave2,Owner B,collab/team-b-control-support,outputs/Wave2_PNAND*,SOURCE_EXACT_LOCKED_PHYSICAL_NOT_STARTED,,0,true,Owner B,No,No,Owner A,"Wave plan says Wave2; dependency matrix marks PRIMITIVE_GENERATOR_REQUIRED and contract matrix says qualified_for_binding=false."
AND2,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,AND2,Wave2,Owner B,collab/team-b-control-support,outputs/Wave2_AND*,COMPOSITE_BLOCKED_PENDING_PNAND_AND_PINV_BINDING,PNAND2|PINV,0,true,Owner B,No,No,Owner A,"Approved child binding matrix reports NEW_PRIMITIVE_GENERATOR_REQUIRED for NAND and inverter binding."
AND3,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,AND3,Wave2,Owner B,collab/team-b-control-support,outputs/Wave2_AND*,COMPOSITE_BLOCKED_PENDING_PNAND_AND_PINV_BINDING,PNAND3|PINV,0,true,Owner B,No,No,Owner A,"Approved child binding matrix reports NEW_PRIMITIVE_GENERATOR_REQUIRED for NAND and inverter binding."
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,Wave3,Owner B,collab/team-b-control-support,outputs/Wave3_pdrive*,SOURCE_EXACT_LOCKED_PARAMETER_BINDING_OPEN,PINV,0,true,Owner B,No,No,Owner A,"Approved child binding matrix rows are UNRESOLVED_PARAMETER for all four inverter stages."
pdrive2_for_pre,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,Wave3,Owner B,collab/team-b-control-support,outputs/Wave3_pdrive*,SOURCE_EXACT_LOCKED_PARAMETER_BINDING_OPEN,PINV,0,true,Owner B,No,No,Owner A,"Approved child binding matrix rows are UNRESOLVED_PARAMETER for both stages."
wl_pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,wl_pdrive,Wave3,Owner B,collab/team-b-control-support,outputs/Wave3_pdrive*|outputs/Wave3_wl_pdrive*,READY_FOR_PLANNING_WITH_APPROVED_PINV_CHILDREN,PINV,0,true,Owner B,No,No,Owner A,"Child binding is approved exact for both stages, but no module-level GDS is approved."
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,Wave3,Owner B,collab/team-b-control-support,outputs/Wave3_delay_chain*,READY_FOR_PLANNING_WITH_APPROVED_PINV_CHILDREN,PINV,3,true,Owner B,No,No,Owner A,"Has legacy/candidate artifacts in outputs, including openyield_module_gds and access-view wrappers; none are auto-approved for source-exact reuse."
wen_delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,WenDelayChain,Wave3,Owner B,collab/team-b-control-support,outputs/Wave3_wen_delay_chain*,SOURCE_EXACT_LOCKED_CHILD_BINDING_BLOCKED,PINV,0,true,Owner B,No,No,Owner A,"Authority files use logical module name wen_delay_chain and source class WenDelayChain; child binding matrix marks NEW_PRIMITIVE_GENERATOR_REQUIRED."
ADDR_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,ADDR_DFF,Wave4,Owner A,feature/step45-clean-array-aggregation,outputs/Wave4A_*,SOURCE_BINDING_LOCKED_PHYSICAL_NOT_STARTED,DFF,0,true,Owner A,Owner A only,Owner A only,Owner A,"Current ledgers show Wave4A-R2 PASS with physical GDS status NOT_GENERATED; shared DFF-array core belongs to Owner A."
DATA_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DATA_DFF,Wave4,Owner A,feature/step45-clean-array-aggregation,outputs/Wave4B_*,SOURCE_EXACT_LOCKED_BINDING_REVIEW_PENDING,DFF,0,true,Owner A,Owner A only,Owner A only,Owner A,"Deferred sibling stage is Wave4B and binding status is UNRESOLVED_REQUIRES_WAVE4B_SOURCE_BINDING_REVIEW."
TIME,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,TIME,Wave5,Owner A,feature/step45-clean-array-aggregation,outputs/Wave5_TIME*|outputs/Wave5_CONTROL_LOGIC*,SOURCE_EXACT_PARAMETERIZED_TOP_LEVEL_ONLY,ADDR_DFF|DATA_DFF|DFF_BUF|AND2|AND3|delay_chain|pdrive|wl_pdrive|pdrive2_for_pre,0,true,Owner A,Owner A only,Owner A only,Owner A,"Wave plan says TIME only after Waves 1-4 close; current task forbids starting TIME physical implementation."
CONTROL_LOGIC_INTEGRATION,N/A,Integration pseudo-module,Wave5,Owner A,feature/step45-clean-array-aggregation,outputs/Wave5_CONTROL_LOGIC*|outputs/TeamA_integration*,NOT_STARTED_PENDING_TEAM_HANDOFF_RESULTS,TIME|ADDR_DFF|DATA_DFF|DFF_BUF|AND2|AND3|delay_chain|pdrive|wl_pdrive|pdrive2_for_pre,0,true,Owner A,Owner A only,Owner A only,Owner A,"Final CONTROL_LOGIC integration branch, machine audit, human review, reusable release, registry and ledger closure are Owner A exclusive."
SHARED_DFF_ARRAY_CORE,N/A,Shared implementation contract,Wave4,Owner A,feature/step45-clean-array-aggregation,sram_layoutgen/openyield_adapter/team_a_shared_dff_array_*|scripts/TeamA_shared_dff_array_*,NOT_STARTED_SHARED_CODE_RESERVED,DFF,0,true,Owner A,Owner A only,Owner A only,Owner A,"Owner B must not modify shared DFF-array core unless Owner A explicitly hands off a single commit."
PROJECT_LEDGERS_AND_REGISTRY,N/A,Governance pseudo-module,WaveGovernance,Owner A,feature/step45-clean-array-aggregation,PROJECT_*|docs/reusable_registry*|outputs/*reusable_release*,ACTIVE_OWNER_A_ONLY,,0,false,Owner A,Owner A only,Owner A only,Owner A,"Covers four project ledgers, reusable registry, release/seal authority, final machine audit and human review orchestration."
