relative_path,file_type,key_classes,key_functions,depends_on,used_by,main_purpose,relevance_category
conda,source_code,NONE,NONE,UNKNOWN,UNKNOWN,Environment helper script.,UTILITY
config.py,source_code,"AttrDict, GlobalConfig, Parameter, CircuitConfig, ConfigLoader, SRAM_CONFIG","_abs_path, load_global_config, __init__, __repr__, __init__, _process_performance_metrics, _normalize_metric_bounds, __repr__, get_metric, get_metric_names, get_objective_formula, get_constraints, __init__, _coerce_numeric_like, _validate_types, __repr__, __init__, get_parameter","os, typing, yaml","demo_run_a_testbench.py, equivalent_modeling/main_sram.py, main_sram.py, size_optimization/exp_utils.py, size_optimization/experiment.py, sram_compiler/subcircuits/sram_cell_add_equivalent.py",Source file containing class-based project logic.,CONFIG
demo_run_a_testbench.py,source_code,NONE,NONE,"PySpice.Unit, config, numpy, sys, testbenches.sram_6t_core_MC_testbench, tool.Distribution.gmm_v2, tool.Distribution.normal_v1, tool.util, utils, yield_estimation.model_lib.ACS, yield_estimation.model_lib.AIS, yield_estimation.model_lib.HSCS, yield_estimation.model_lib.MC, yield_estimation.model_lib.MNIS",UNKNOWN,UNKNOWN,SCRIPT_ENTRYPOINT
equivalent_modeling/main_sram.py,source_code,NONE,"time_str_to_float, string_to_float_list","PySpice.Unit, config, datetime, numpy, os, pandas, sram_compiler.testbenches.sram_6t_core_MC_testbench, sram_compiler.testbenches.sram_6t_core_testbench, sys, time, utils",UNKNOWN,Studies or demonstrates equivalent-circuit acceleration for large SRAM simulations.,UTILITY
equivalent_modeling/run.sh,source_code,NONE,NONE,UNKNOWN,UNKNOWN,Studies or demonstrates equivalent-circuit acceleration for large SRAM simulations.,UTILITY
main_estimation.py,source_code,NONE,NONE,"PySpice.Unit, numpy, sram_yield_estimation.model_lib.ACS, sram_yield_estimation.model_lib.AIS, sram_yield_estimation.model_lib.HSCS, sram_yield_estimation.model_lib.MC, sram_yield_estimation.model_lib.MNIS, sram_yield_estimation.model_lib.spice, sram_yield_estimation.tool.Distribution.gmm_v2, sram_yield_estimation.tool.Distribution.normal_v1, testbenches.sram_6t_core_MC_testbench, testbenches.sram_6t_core_testbench, utils, warnings",UNKNOWN,Yield-estimation driver that runs SRAM failure-probability algorithms over SPICE-backed testbenches.,SCRIPT_ENTRYPOINT
main_opt.py,source_code,NONE,NONE,"importlib, os, sys, traceback",UNKNOWN,Interactive entrypoint that selects and launches SRAM sizing/architecture optimization demos.,SCRIPT_ENTRYPOINT
main_sram.py,source_code,NONE,NONE,"PySpice.Unit, datetime, numpy, os, sram_compiler.config_yaml.config, sram_compiler.testbenches.sram_6t_core_MC_testbench, sram_compiler.testbenches.yaml_change, utils",UNKNOWN,Primary SRAM simulation entrypoint that loads YAML configs and runs transistor-level SRAM testbenches.,NETLIST_SOURCE
plot_data.py,source_code,NONE,"plot_delay, plot_power, plot_rc_delay, plot_leak_delay","PySpice.Unit, matplotlib.pyplot, numpy, testbenches.sram_6t_core_MC_testbench, testbenches.sram_6t_core_testbench",UNKNOWN,UNKNOWN,UTILITY
refreshenv,source_code,NONE,NONE,UNKNOWN,UNKNOWN,Environment helper script.,UTILITY
size_optimization/MOBO/__init__.py,optimization_source,NONE,NONE,NONE,UNKNOWN,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/MOBO/acquisition.py,optimization_source,NONE,"extract_pareto_front, dominates, compute_hypervolume_2d, compute_hypervolume, compute_hypervolume_improvement, monte_carlo_ehvi, create_individuals_from_front","individual, numpy","size_optimization/MOBO/bayesian_optimizer.py, size_optimization/demo_cbo.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/MOBO/bayesian_optimizer.py,optimization_source,BayesianOptimizer,"__init__, optimize, _initial_sampling, _evaluate, _find_best_candidate, _sample_candidates","acquisition, itertools, numpy, sklearn.gaussian_process, sklearn.gaussian_process.kernels, sklearn.preprocessing, time, tqdm",size_optimization/MOBO/main.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/MOBO/individual.py,optimization_source,Individual,"__init__, __eq__, dominates",NONE,"size_optimization/MOBO/acquisition.py, size_optimization/MOBO/problem.py, size_optimization/NSGA-II/problem.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py, size_optimization/moead/problem.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/MOBO/main.py,optimization_source,NONE,"zdt1_f1, zdt1_f2, main, obj1, obj2","bayesian_optimizer, numpy, problem",UNKNOWN,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/MOBO/population.py,optimization_source,Population,"__init__, __len__, __iter__, extend, append",NONE,"size_optimization/NSGA-II/evolution.py, size_optimization/NSGA-II/nsga2_utils.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/MOBO/problem.py,optimization_source,Problem,"__init__, generate_individual, calculate_objectives","individual, numpy, random","size_optimization/MOBO/main.py, size_optimization/NSGA-II/main.py, size_optimization/moead/__init__.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/NSGA-II/__init__.py,optimization_source,NONE,NONE,NONE,UNKNOWN,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/NSGA-II/evolution.py,optimization_source,Evolution,"__init__, evolve","nsga2_utils, population, tqdm","size_optimization/NSGA-II/main.py, size_optimization/demo_nsgaii.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/NSGA-II/individual.py,optimization_source,Individual,"__init__, __eq__, dominates",NONE,"size_optimization/MOBO/acquisition.py, size_optimization/MOBO/problem.py, size_optimization/NSGA-II/problem.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py, size_optimization/moead/problem.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/NSGA-II/main.py,optimization_source,NONE,"zdt1_f1, zdt1_f2, main, obj1, obj2","evolution, numpy, problem",UNKNOWN,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/NSGA-II/nsga2_utils.py,optimization_source,NSGA2Utils,"__init__, create_initial_population, fast_nondominated_sort, calculate_crowding_distance, crowding_operator, create_children, __crossover, __get_beta, __mutate, __get_delta, __tournament, __choose_with_prob","math, population, random",size_optimization/NSGA-II/evolution.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/NSGA-II/population.py,optimization_source,Population,"__init__, __len__, __iter__, extend, append",NONE,"size_optimization/NSGA-II/evolution.py, size_optimization/NSGA-II/nsga2_utils.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/NSGA-II/problem.py,optimization_source,Problem,"__init__, generate_individual, calculate_objectives","individual, numpy, random","size_optimization/MOBO/main.py, size_optimization/NSGA-II/main.py, size_optimization/moead/__init__.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/borl_model/actor_critic.py,optimization_source,ActorCritic,"__init__, act, evaluate","logging, size_optimization.borl_model.actor_net, size_optimization.borl_model.buffer, size_optimization.borl_model.critic_net, torch, torch.distributions, torch.nn, traceback",size_optimization/borl_model/ppo.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/borl_model/actor_net.py,optimization_source,ActorPolicyNet,"__init__, forward","logging, torch, torch.nn, torch.nn.functional, traceback",size_optimization/borl_model/actor_critic.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/borl_model/buffer.py,optimization_source,Memory,"__init__, clear_memory",NONE,size_optimization/borl_model/actor_critic.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/borl_model/critic_net.py,optimization_source,CriticNet,"__init__, forward","logging, torch, torch.nn, torch.nn.functional, traceback",size_optimization/borl_model/actor_critic.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/borl_model/ppo.py,optimization_source,PPO,"__init__, update","logging, size_optimization.borl_model.actor_critic, torch, torch.nn, traceback",size_optimization/demo_roseopt.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/demo_cbo.py,optimization_source,"SRAMParameterSpace, ConstrainedBayesianOptimizer","random_search, bayesian_optimization, main, __init__, convert_params, print_params, __init__, suggest, observe","botorch.acquisition, botorch.acquisition.multi_objective.monte_carlo, botorch.fit, botorch.models, botorch.models.model_list_gp_regression, botorch.optim, botorch.utils.multi_objective.box_decompositions.non_dominated, botorch.utils.transforms, csv, gpytorch.mlls, gpytorch.mlls.sum_marginal_log_likelihood, matplotlib, matplotlib.pyplot, numpy, os, pandas, pathlib, random, size_optimization.exp_utils, sys",size_optimization/run_experiments.py,SRAM Circuit Optimization using Constrained Bayesian Optimization,OPTIMIZATION_ALGORITHM
size_optimization/demo_cmaes.py,optimization_source,"SRAMParameterSpace, CMAESOptimizer","main, __init__, dim, convert_params, print_params, __init__, run","cma, numpy, os, size_optimization.exp_utils, sys, time, torch, warnings",UNKNOWN,SRAM Circuit Optimization using CMA-ES (Covariance Matrix Adaptation Evolution Strategy),OPTIMIZATION_ALGORITHM
size_optimization/demo_cpn.py,optimization_source,"SRAMParameterSpace, TabPFNDirectFoMOptimizer","main, __init__, dim, convert_params, print_params, __init__, add_observation, get_next_point, _generate_candidates","numpy, os, scipy.stats, size_optimization.exp_utils, sys, tabpfn, time, torch, warnings",UNKNOWN,SRAM Circuit Optimization using CPN (TabPFN-based Bayesian Optimization),OPTIMIZATION_ALGORITHM
