logical_module,source_class,source_file,source_parameters,nmos_width,pmos_width,length,drive_scale,stage_count,loads_per_stage,pin_order,power_pins,input_pins,output_pins,expected_child_modules,expected_child_count,parameter_dependencies,required_generator_level,candidate_existing_generator,candidate_existing_generator_path,adapter_required,fixed_or_parameterized,must_generate_distinct_variant,expected_physical_cell_name,expected_cell_height_policy,expected_rail_policy,expected_pin_access_policy,expected_orientation_policy,generation_priority,blocking_dependencies
NMOS_DEVICE,NMOS_VTG,,model width|length,0.09e-6+,,0.05e-6,,,,D|G|S|B,B,D|G|S,,,,transistor_width|length,DEVICE,OpenRAM ptx,/data1/qujh/OpenRAM/compiler/modules/ptx.py,True,PARAMETERIZED,True,NMOS_NW{nmos}_L{length},device-only,none,device pins only,flexible,P0_REQUIRED_FIRST,LOCKED_FREEPDK45_V1
PMOS_DEVICE,PMOS_VTG,,model width|length,,0.09e-6+,0.05e-6,,,,D|G|S|B,B,D|G|S,,,,transistor_width|length,DEVICE,OpenRAM ptx,/data1/qujh/OpenRAM/compiler/modules/ptx.py,True,PARAMETERIZED,True,PMOS_PW{pmos}_L{length},device-only,none,device pins only,flexible,P0_REQUIRED_FIRST,LOCKED_FREEPDK45_V1
CONTACT,contact,,stack|dimensions,,,,,,,lower|upper,,lower,upper,,,contact array dimensions,DEVICE,OpenRAM contact,/data1/qujh/OpenRAM/compiler/base/contact.py,True,PARAMETERIZED,True,CONTACT_{stack}_{dims},primitive-contact,none,stack-specific,flexible,P0_REQUIRED_FIRST,LOCKED_FREEPDK45_V1
VIA1,contact,,stack|dimensions,,,,,,,m1|m2,,m1,m2,,,via dimensions,DEVICE,OpenRAM contact,/data1/qujh/OpenRAM/compiler/base/contact.py,True,PARAMETERIZED,True,VIA1_{dims},primitive-contact,none,stack-specific,flexible,P0_REQUIRED_FIRST,LOCKED_FREEPDK45_V1
POWER_TAP,contact,,tap type|dimensions,,,,,,,VDD|VSS,VDD|VSS,,,CONTACT,contact array,tap type,DEVICE,OpenRAM contact,/data1/qujh/OpenRAM/compiler/base/contact.py,True,PARAMETERIZED,True,POWER_TAP_{well}_{dims},row-compatible,abuttable rails,rail aligned,fixed rail orientation,P0_REQUIRED_FIRST,LOCKED_FREEPDK45_V1
PINV,PINV,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,source-traced,0.09e-6,0.27e-6,0.05e-6,1,,,VDD|VSS|A|Z,VDD|VSS,A,Z,NMOS_VTG|PMOS_VTG,operation- and topology-dependent support inverter count,source-traced,PRIMITIVE_GATE,OpenRAM pinv,/data1/qujh/OpenRAM/compiler/modules/pinv.py,True,PARAMETERIZED,True,PINV,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,OpenRAM adapter plus naming contract
PINV1,PINV1,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,source-traced,0.25e-6,0.50e-6,0.05e-6,fixed,,,VDD|VSS|A|Z,VDD|VSS,A,Z,NMOS_VTG|PMOS_VTG,source-traced per generated subcircuit graph,source-traced,PRIMITIVE_GATE,OpenRAM pinv,/data1/qujh/OpenRAM/compiler/modules/pinv.py,True,PARAMETERIZED,True,PINV1,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Distinct size variant
PINV2,PINV2,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,source-traced,0.27e-6,0.81e-6,0.05e-6,parameterized,,,VDD|VSS|A|Z,VDD|VSS,A,Z,NMOS_VTG|PMOS_VTG,source-traced per generated subcircuit graph,source-traced,PRIMITIVE_GATE,OpenRAM pinv,/data1/qujh/OpenRAM/compiler/modules/pinv.py,True,PARAMETERIZED,True,PINV2,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Distinct size variant
PINV3,PINV3,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,source-traced,0.91e-6,2.43e-6,0.05e-6,parameterized,,,VDD|VSS|A|Z,VDD|VSS,A,Z,NMOS_VTG|PMOS_VTG,source-traced per generated subcircuit graph,source-traced,PRIMITIVE_GATE,OpenRAM pinv,/data1/qujh/OpenRAM/compiler/modules/pinv.py,True,PARAMETERIZED,True,PINV3,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Distinct size variant
PINV4,PINV4,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,source-traced,2.43e-6,7.29e-6,0.05e-6,parameterized,,,VDD|VSS|A|Z,VDD|VSS,A,Z,NMOS_VTG|PMOS_VTG,source-traced per generated subcircuit graph,source-traced,PRIMITIVE_GATE,OpenRAM pinv,/data1/qujh/OpenRAM/compiler/modules/pinv.py,True,PARAMETERIZED,True,PINV4,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Distinct size variant
