blocker_id,description,machine_solvable,requires_user_action,requires_teacher_confirmation,requires_external_file,requires_external_tool,blocks_which_stage,resolution_action,status
M12N2-B02,words_per_row > 1 and arbitrary numeric column mux ratio remain unverified.,False,False,False,False,False,post-V1 parameter expansion,Add explicit raw-source-backed mux-ratio contract and generate verified >1 words_per_row samples.,OPEN
M12N2-B03,tech parameter is not connected to a physical PDK abstraction for layout generation.,False,False,False,True,False,physical tech binding,Define a physical tech/PDK contract distinct from simulation model includes.,OPEN
M12N2-B04,No complete DRC/LVS/extraction loop is available for the extracted clean top.,False,False,False,False,True,signoff verification,Keep DRC scope at candidate-cell level only; do not claim top-level physical closure.,OPEN
M12N2-B05,Control-logic physical implementation has been defined but is not implemented.,False,False,False,False,False,control-logic physical implementation,Keep this gate open until qualified library cells are assembled and then physically implemented.,DEFINED_NOT_IMPLEMENTED
M12N2-B07,OpenRAM references are still missing a matched full SPICE/LEF/Verilog/config contract for direct cross-flow equivalence.,False,False,False,True,False,cross-flow equivalence closure,Keep OpenRAM in reference-only scope.,OPEN
M12C-B08,Existing OpenYield control-logic candidate GDS files were not all trustworthy reusable cells.,True,False,False,False,False,M12C2_CONTROL_LOGIC_PHYSICAL_LIBRARY_QUALIFICATION,Keep only the qualified subset in the trusted manifest and quarantine the rest.,SPLIT_INTO_REJECTED_AND_QUALIFIED
M12C-B09,Pin and rail metadata coverage is incomplete across the full TIME primitive hierarchy.,True,False,False,False,False,M12C2_CONTROL_LOGIC_PHYSICAL_LIBRARY_QUALIFICATION,Coverage is now quantified; retain only cells with bounded metadata claims and keep incomplete cells out of the trusted manifest.,PARTIAL_REMAINING
M12C-B10,Candidate control region insertion is expected to affect or at least challenge the current top-level bbox contract.,False,False,False,False,False,M12F_CONTROL_LOGIC_FLOORPLAN_PROTOTYPE_PLAN,Keep floorplan work for a later stage.,OPEN
M12C-B11,OpenRAM control logic remains reference-only and cannot be directly reused as final OpenYield implementation.,False,False,False,False,False,implementation proof,Keep OpenRAM cells outside the direct-instance manifest.,OPEN
M12C-B12,Several transistor-level primitives and size variants still lack a parameterized physical generator plan.,True,False,False,False,False,M12C3_CONTROL_LOGIC_PRIMITIVE_LAYOUT_GENERATOR_PLAN,Plan a parameterized primitive generator for TRANSMISSION_GATE and the rejected inverter-size variants.,OPEN
M12C-B13,FreePDK45 physical tech rule binding is still not connected to the OpenYield control-logic parameter contract.,False,False,False,True,False,technology-aware implementation,Keep DRC at candidate-cell scope and avoid claiming technology-bound physical closure.,OPEN
M12C-B14,Legal provenance and qualification boundaries for direct standard-cell-style reuse remain incomplete.,False,False,False,False,False,reuse qualification,Treat reused layoutgen/OpenRAM cells as reference-only unless source- and pin-proven.,OPEN
