blocker_id,blocker_category,affected_net_or_module,c5_resolution_status,power_shape_id,power_status_after_C5,source_pin_status,target_pin_status,shape_verified_in_gds,blocks_complete_gds_after_C5,remaining_gap,next_required_action
BLK_063,APPROXIMATE_POWER_GEOMETRY,VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_064,APPROXIMATE_POWER_GEOMETRY,GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_071,PLACEHOLDER_VISUAL_GEOMETRY,VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_072,PLACEHOLDER_VISUAL_GEOMETRY,GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_073,APPROXIMATE_POWER_GEOMETRY,VDD:bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_074,APPROXIMATE_POWER_GEOMETRY,GND:bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_075,CONTRACT_POWER_STITCH,VDD:bitcell_array;dummy_array;replica_array,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_076,CONTRACT_POWER_STITCH,GND:bitcell_array;dummy_array;replica_array,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_077,CONTRACT_POWER_STITCH,VDD:row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_078,CONTRACT_POWER_STITCH,GND:row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
