area,openram_mechanism,evidence_file,class_or_function,current_openyield_status,reuse_decision,why_it_matters,next_step
compiler_orchestration,CLI config into compiler wrapper,/data1/qujh/OpenRAM/sram_compiler.py:18-64;/data1/qujh/OpenRAM/compiler/sram.py:23-158,main;sram.__init__;sram.save,Current repo has candidate-flow scripts but no full SRAM compiler,adapt,Need a clean top-level driver but with narrower scope,Build a dedicated OpenYield SRAM compiler entry later
parameter_model,Canonical SRAM parameter model,/data1/qujh/OpenRAM/compiler/sram_config.py:14-149,class sram_config,Current repo only has top-level candidate config metadata in `TopLevelAssemblyConfig`,must_learn,This is the backbone of full physical generation,Design `CanonicalSramParameters`
parameter_model,Aspect-ratio-aware mux estimation,/data1/qujh/OpenRAM/compiler/sram_config.py:151-184,estimate_words_per_row,NOT_FOUND in current full SRAM flow,can_adapt,Useful once OpenYield supports auto-choosing words_per_row,Restrict to 1 or 2 initially
registry,Dynamic module factory,/data1/qujh/OpenRAM/compiler/sram_factory.py:14-110,class sram_factory;create,Current repo already has `ModuleGDSGeneratorRegistry`,adapt,Registry pattern already fits the codebase,Generalize registry from L3 modules to SRAM path generators
array_contract,Array pin naming contract,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py:26-72,create_all_bitline_names;create_all_wordline_names,Current repo uses explicit contract pins in metadata but not a full array contract,replace_with_openyield_specific,OpenYield should keep explicit semantic pin contracts,Create array contract schema tied to OpenYield semantics
array_geometry,Bitcell pitch from real cell bbox,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py:172-205,place_array;get_column_offsets,Current repo has placement helpers in `openram_placement.py`,adapt,Placed geometry should remain the source of truth,Extend helpers into array placement model
array_wrapper,Replica + dummy + cap wrapper,/data1/qujh/OpenRAM/compiler/modules/replica_bitcell_array.py:73-120;/data1/qujh/OpenRAM/compiler/modules/capped_replica_bitcell_array.py:69-116,add_modules,NOT_FOUND in current full SRAM flow,can_adapt,Complete SRAM physical arrays need wrappers around the main array,Prototype single-port simplified wrapper
hierarchical_array,Local/global array split,/data1/qujh/OpenRAM/compiler/modules/local_bitcell_array.py:78-211;/data1/qujh/OpenRAM/compiler/modules/global_bitcell_array.py:17-160,add_modules;place;route,NOT_FOUND,can_adapt,Useful for large banks but not mandatory in first version,Defer until fanout or area demands it
row_path,Decoder + WL driver module boundary,/data1/qujh/OpenRAM/compiler/modules/port_address.py:159-234,add_modules;create_row_decoder;create_wordline_driver,NOT_FOUND,replace_with_openyield_specific,OpenYield row path should be generated from its own module semantics,Create `RowPathGenerator`
column_path,Precharge/mux/sense/write aggregation,/data1/qujh/OpenRAM/compiler/modules/port_data.py:193-266,add_modules,NOT_FOUND,replace_with_openyield_specific,OpenYield column path should be generated from its own module semantics,Create `ColumnPathGenerator`
floorplan,Bank quadrant organization,/data1/qujh/OpenRAM/compiler/modules/bank.py:291-359;677-719,place_instances;compute_sizes;route_central_bus,Current repo has candidate top assembly floorplanning only,adapt,Topology-aware placement is mandatory for SRAM,Create `TopologyAwareFloorplanner`
routing_primitives,Primitive API for path/via/pin,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py:1135-1319,add_layout_pin;add_path;add_wire;add_via_stack_center,Current repo has GDS writer but not an equivalent physical primitive layout API,must_learn,Need a geometry API below generators,Design layout DB primitives for full SRAM flow
bus_routing,Vertical/horizontal bus constructors,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py:1563-1615,create_vertical_bus;create_horizontal_bus;create_bus,NOT_FOUND,must_learn,Address/control/power buses need first-class support,Add bus primitives to new layout core
channel_routing,Conflict-graph channel router,/data1/qujh/OpenRAM/compiler/base/channel_route.py:72-260,class channel_route.route,NOT_FOUND,can_adapt,Helpful for dense structured channels,Only add if deterministic jog routing becomes insufficient
power_routing,Supply router and side pins,/data1/qujh/OpenRAM/compiler/router/supply_router.py:15-200,class supply_router.route,Current repo has rail metadata and stitch plans but no automatic power router,can_adapt,Top-level power export is a separate problem from signal placement,Create a lighter power planner first
signal_escape,Perimeter signal escape router,/data1/qujh/OpenRAM/compiler/router/signal_escape_router.py:14-214,class signal_escape_router.route,NOT_FOUND,should_not_copy,General perimeter escape routing is heavy for v1,Use deterministic SRAM I/O export first
control_logic,Replica-bitline-driven control,/data1/qujh/OpenRAM/compiler/modules/control_logic.py:102-254,setup_signal_busses;create_delay;route_delay,Current repo has control-path candidate modules but no full physical control generator,should_not_copy,OpenYield should not inherit OpenRAM timing assumptions by default,Create pluggable control semantics
delay_variant,Delay-chain-only control variant,/data1/qujh/OpenRAM/compiler/modules/control_logic_delay.py:37-371,add_modules;setup_signal_busses;create_delay,NOT_FOUND,can_adapt,Useful as a strategy example,Only revisit after timing semantics mature
lef_export,LEF generation from layout pins,/data1/qujh/OpenRAM/compiler/base/lef.py:70-203,lef_write;lef_write_pin,Current repo has `LEFWriter`,adapt,Existing LEF backend should absorb stronger pin consistency discipline,Align LEF writer with future full layout pin model
verification_hooks,Unified DRC/LVS backend hooks,/data1/qujh/OpenRAM/compiler/base/hierarchy_design.py:50-79;/data1/qujh/OpenRAM/compiler/verify/__init__.py:41-63,DRC_LVS;backend imports,Current repo has validation and triage reports but no full generated-SRAM verification hook,adapt,Need hooks without claiming signoff or closure,Expose DRC/LVS entrypoints outside generator core
gds_backend,Recursive GDS serialization,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py:1431-1492,layout.gds_write,Current repo already has custom `GDSWriter`,reuse_existing,Do not replace working GDS serialization without need,Extend current writer's layout schema
top_candidate_only,Current OpenYield top-level candidate assembly,/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/openyield_adapter/top_level_assembly.py:280-1467,OpenYieldTopLevelAssembler,present_but_candidate_only,keep_and_extend,Current flow is useful evidence and metadata infrastructure but not full SRAM physical generation,Use as handoff/reporting and metadata foundation
full_sram_top,Full SRAM physical top class,NOT_FOUND,NOT_FOUND,NOT_FOUND,replace_with_openyield_specific,Current repo has no OpenRAM-equivalent top physical generator,Create `OpenYieldSramTopGenerator`
full_bank,Full bank physical generator,NOT_FOUND,NOT_FOUND,NOT_FOUND,replace_with_openyield_specific,Current repo has no OpenRAM-equivalent bank generator,Create `OpenYieldBankGenerator`
specialized_router,SRAM-specialized router,NOT_FOUND,NOT_FOUND,NOT_FOUND,replace_with_openyield_specific,Current repo needs a lighter router focused on WL/BL/control/power,Create `SramSpecializedRouter`
