rule_id,rule_category,openram_file,class_or_function,line_reference_or_pattern,rule_summary,why_it_matters_for_complete_gds,can_adapt_to_openyield,should_not_copy_directly,c0_blockers_addressed,target_stage_C2_C6,evidence_status
SRC_001,PARAMETER_MODEL,/data1/qujh/OpenRAM/sram_compiler.py,main flow,L73:s = sram(),OpenRAM emits a full SRAM object and then saves GDS/LEF/SPICE from that assembled physical hierarchy.,Complete GDS requires one physical hierarchy that owns both module placement and exported geometry.,True,True,"GDS_HIERARCHY,VALIDATION",C6,SOURCE_BACKED
SRC_002,PARAMETER_MODEL,/data1/qujh/OpenRAM/compiler/sram.py,sram.__init__,"L54:self.s = sram(name, sram_config)",Physical layout is instantiated from a config object and then netlist/layout are created from the same parameter set.,OpenYield must keep supported-config physical geometry tied to the same config used by routing and validation.,True,False,VALIDATION,C6,SOURCE_BACKED
SRC_003,VALIDATION,/data1/qujh/OpenRAM/compiler/sram.py,sram.save,L145:self.gds_write(gdsname),Reference GDS is emitted only after layout creation and alongside LVS-oriented SPICE/LEF artifacts.,"C6 needs geometry-backed completion evidence, not a map-only handoff.",True,True,"MISSING_LVS_READY_NET_MAPPING,VALIDATION",C6,SOURCE_BACKED
SRC_004,ARRAY_STRUCTURE,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py,bitcell_base_array.create_all_bitline_names,"L41:self.bitline_names[port].extend([""bl_{0}_{1}"".format(port, col),",Bitline naming is column-major and tied directly to bitcell column ownership.,Complete routing must preserve physical column ownership from array pins through column periphery.,True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_005,ARRAY_STRUCTURE,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py,bitcell_base_array.create_all_wordline_names,"L52:self.wordline_names[port].append(""wl_{0}_{1}"".format(port, row))",Wordline naming is row-major and tied directly to bitcell row ownership.,WL geometry must map to per-row pitch and not to abstract row-wide stripes only.,True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_006,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py,bitcell_base_array.add_bitline_pins,L141:height=self.height),Array BL/BR pins are exported as full-height geometry aligned to real bitcell pin shapes.,This is the geometry-backed baseline missing from OpenYield contract-only BL/BR routes.,True,False,"MISSING_PIN_GEOMETRY,CONTRACT_ROUTE",C2,SOURCE_BACKED
SRC_007,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py,bitcell_base_array.add_wl_pins,"L156:width=self.width,",Array WL pins are exported as full-width geometry aligned to row pitch and cell access height.,OpenYield needs geometry-backed WL endpoints instead of bbox-only stripes.,True,False,"MISSING_PIN_GEOMETRY,CONTRACT_ROUTE",C2,SOURCE_BACKED
SRC_008,POWER_ROUTING,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py,bitcell_base_array.route_supplies,"L162:self.copy_layout_pin(inst, pin_name)",Array supply pins are propagated from real child instances rather than synthesized from abstract rails.,OpenYield power closure must connect to true child rail geometry.,True,False,"CONTRACT_POWER_STITCH,APPROXIMATE_POWER_GEOMETRY",C2/C5,SOURCE_BACKED
SRC_009,ARRAY_STRUCTURE,/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py,bitcell_base_array.place_array,L189:self.height = self.row_size * self.cell.height,"Array height/width derive directly from bitcell row and column pitch, with mirroring respecting bitcell orientation rules.",C3 must rebuild floorplan around real bitcell pitch rather than coarse region boxes.,True,False,"FLOORPLAN_NOT_SRAM_LIKE,PLACEHOLDER_VISUAL_GEOMETRY",C3,SOURCE_BACKED
SRC_010,ARRAY_STRUCTURE,/data1/qujh/OpenRAM/compiler/modules/bitcell_array.py,bitcell_array,L18:Assumes bit-lines and word lines are connected by abutment.,"The main array is the primary SRAM body and BL/WL continuity is achieved by cell abutment, not post-hoc overlay stripes.",OpenYield needs array-owned access geometry to anchor real routing.,True,False,"PLACEHOLDER_VISUAL_GEOMETRY,CONTRACT_ROUTE",C2/C3/C4,SOURCE_BACKED
SRC_011,DUMMY_REPLICA_BOUNDARY,/data1/qujh/OpenRAM/compiler/modules/replica_bitcell_array.py,replica_bitcell_array,PATTERN_NOT_FOUND,Replica columns live on the left/right edges of the main array and dummy rows live on the top/bottom for RBL loading.,Replica and dummy structures are not arbitrary filler; they are part of timing and edge geometry organization.,True,False,"FLOORPLAN_NOT_SRAM_LIKE,MISSING_PIN_GEOMETRY",C3,NOT_FOUND
