net_name,net_category,source_instance,source_pin,target_instance,target_pin,route_group,routing_status,uses_contract_pin,uses_approximate_geometry,shape_bbox,layer_hint,why_not_complete_gds,required_fix_stage,recommended_fix
VDD,POWER,SRAM_TOP,VDD,bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,VDD,POWER,APPROXIMATE_POWER_GEOMETRY_FOR_R4,True,True,"{'x0': 0.79, 'y0': 32.23, 'x1': 37.9025, 'y1': 32.58, 'width': 37.1125, 'height': 0.35}",M5_power_strap,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.
GND,GROUND,SRAM_TOP,GND,bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,GND,POWER,APPROXIMATE_POWER_GEOMETRY_FOR_R4,True,True,"{'x0': 0.79, 'y0': 6.35, 'x1': 37.9025, 'y1': 6.7, 'width': 37.1125, 'height': 0.35}",M5_power_strap,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.
VDD,POWER,SRAM_TOP,VDD,bitcell_array;dummy_array;replica_array,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 12.0, 'y0': 14.14, 'x1': 15.58, 'y1': 14.26, 'width': 3.58, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,bitcell_array;dummy_array;replica_array,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 12.0, 'y0': 13.94, 'x1': 15.58, 'y1': 14.06, 'width': 3.58, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
VDD,POWER,SRAM_TOP,VDD,row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 0.79, 'y0': 23.36, 'x1': 6.0725, 'y1': 23.48, 'width': 5.2825, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 0.79, 'y0': 23.16, 'x1': 6.0725, 'y1': 23.28, 'width': 5.2825, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
VDD,POWER,SRAM_TOP,VDD,precharge;column_mux;sense_amp;write_driver,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 12.0, 'y0': 21.715, 'x1': 15.525, 'y1': 21.835, 'width': 3.525, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,precharge;column_mux;sense_amp;write_driver,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 12.0, 'y0': 21.515, 'x1': 15.525, 'y1': 21.635, 'width': 3.525, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
VDD,POWER,SRAM_TOP,VDD,CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 21.58, 'y0': 31.81, 'x1': 36.9025, 'y1': 31.93, 'width': 15.3225, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,"{'x0': 21.58, 'y0': 31.61, 'x1': 36.9025, 'y1': 31.73, 'width': 15.3225, 'height': 0.12}",M4_region_rail,"Power connection is still contract-rail stitching or approximate strap geometry, not per-module rail access and via connection.",C2/C5,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
