object_name,object_type,left_right_abutment_allowed,top_bottom_abutment_allowed,same_row_gap_rule,between_row_gap_rule,same_row_abutment_pitch,between_row_pitch,orientation_pair_allowed,R0_R0_allowed,R0_MX_allowed,MX_R0_allowed,rail_alignment_required,rail_short_risk,pin_access_risk,requires_keepout,keepout_rule,abutment_rule_status,blocking_gap,next_required_action,evidence_files
bitcell,primitive,True,True,0um_edge_touch_using_full_bbox_pitch,0um_edge_touch_with_alternating_row_policy,0.895um_full_bbox_pitch,1.565um_full_bbox_pitch,R0_MX_or_MX_R0_alternating_rows,False,True,True,True,all_R0_row_seams_can_short_or_misalign_power,low_if_bbox_pitch_policy_is_preserved,False,none,ABUTMENT_RULE_CLOSED,,Freeze alternating storage seam policy into L3 array builder.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/sram_6t_core.py;technology/freepdk45/gds_lib/cell_1rw.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
dummy_cell,primitive,True,True,0um_edge_touch_using_full_bbox_pitch,0um_edge_touch_with_alternating_row_policy,0.895um_full_bbox_pitch,1.565um_full_bbox_pitch,R0_MX_or_MX_R0_alternating_rows,False,True,True,True,all_R0_row_seams_can_short_or_misalign_power,low_if_bbox_pitch_policy_is_preserved,False,none,ABUTMENT_RULE_CLOSED,,Freeze alternating storage seam policy into L3 array builder.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/dummy_row_or_column.py;technology/freepdk45/gds_lib/dummy_cell_1rw.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
replica_cell,primitive,True,True,0um_edge_touch_using_full_bbox_pitch,0um_edge_touch_with_alternating_row_policy,0.895um_full_bbox_pitch,1.565um_full_bbox_pitch,R0_MX_or_MX_R0_alternating_rows,False,True,True,True,all_R0_row_seams_can_short_or_misalign_power,low_if_bbox_pitch_policy_is_preserved,False,none,ABUTMENT_RULE_CLOSED,,Freeze alternating storage seam policy into L3 array builder.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/replica_column.py;technology/freepdk45/gds_lib/replica_cell_1rw.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
inv,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
delay_inv,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nand2,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nand3,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
nand4,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,technology/freepdk45/gds_lib/gen_nand4.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nor2,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,technology/freepdk45/gds_lib/gen_nor2.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nor3,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,docs/openyield_cell_rail_overlap_eligibility_report.json
