openyield_instance,openyield_module,openyield_role,raw_source_file,raw_source_line_start,raw_source_line_end,raw_source_snippet,source_hash,evidence_type,evidence_confidence,is_source_backed,is_inferred,layoutgen_physical_cell,layoutgen_region,used_by_translator,fallback_used,fallback_reason
CONTROL_LOGIC__semantic_instance,CONTROL_LOGIC,CONTROL_LOGIC,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,102,512,"101: 
102: class pdrive2_for_pre(BaseSubcircuit):  # ////////缓冲器链，由一系列尺寸逐渐增大的反相器组成，增强时钟信号的驱动能力，提供陡峭的时钟边沿，并减少时钟 skew
103: 
104:     NAME = ""pdrive2_for_pre""
105:     NODES = ('VDD', 'VSS', 'A', 'Z')
106: 
107:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
108:                  pmos_width=0.27e-6, nmos_width=0.18e-6,
109:                  length=0.05e-6,
110:                  drive_scale=1.0,
111:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
112:                  ):
113: 
114:         super().__init__(
115:             nmos_model, pmos_model,
116:             nmos_width, pmos_width, length,
117:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
118:         )
119: 
120:         drive_scale = max(1.0, float(drive_scale))
121:         stage1_scale = max(1.0, drive_scale ** 0.5)
122:         stage2_scale = drive_scale
123: 
124:         # 创建不同尺寸的反相器
125:         self.inv1 = Pinv(nmos_model, pmos_model,0.09e-6 * stage1_scale,0.27e-6 * stage1_scale,0.05e-6,num=1)
126:         self.inv2 = Pinv(nmos_model, pmos_model,0.27e-6 * stage2_scale,0.81e-6 * stage2_scale,0.05e-6,num=2)
127: 
128:         # 添加子电路
129:         self.subcircuit(self.inv1)
130:         self.subcircuit(self.inv2)
131: 
132:         # 构建缓冲器链
133:         self.add_buffer_chain()
134: 
135:     def add_buffer_chain(self):
136:         """"""构建两级缓冲器链""""""
137:         # 第一级: 尺寸=1
138:         self.X('buf_inv1', self.inv1.NAME,
139:                'VDD', 'VSS', 'A', 'zb1_node')
140: 
141:         # 第二级: 尺寸=3
142:         self.X('buf_inv2', self.inv2.NAME,
143:                'VDD', 'VSS', 'zb1_node', 'Z')
144: 
145: class wl_pdrive(BaseSubcircuit):  # ////////用于字线驱动的缓冲器
146: 
147:     NAME = ""wl_pdrive""
148:     NODES = ('VDD', 'VSS', 'A', 'Z')
149: 
150:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
151:                  # Base widths for NAND gate transistors
152:                  pmos_width=0.27e-6, nmos_width=0.18e-6,
153:                  length=0.05e-6,
154:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
155:                  ):
156: 
157:         super().__init__(
158:             nmos_model, pmos_model,
159:             nmos_width, pmos_width, length,
160:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
161:         )
162: 
163:         # 创建不同尺寸的反相器
164:         self.inv1 = Pinv(nmos_model, pmos_model,0.09e-6,0.27e-6,0.05e-6,num=1)
165:         self.inv2 = Pinv(nmos_model, pmos_model,0.45e-06,1.35e-06,0.05e-6,num=2)
166: 
167:         # 添加子电路
168:         self.subcircuit(self.inv1)
169:         self.subcircuit(self.inv2)
170: 
171:         # 构建缓冲器链
172:         self.add_buffer_chain()
173: 
174:     def add_buffer_chain(self):
175:         """"""构建2级缓冲器链""""""
176:         # 第一级: 尺寸=1
177:         self.X('buf_inv1', self.inv1.NAME,
178:                'VDD', 'VSS', 'A', 'zb1_node')
179: 
180:         # 第二级: 尺寸=3
181:         self.X('buf_inv2', self.inv2.NAME,
182:                'VDD', 'VSS', 'zb1_node', 'Z')
183: 
184: 
185: class dff(BaseSubcircuit):  # ////////构建传输门型触发器
186: 
187:     NAME = ""DFF""
188:     NODES = ('VDD', 'VSS', 'D', 'Q','CLK')
189: 
190:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
191:                  # Base widths for NAND gate transistors
192:                  pmos_width=5e-07, nmos_width=2.5e-07,
193:                  length=0.05e-6,
194:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
195:                  ):
196: 
197:         super().__init__(
198:             nmos_model, pmos_model,
199:             nmos_width, pmos_width, length,
200:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
201:         )
202:         self.inv_dff = Pinv(nmos_model,pmos_model,2.5e-07, 5e-07,0.05e-6,num=1)
203:         self.subcircuit(self.inv_dff)
204: 
205:         self.trans_dff = TransmissionGate(
206:             nmos_model=""NMOS_VTG"",
207:             pmos_model=""PMOS_VTG""
208:         )
209:         self.subcircuit(self.trans_dff)
210:         # 构建传输门型触发器
211:         self.add_dff()
212: 
213:     def add_dff(self):
214:         """"""构建传输门D触发器""""""
215:         # 1. 时钟反相器 - 生成clk_b
216:         self.X('inv1_clk', self.inv_dff.NAME,
217:                'VDD', 'VSS', 'CLK', 'CLKB')
218:         # 2. 主锁存器 - 第一部分
219:         #    信号反相器 - 生成D_b
220:         self.X('inv2_D', self.inv_dff.NAME,
221:                'VDD', 'VSS', 'D', 'D_b')
222:         # T1传输门 - 当CLK=0时导通
223:         self.X('tg1', self.trans_dff.NAME,
224:                'VDD', 'VSS', 'D_b', 'z1', 'CLK', 'CLKB')
225: 
226:         # 反相器3
227:         self.X('inv3', self.inv_dff.NAME,
228:                'VDD', 'VSS', 'z1', 'z2')
229: 
230:         # 反相器4 (反馈)
231:         self.X('inv4', self.inv_dff.NAME,
232:                'VDD', 'VSS', 'z2', 'z3')
233:         #T2传输门（反馈）
234:         self.X('tg2', self.trans_dff.NAME,
235:                'VDD', 'VSS', 'z3', 'z1', 'CLKB', 'CLK')
236: 
237:         # 3. 第二部分 (T3和T4)
238:          # 反相器5
239:         self.X('inv5', self.inv_dff.NAME,
240:                'VDD', 'VSS', 'z2', 'z4')
241:         # T3传输门 - 当CLK=1时导通 (反馈路径)
242:         self.X('tg3', self.trans_dff.NAME,
243:                'VDD', 'VSS', 'z4', 'z5', 'CLKB', 'CLK')
244: 
245:         # 反相器6
246:         self.X('inv6', self.inv_dff.NAME,
247:                'VDD', 'VSS', 'z5', 'Q')
248: 
249:         # 反相器7 (反馈)
250:         self.X('inv7', self.inv_dff.NAME,
251:                'VDD', 'VSS', 'Q', 'QB')
252: 
253:         # T4传输门 - 当CLK=0时导通 (反馈路径)
254:         self.X('tg4', self.trans_dff.NAME,
255:                'VDD', 'VSS', 'QB', 'z5', 'CLK', 'CLKB')
256: 
257: class DFF_BUF(BaseSubcircuit):
258:     """"""D Flip-Flop with output buffers""""""#加两级缓冲增加驱动能力
259:     NAME = ""DFF_BUF""
260:     NODES = ('VDD', 'VSS', 'D', 'Q', 'QB', 'CLK')
261: 
262:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
263:                  pmos_width=5e-07, nmos_width=2.5e-07,
264:                  length=0.05e-6,
265:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
266:                  ):
267: 
268:         super().__init__(
269:             nmos_model, pmos_model,
270:             nmos_width, pmos_width, length,
271:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
272:         )
273: 
274:         # 创建DFF和反相器
275:         self.dff1 = dff(nmos_model, pmos_model, length)
276:         self.inv1 = Pinv(nmos_model, pmos_model,0.18e-6, 0.54e-6,length=0.05e-6,num=1)  # 尺寸2
277:         self.inv2 = Pinv(nmos_model, pmos_model,0.36e-6, 1.08e-6,length=0.05e-6,num=2)  # 尺寸4
278: 
279:         self.subcircuit(self.dff1)
280:         self.subcircuit(self.inv1)
281:         self.subcircuit(self.inv2)
282: 
283:         self.add_dff_buf()
284: 
285:     def add_dff_buf(self):
286:         """"""构建带缓冲的DFF""""""
287:         # DFF
288:         self.X('dff', self.dff1.NAME,
289:                'VDD', 'VSS', 'D', 'qint', 'CLK')
290: 
291:         # 第一个反相器（尺寸2）- 产生QB
292:         self.X('inv1', self.inv1.NAME,
293:                'VDD', 'VSS', 'qint', 'QB')
294: 
295:         # 第二个反相器（尺寸4）- 产生缓冲后的Q
296:         self.X('inv2', self.inv2.NAME,
297:                'VDD', 'VSS', 'QB', 'Q')
298: 
299: class DelayChain(BaseSubcircuit):#用于复制位线延迟的延迟链
300:     """"""
301:     延迟链电路 (sram_delay_chain)
302:     输入: in, VDD, VSS
303:     输出: out
304:     """"""
305:     NAME = ""delay_chain""
306:     NODES = ('VDD', 'VSS', 'in', 'out')
307: 
308:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
309:                  pmos_width=5e-07, nmos_width=2.5e-07,
310:                  length=0.05e-6,
311:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
312:                  ):
313: 
314:         super().__init__(
315:             nmos_model, pmos_model,
316:             nmos_width, pmos_width, length,
317:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
318:         )
319: 
320:         # 创建基本反相器单元
321:         self.inv = Pinv(nmos_model, pmos_model,0.9e-07,2.7e-07, length=0.05e-6,num=1)
322:         self.subcircuit(self.inv)
323: 
324:         # 添加内部节点
325:         #self.add_internal_nodes()
326: 
327:         # 构建延迟链
328:         self.add_delay_chain()
329: 
330:     def add_delay_chain(self):
331:         """"""构建延迟链电路""""""
332:         # 第一级反相器
333:         self.X('dinv0', self.inv.NAME, 'VDD', 'VSS', 'in', 'dout_1')
334: 
335:         # 第一级的4个负载
336:         for j in range(4):
337:             self.X(f'dload_0_{j}', self.inv.NAME,
338:                    'VDD', 'VSS', 'dout_1', f'n_0_{j}')
339: 
340:         # 中间7级反相器 (第2级到第8级)
341:         for i in range(1, 8):
342:             # 反相器
343:             self.X(f'dinv{i}', self.inv.NAME,
344:                    'VDD', 'VSS', f'dout_{i}', f'dout_{i+1}')
345: 
346:             # 负载
347:             for j in range(4):
348:                 self.X(f'dload_{i}_{j}', self.inv.NAME,
349:                        'VDD', 'VSS', f'dout_{i+1}', f'n_{i}_{j}')
350: 
351:         # 最后一级反相器 (第9级)
352:         self.X('dinv8', self.inv.NAME, 'VDD', 'VSS', 'dout_8', 'out')
353: 
354:         # 最后一级的4个负载
355:         for j in range(4):
356:             self.X(f'dload_8_{j}', self.inv.NAME,
357:                    'VDD', 'VSS', 'out', f'n_8_{j}')
358: 
359: class WenDelayChain(BaseSubcircuit):
360:     NAME = ""wen_delay_chain""
361:     NODES = ('VDD', 'VSS', 'in', 'out')
362: 
363:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
364:                  length=0.05e-6, stages=4, loads_per_stage=4,
365:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF):
366: 
367:         stages = max(2, int(stages))
368:         if stages % 2:
369:             stages += 1
370: 
371:         self.stages = stages
372:         self.loads_per_stage = loads_per_stage
373: 
374:         super().__init__(
375:             nmos_model, pmos_model,
376:             0.09e-6, 0.27e-6, length,
377:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
378:         )
379: 
380:         self.inv = Pinv(
381:             nmos_model, pmos_model,
382:             nmos_width=0.09e-6,
383:             pmos_width=0.27e-6,
384:             length=length,
385:             num='_wen_delay'
386:         )
387:         self.subcircuit(self.inv)
388:         self.add_delay_chain()
389: 
390:     def add_delay_chain(self):
391:         prev = 'in'
392: 
393:         for i in range(self.stages):
394:             out = 'out' if i == self.stages - 1 else f'wen_dly_{i + 1}'
395: 
396:             self.X(f'winv{i}', self.inv.NAME,
397:                    'VDD', 'VSS', prev, out)
398: 
399:             for j in range(self.loads_per_stage):
400:                 self.X(f'wload_{i}_{j}', self.inv.NAME,
401:                        'VDD', 'VSS', out, f'wn_{i}_{j}')
402: 
403:             prev = out
404: 
405: class ADDR_DFF(BaseSubcircuit):
406:     """"""D Flip-Flop for address""""""
407:     NAME = ""ADDR_DFF""
408:     #NODES = ('VDD', 'VSS', 'D', 'Q', 'QB', 'CLK')
409: 
410:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
411:                  # Base widths for NAND gate transistors
412:                  pmos_width=5e-07, nmos_width=2.5e-07,
413:                  length=0.05e-6,num_rows=16,
414:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
415:                  ):
416:         self.num_rows = num_rows
417:         n_bits = ceil(log2(self.num_rows)) if self.num_rows > 1 else 1
418:         # 动态生成节点：包括所有地址输入、输出
419:         nodes = ['VDD', 'VSS', 'CLK']
420:         # 添加地址输入节点 A0, A1, A2, ..
421:         nodes.extend([f'A{i}' for i in range(n_bits)])
422:         # 添加地址输出节点 Q0, Q1, Q2, ...
423:         nodes.extend([f'A_dff{i}' for i in range(n_bits)])
424:         self.NODES = nodes
425: 
426:         super().__init__(
427:             nmos_model, pmos_model,
428:             nmos_width, pmos_width, length,
429:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
430:         )
431:         n_bits = ceil(log2(self.num_rows)) if self.num_rows > 1 else 1
432:         self.dff_addr = dff(nmos_model, pmos_model)
433:         self.subcircuit(self.dff_addr)
434:          # 构建地址DFF阵列
435:         self.add_addr_dff_array(n_bits)
436: 
437:     def add_addr_dff_array(self, n_bits):
438:         # 创建DFF和反相器
439:         for i in range(n_bits):
440:             self.X(f'dff_{i}', self.dff_addr.NAME,
441:                    'VDD', 'VSS', f'A{i}', f'A_dff{i}', 'CLK')
442: 
443: class DATA_DFF(BaseSubcircuit):
444:     """"""D Flip-Flop for data""""""
445:     NAME = ""DATA_DFF""
446:     # NODES会动态生成
447: 
448:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
449:                  pmos_width=5e-07, nmos_width=2.5e-07,
450:                  length=0.05e-6, num_cols=8,  # 默认16x8结构，8列数据
451:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
452:                  ):
453:         self.num_cols = num_cols
454: 
455:         # 动态生成节点：包括所有数据输入、输出和电源/时钟
456:         nodes = ['VDD', 'VSS', 'CLK']
457:         # 添加数据输入节点 DIN0, DIN1, ...
458:         nodes.extend([f'DIN{i}' for i in range(num_cols)])
459:         # 添加数据输出节点 DIN_dff0, DIN_dff1, ...
460:         nodes.extend([f'DIN_dff{i}' for i in range(num_cols)])
461:         self.NODES = nodes
462: 
463:         super().__init__(
464:             nmos_model, pmos_model,
465:             nmos_width, pmos_width, length,
466:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
467:         )
468: 
469:         # 创建单个DFF实例作为模板
470:         self.dff_data = dff(nmos_model, pmos_model, length)
471:         self.subcircuit(self.dff_data)
472: 
473:         # 构建数据DFF阵列
474:         self.add_data_dff_array(num_cols)
475: 
476:     def add_data_dff_array(self, num_cols):
477:         # 为每个数据位创建DFF
478:         for i in range(num_cols):
479:             self.X(f'dff_{i}', self.dff_data.NAME,
480:                    'VDD', 'VSS', f'DIN{i}', f'DIN_dff{i}', 'CLK')
481: 
482: 
483: class TIME(BaseSubcircuit):
484:     """"""
485:     时序信号生成
486:     输入:VDD, VSS, clk
487:     输出:clk_buf
488:     """"""
489:     NAME = ""TIME""
490:     #NODES = ('VDD', 'VSS', 'clk', 'csb','web', 'clk_buf','clk_bar','cs','gated_clk_bar','gated_clk_buf','wl_en')
491: 
492:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
493:                  # Base widths for NAND gate transistors
494:                  pmos_width=0.27e-6, nmos_width=0.18e-6,
495:                  length=0.05e-6,num_rows=16,num_cols=8,
496:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,operation='read'
497:                  ):
498:         # 计算需要的地址位数
499:         n_bits = ceil(log2(num_rows)) if num_rows > 1 else 1
500:          # 动态生成节点
501:         nodes = ['VDD', 'VSS', 'clk', 'csb', 'web', 'clk_buf', 'clk_bar',
502:                 'cs_bar','cs', 'we_bar','we','gated_clk_bar', 'gated_clk_buf', 'wl_en']
503: 
504:         # 添加地址输入输出节点
505:         nodes.extend([f'A{i}' for i in range(n_bits)])
506:         nodes.extend([f'A_dff{i}' for i in range(n_bits)])
507:         if operation == 'write' or operation == 'read&write':
508:             # 添加数据输入输出节点
509:             nodes.extend([f'DIN{i}' for i in range(num_cols)])
510:             nodes.extend([f'DIN_dff{i}' for i in range(num_cols)])
511: 
512:         nodes += ['rbl','rbl_delay','rbl_delay_bar','s_en','w_en','PRE']
513:         self.NODES = nodes",d4d729d62dfd9353ea48d767ddab1489badfe2467491c9127bca3d28d21dc643,RAW_CLASS_OR_FUNCTION,HIGH,True,False,control_logic;control_glue,CONTROL_PATH,True,False,
DELAY_CHAIN__semantic_instance,DELAY_CHAIN,DELAY_CHAIN,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/replica_column.py,10,17,"9: # ==============================================================================
10: # 1. Replica Cell (标准单元 - 纯电路拓扑)
11: # ==============================================================================
12: class Replica_Cell(BaseSubcircuit):
13:     """"""
14:     Replica Cell 拓扑结构。
15:     """"""
16:     NAME = 'Replica_CELL'
17:     NODES = ('VDD', 'VSS', 'RBL', 'RBLB', 'WL')
18: ",5b713c7faf2d14e215d1d601db581f8b73f2fc165c4399c28f9761f59da04482,RAW_CLASS_OR_FUNCTION,HIGH,True,False,gen_delay_inv chain,CONTROL_PATH,True,False,
DFF_ROW__semantic_instance,DFF_ROW,DFF_ROW,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,423,487,"422:         # 添加地址输出节点 Q0, Q1, Q2, ...
423:         nodes.extend([f'A_dff{i}' for i in range(n_bits)])
424:         self.NODES = nodes
425: 
426:         super().__init__(
427:             nmos_model, pmos_model,
428:             nmos_width, pmos_width, length,
429:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
430:         )
431:         n_bits = ceil(log2(self.num_rows)) if self.num_rows > 1 else 1
432:         self.dff_addr = dff(nmos_model, pmos_model)
433:         self.subcircuit(self.dff_addr)
434:          # 构建地址DFF阵列
435:         self.add_addr_dff_array(n_bits)
436: 
437:     def add_addr_dff_array(self, n_bits):
438:         # 创建DFF和反相器
439:         for i in range(n_bits):
440:             self.X(f'dff_{i}', self.dff_addr.NAME,
441:                    'VDD', 'VSS', f'A{i}', f'A_dff{i}', 'CLK')
442: 
443: class DATA_DFF(BaseSubcircuit):
444:     """"""D Flip-Flop for data""""""
445:     NAME = ""DATA_DFF""
446:     # NODES会动态生成
447: 
448:     def __init__(self, nmos_model=""NMOS_VTG"", pmos_model=""PMOS_VTG"",
449:                  pmos_width=5e-07, nmos_width=2.5e-07,
450:                  length=0.05e-6, num_cols=8,  # 默认16x8结构，8列数据
451:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF,
452:                  ):
453:         self.num_cols = num_cols
454: 
455:         # 动态生成节点：包括所有数据输入、输出和电源/时钟
456:         nodes = ['VDD', 'VSS', 'CLK']
457:         # 添加数据输入节点 DIN0, DIN1, ...
458:         nodes.extend([f'DIN{i}' for i in range(num_cols)])
459:         # 添加数据输出节点 DIN_dff0, DIN_dff1, ...
460:         nodes.extend([f'DIN_dff{i}' for i in range(num_cols)])
461:         self.NODES = nodes
462: 
463:         super().__init__(
464:             nmos_model, pmos_model,
465:             nmos_width, pmos_width, length,
466:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
467:         )
468: 
469:         # 创建单个DFF实例作为模板
470:         self.dff_data = dff(nmos_model, pmos_model, length)
471:         self.subcircuit(self.dff_data)
472: 
473:         # 构建数据DFF阵列
474:         self.add_data_dff_array(num_cols)
475: 
476:     def add_data_dff_array(self, num_cols):
477:         # 为每个数据位创建DFF
478:         for i in range(num_cols):
479:             self.X(f'dff_{i}', self.dff_data.NAME,
480:                    'VDD', 'VSS', f'DIN{i}', f'DIN_dff{i}', 'CLK')
481: 
482: 
483: class TIME(BaseSubcircuit):
484:     """"""
485:     时序信号生成
486:     输入:VDD, VSS, clk
487:     输出:clk_buf
488:     """"""",953ac7d1646169056129bd778b145e79bfa75da22523092ffed270988b3beb97,RAW_CLASS_OR_FUNCTION,MEDIUM,True,False,dff array,CONTROL_PATH,True,False,
GATED_CLOCK_PATH__semantic_instance,GATED_CLOCK_PATH,CLOCK_PATH,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,490,490,"489:     NAME = ""TIME""
490:     #NODES = ('VDD', 'VSS', 'clk', 'csb','web', 'clk_buf','clk_bar','cs','gated_clk_bar','gated_clk_buf','wl_en')
491: ",642d55b7890e15c7e595c47297f0b1835066a26d935b16d48ccaa1fe4cad8d95,RAW_CLASS_OR_FUNCTION,HIGH,True,False,control_glue,CONTROL_PATH,True,False,
PRECHARGE_ENABLE_PATH__semantic_instance,PRECHARGE_ENABLE_PATH,ENABLE_PATH,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,102,102,"101: 
102: class pdrive2_for_pre(BaseSubcircuit):  # ////////缓冲器链，由一系列尺寸逐渐增大的反相器组成，增强时钟信号的驱动能力，提供陡峭的时钟边沿，并减少时钟 skew
103: ",9886737c61026d9c03589fb6272d297fedc670f56d1648e5bb0cadfa8457f542,RAW_CLASS_OR_FUNCTION,MEDIUM,True,False,control_glue,CONTROL_PATH,True,False,
SENSE_ENABLE_PATH__semantic_instance,SENSE_ENABLE_PATH,ENABLE_PATH,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,512,512,"511: 
512:         nodes += ['rbl','rbl_delay','rbl_delay_bar','s_en','w_en','PRE']
513:         self.NODES = nodes",d75c85c25b8b9c227491d1d8b1d5aae4d5de64db37a6a1bb980a8eb31d52c7cb,RAW_CLASS_OR_FUNCTION,MEDIUM,True,False,control_glue,CONTROL_PATH,True,False,
WORDLINE_ENABLE_PATH__semantic_instance,WORDLINE_ENABLE_PATH,ENABLE_PATH,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,490,490,"489:     NAME = ""TIME""
490:     #NODES = ('VDD', 'VSS', 'clk', 'csb','web', 'clk_buf','clk_bar','cs','gated_clk_bar','gated_clk_buf','wl_en')
491: ",642d55b7890e15c7e595c47297f0b1835066a26d935b16d48ccaa1fe4cad8d95,RAW_CLASS_OR_FUNCTION,MEDIUM,True,False,control_glue,CONTROL_PATH,True,False,
WRITE_ENABLE_PATH__semantic_instance,WRITE_ENABLE_PATH,ENABLE_PATH,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,512,512,"511: 
512:         nodes += ['rbl','rbl_delay','rbl_delay_bar','s_en','w_en','PRE']
513:         self.NODES = nodes",d75c85c25b8b9c227491d1d8b1d5aae4d5de64db37a6a1bb980a8eb31d52c7cb,RAW_CLASS_OR_FUNCTION,MEDIUM,True,False,control_glue,CONTROL_PATH,True,False,
bitcell_array__semantic_instance,bitcell_array,ARRAY_CORE,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/sram_6t_core.py,9,9,"8:     NAME = 'SRAM_6T_CELL'
9:     NODES = ('VDD', 'VSS', 'BL', 'BLB', 'WL')
10: ",865c6824d6198462161dac12fccdcf76d243b90e48da2ffb3a8731376441e4b2,RAW_MODULE_DEFINITION,HIGH,True,False,cell_1rw,ARRAY_PATH,True,False,
column_mux__semantic_instance,column_mux,COLUMN_MUX,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/mux_and_sa.py,9,30,"8:     supports two modes:
9:     1. Generates anti-signal internally (use_external_selb=False)
10:     2.  Receives anti-signal from the outside (use_external_selb=True)
11:     """"""
12: 
13:     def __init__(self,
14:                  nmos_model, pmos_model,
15:                  nmos_width, pmos_width, length,
16:                  num_in,
17:                  use_external_selb=False, # <--- The key flag for the control mode
18:                  w_rc=False, pi_res=100 @ u_Ohm, pi_cap=0.001 @ u_pF):
19: 
20:         self.NAME = f'COLUMNMUX{num_in}'
21:         # --- 1. Dynamic definition of nodes ---
22:         nodes = ['VDD', 'VSS', 'SA_IN', 'SA_INB']
23:         # Select signals
24:         nodes += [f'SEL{i}' for i in range(num_in)]
25:         # If an external SELB is used, add SELB nodes
26:         if use_external_selb:
27:             nodes += [f'SELB{i}' for i in range(num_in)]
28:         # Bitline signals
29:         nodes += [f'BL{i}' for i in range(num_in)]
30:         nodes += [f'BLB{i}' for i in range(num_in)]
31:         self.NODES = tuple(nodes)",f78e15491e4e10eab32ea9fcc20d4cc9e25964ff3ea8c3386c943e38fd589264,RAW_CLASS_OR_FUNCTION,HIGH,True,False,gen_col_mux_vdd_labeled,COLUMN_PATH,True,False,
