module,module_category,openyield_source_found,openyield_source_path,openyield_netlist_or_semantics_status,ports_or_pins_known,local_adapter_or_module_found,local_adapter_path,physical_cell_or_gds_found,physical_cell_path,pin_mapping_status,bbox_or_size_status,placement_status,row_or_array_abutment_status,vdd_gnd_rail_status,routing_status,timing_evidence_status,drc_status,lvs_status,used_in_current_hybrid_gds,current_hybrid_status,fallback_used,fallback_reason,readiness_level,blocking_gap,next_required_action,evidence_files
bitcell_array,storage_array,True,sram_compiler/subcircuits/sram_6t_core.py,source_linked_storage_array_aggregation,array_role_known_from_layout_prototype,True,sram_layoutgen/openyield_adapter/array_aggregation.py;sram_layoutgen/openyield_adapter/layout_prototype.py,True,technology/freepdk45/gds_lib/cell_1rw.gds,array_hardcell_binding_known,hardcell_array_dimensions_known,openyield_storage_opt_in,array_abutment_in_current_hybrid,bundled_freepdk45_power_rails,array_abutment,not_a_time_control_object,no_full_openyield_drc_claim,no_full_openyield_lvs_claim,True,OpenYield-driven storage aggregation,False,,READY_FOR_CURRENT_HYBRID_GDS,non-storage peripherals remain incomplete for full OpenYield GDS,physical gap closure on non-storage peripherals,outputs/layout_prototype/hybrid_openyield/module_coverage.json;docs/openyield_layout_prototype_generation_report.json
dummy_array,storage_array,True,sram_compiler/subcircuits/dummy_row_or_column.py,source_linked_storage_array_aggregation,array_role_known_from_layout_prototype,True,sram_layoutgen/openyield_adapter/array_aggregation.py;sram_layoutgen/openyield_adapter/layout_prototype.py,True,technology/freepdk45/gds_lib/dummy_cell_1rw.gds,array_hardcell_binding_known,hardcell_array_dimensions_known,openyield_storage_opt_in,array_abutment_in_current_hybrid,bundled_freepdk45_power_rails,array_abutment,not_a_time_control_object,no_full_openyield_drc_claim,no_full_openyield_lvs_claim,True,OpenYield-driven storage aggregation,False,,READY_FOR_CURRENT_HYBRID_GDS,non-storage peripherals remain incomplete for full OpenYield GDS,keep dummy-row physical evidence aligned with storage aggregation,outputs/layout_prototype/hybrid_openyield/module_coverage.json
replica_array,storage_array,True,sram_compiler/subcircuits/replica_column.py,source_linked_storage_array_aggregation,array_role_known_from_layout_prototype,True,sram_layoutgen/openyield_adapter/array_aggregation.py;sram_layoutgen/openyield_adapter/layout_prototype.py,True,technology/freepdk45/gds_lib/replica_cell_1rw.gds,array_hardcell_binding_known,hardcell_array_dimensions_known,openyield_storage_opt_in,array_abutment_in_current_hybrid,bundled_freepdk45_power_rails,array_abutment,not_a_time_control_object,no_full_openyield_drc_claim,no_full_openyield_lvs_claim,True,OpenYield-driven storage aggregation,False,,READY_FOR_CURRENT_HYBRID_GDS,non-storage peripherals remain incomplete for full OpenYield GDS,extend replica/control coupling proof,outputs/layout_prototype/hybrid_openyield/module_coverage.json
sense_amp,read_path_peripheral,True,sram_compiler/subcircuits/mux_and_sa.py,semantic_adapter_ready_single_ended_q_to_dout,"VDD,VSS,EN,IN,INB,Q,QB contract known",True,sram_layoutgen/openyield_adapter/architecture_adapter.py;sram_layoutgen/openyield_adapter/senseamp_placement.py,True,technology/freepdk45/gds_lib/sense_amp.gds,usable_direct_pin_mapping_qb_dropped,local_sense_amp_bbox_known,adapter_placement_plan_available,column_direct_not_row_abutted,side_rails_present_across_abutment_unproven,legacy_top_level_routing,semantic_adapter_only_not_timing_closure,not_claimed,not_claimed,True,OpenYield-driven semantic adapter,False,,READY_FOR_CURRENT_HYBRID_GDS,read-path fanout/timing proof and rail continuity remain incomplete,prove grouped read-path fanout and downstream physical timing,docs/openyield_senseamp_adapter_report.json;docs/openyield_senseamp_placement_report.json;outputs/layout_prototype/hybrid_openyield/module_coverage.json
write_driver,write_path_peripheral,True,sram_compiler/subcircuits/precharge_and_write_driver.py,source_and_adapter_semantics_confirmed,"VDD,VSS,EN,DIN,BL,BLB contract known",True,sram_layoutgen/openyield_adapter/writedriver_adapter.py;sram_layoutgen/openyield_adapter/writedriver_placement.py,True,technology/freepdk45/gds_lib/write_driver.gds;technology/freepdk45/sp_lib/write_driver.sp,usable_semantic_alias_blb_to_br,write_driver_bbox_known,limited_adapter_placement_available,no_shared_rail_row_abutment_claim,vdd_gnd_present_shared_rail_disabled,legacy_top_level_routing,not_timing_closed,not_claimed,not_claimed,True,OpenYield-driven adapter,False,,READY_FOR_CURRENT_HYBRID_GDS,shared rail continuity and grouped write-path proof remain incomplete,complete grouped write-path fanout proof and rail continuity proof,docs/openyield_writedriver_adapter_report.json;docs/openyield_writedriver_placement_report.json;outputs/layout_prototype/hybrid_openyield/module_coverage.json
column_mux,read_path_peripheral,True,sram_compiler/subcircuits/mux_and_sa.py,adapter_semantics_confirmed_repaired_alias_used,"VDD,VSS,SEL,BL,BLB,OUT,OUTB contract known",True,sram_layoutgen/openyield_adapter/columnmux_adapter.py;sram_layoutgen/openyield_adapter/columnmux_placement.py,True,technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds;technology/freepdk45/gds_lib/openram_replacements/gen_col_mux.gds,usable_repaired_alias_vdd_metadata_incomplete,column_mux_bbox_known_from_repaired_alias,limited_adapter_placement_available,shared_rail_not_enabled,gnd_proven_vdd_metadata_missing_shared_rail_disabled,legacy_top_level_routing,not_timing_closed,not_claimed,not_claimed,True,OpenYield-driven repaired alias,False,,READY_FOR_CURRENT_HYBRID_GDS,VDD metadata and shared rail continuity are still not proven,prove shared rail continuity and preserve repaired candidate install discipline,docs/openyield_columnmux_adapter_report.json;docs/openyield_columnmux_placement_report.json;docs/openyield_colmux_repaired_alias_report.json;outputs/layout_prototype/hybrid_openyield/module_coverage.json
wordline_driver,row_driver_peripheral,True,sram_compiler/subcircuits/wordline_driver.py,source_semantics_confirmed_active_high,"VDD,VSS,A,B,Z contract known",True,sram_layoutgen/openyield_adapter/wordlinedriver_adapter.py;sram_layoutgen/openyield_adapter/wordlinedriver_placement.py,True,technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds;technology/freepdk45/gds_lib/gen_wl_driver.gds,usable_semantic_alias_a_b_z_confirmed,wordline_driver_bbox_known,limited_adapter_placement_available,row_driver_placement_plan_only,vdd_gnd_present_shared_rail_disabled,legacy_top_level_routing,not_timing_closed,not_claimed,not_claimed,True,OpenYield-driven adapter,False,,READY_FOR_CURRENT_HYBRID_GDS,downstream TIME/control physical decomposition and rail proof remain open,finish TIME/control-path physical decomposition and rail proof,docs/openyield_wordlinedriver_adapter_report.json;docs/openyield_wordlinedriver_placement_report.json;outputs/layout_prototype/hybrid_openyield/module_coverage.json
decoder,decoder_logic,True,sram_compiler/subcircuits/decoder.py,decoder_hierarchy_and_stage_rules_known,decoder input/output ordering known from row-rule audit,True,sram_layoutgen/openyield_adapter/decoder_row_rules.py;sram_layoutgen/openyield_adapter/decoder_preplacement_feasibility.py;sram_layoutgen/openyield_adapter/gate_row_packer.py,True,technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds,partial_proxy_level_only,metadata_bbox_proxy_only,preplacement_proxy_only_not_legal_physical_placement,decoder_rows_not_physically_proven,power_policy_defined_but_continuity_unproven,internal_decoder_routing_unproven,decoder_metadata_only_no_closure,not_claimed,not_claimed,False,not_openyield_driven_in_current_hybrid,False,,PHYSICAL_CELL_EXISTS_NEEDS_PLACEMENT,decoder remains at proxy-row / metadata stage and cannot be treated as legal physical placement,convert decoder bbox proxies into guarded placement-capable rows with pin-side and handoff proof,docs/openyield_decoder_row_rule_report.json;docs/openyield_decoder_preplacement_feasibility_report.json
decoder_gate_cells,decoder_logic,True,sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/standard_cell.py,gate_row_leaf_cells_known_with_opt_in_packing,gen_inv/gen_nand2/gen_nand4 metadata known; gen_nand3 still missing,True,sram_layoutgen/openyield_adapter/gate_row_packer.py;sram_layoutgen/openyield_adapter/cell_rail_overlap_eligibility.py,True,technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds;technology/freepdk45/gds_lib/gen_nand4.gds,partial_leaf_pin_metadata_with_missing_gen_nand3,leaf_bbox_known,explicit_opt_in_gate_row_packing_available,vertical_abutment_available_not_main_flow_default,rail_overlap_partially_classified_composite_continuity_unproven,gate_rows_packed_but_routing_unproven,decoder_metadata_only_no_timing_closure,not_claimed,not_claimed,False,not_used_in_current_hybrid_prototype_baseline,False,,PHYSICAL_PLACED_NEEDS_RAIL_STITCH,"gate rows can be packed, but composite rail continuity, gen_nand3 replacement policy, and routed handoff proof remain incomplete",decoder/gate row abutment and rail stitching verification,docs/openyield_decoder_row_rule_report.json;docs/openyield_decoder_preplacement_feasibility_report.json;docs/openyield_cell_rail_overlap_eligibility_report.json
wordline_decoder,decoder_logic,True,sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/wordline_driver.py,wordline handoff semantics known,wordline group outputs and enable-bus mapping known,True,sram_layoutgen/openyield_adapter/decoder_output_contracts.py;sram_layoutgen/openyield_adapter/decoder_preplacement_feasibility.py,True,technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds,partial_wordline_handoff_proxy_only,metadata_bbox_proxy_only,preplacement_proxy_only_not_legal_physical_placement,wordline handoff windows are metadata-only,power policy metadata only,tight_zero_margin_handoff_budget_unrouted,no_wordline_decoder_timing_closure,not_claimed,not_claimed,False,not_openyield_driven_in_current_hybrid,False,,PHYSICAL_CELL_EXISTS_NEEDS_PLACEMENT,wordline decoder handoff is proxy-based with zero margin and no routed geometry,relieve wordline handoff budget and prove legal placement before physical integration,docs/openyield_decoder_preplacement_feasibility_report.json;docs/openyield_decoder_row_rule_report.json
