gap_id,scope,description,evidence,owner,priority,blocking,required_action,expected_output,validation,resolution_status,resolution_note
P0-001,project_status,项目级 CURRENT_STATUS 与旧 Wave4A 状态文件不一致，缺少项目级新基线,PROJECT_LAYOUTGEN_OPENYIELD_STATUS.json still points to Wave4A-R2,project,P0,True,establish PROJECT_CURRENT_STATUS and baseline snapshot,PROJECT_CURRENT_STATUS.json,project gate current_status_complete,CLOSED_WITH_EVIDENCE,PROJECT_LAYOUTGEN_OPENYIELD_STATUS.json/.md updated; docs/PROJECT_CURRENT_STATUS.json remains project source of truth
P0-002,result_inventory,历史“30 个 SRAM 配置 / 21 个实现模块”说法未从当前主线显式复核,current explicit inventory derives only 5 named configs,project,P0,True,treat old count as unresolved and require explicit evidence expansion,SRAM_CONFIGURATION_AUDIT.md,explicit config inventory only uses evidence-backed rows,CLOSED_WITH_EVIDENCE,HISTORICAL_30_CONFIG_21_MODULE_CLAIM_AUDIT.* and expanded SRAM_CONFIGURATION_INVENTORY.*
P0-003,other_team_results,其他组员成果仅发现来源和审阅痕迹，尚未进入主线回收计划,owner_a logical model worktree and remote branches unmerged,project,P0,True,owner review and merge/cherry-pick planning,OTHER_TEAM_RESULT_RECOVERY_PLAN.md,branch audit completed,BLOCKED_EXTERNAL,Author attribution is now conservatively confirmed as PROJECT_TEAM_JOINT_WORK
P1-001,parameterization,逻辑容量字段仍部分依赖 fallback，尚未形成纯 raw-source-backed public config path,M11_remaining_gap_report.json,project,P1,False,replace fallback with first-class config manifest,new config authority audit,word_size/num_words/words_per_row raw-backed,MACHINE_CLOSED,Formal config schema/source binding/validator/inventory added.
P1-002,decoder_physicalization,decoder 仍停留在规则/代理/临时 wrapper 阶段,outputs/PROJECT_decoder_rebuild/current_supported_config/DECODER_MACHINE_GATE.json; docs/DECODER_REBUILD_EXECUTION_AUDIT.json,project,P1,False,complete legal placement and routing closure,decoder machine gate,decoder status >= MACHINE_VERIFIED,BLOCKED_TECHNICAL,"Decoder rebuild flow exists, but decoder child authority audit proves wildcard semantic pins with zero native GDS labels, while child generation reports remain candidate geometry and the fresh top still shows 2663 DRC markers."
P1-003,top_level_signoff,M2R top-level full SRAM 没有外部 DRC/LVS/PEX 和最终 signoff,M2R signoff_blockers,project,P1,False,run external signoff toolchain or document exclusion,signoff audit,external signoff criteria updated,CLOSED_AS_DOCUMENTED_BOUNDARY,Claim-policy checker and signoff-boundary audit added.
P1-004,multi_bank,bank_count 只验证到 1,M2R_locked_sram_spec.json,project,P1,False,design and audit multi-bank physical flow,multi-bank config evidence,bank_count support_level updated,CLOSED_AS_DOCUMENTED_BOUNDARY,Single-bank authority boundary formalized; multi-bank remains not implemented.
P1-005,logic_simulation_assets,服务器已有 Icarus/Verilator 但当前工作树未发现可信项目级 Verilog 资产,docs/SIMULATION_INPUT_GAP_REPORT.md; docs/PROJECT_SIMULATION_TOOL_SELECTION.md,project,P1,True,locate or recover authoritative Verilog/testbench set before Level-1 logic regressions,logic regression gate with source-backed RTL/structural assets,logic_primary not equal NOT_AVAILABLE_WITH_CURRENT_EVIDENCE,BLOCKED_TECHNICAL,Tool availability is real but project evidence is asset-blocked: trusted Verilog asset count is 0.
P1-006,decoder_live_closure,用户要求的 decoder 24-marker M2-only 闭合基线与专用 gate 未在当前恢复工作树中发现，当前已转入可复现重建决策,docs/DECODER_BASELINE_RECOVERY_OR_REBUILD_DECISION.json; outputs/PROJECT_decoder_rebuild/current_supported_config/DECODER_MACHINE_GATE.json; docs/DECODER_REBUILD_EXECUTION_AUDIT.json,project,P1,True,rebuild a fresh decoder baseline only when an executable decoder machine gate/determinism/negative-suite loop exists,decoder machine gate with marker deltas and negative suite,decoder_revalidated true and decoder status >= MACHINE_VERIFIED,BLOCKED_TECHNICAL,"Historical baseline recovery still failed, but rebuild is no longer waiting on a missing gate. Fresh executable rebuild evidence exists and is blocked by wildcard child pin abstractions plus 2663 DRC markers."
P1-007,representative_sram_function_sim,代表性 SRAM 功能仿真仍缺少审阅过的 project-owned functional testbench 且顶层接口绑定未闭合,docs/PROJECT_SRAM_CONTROL_TIMING_CONTRACT.json; docs/PROJECT_SRAM_TB_BINDING_DECISION.md; docs/TESTBENCH_ASSET_AUDIT.md,project,P1,True,freeze clk/csb/web/TIME semantics and bind a reviewed top-level TB before claiming SRAM functional regression,functional SRAM regression summary with pass/fail automation,write/read/hold sequences reproducibly pass on trusted top-level assets,BLOCKED_TECHNICAL,Timing-oracle audit proves the remaining blockers are exact-source gaps: startup-clamp overlap leaves TIME_schedule unfrozen; write validation depends on internal Q/QB not exported by the current top; disabled-hold exists upstream only as single-cell SNM/DC evidence.
