field,upstream_reference,current_project_authority,status,blocking_detail
dut_name,OPENYIELD_SRAM_TOP_V1 and compiler-driven transient assembly,OPENYIELD_SRAM_TOP_V1 subckt exists in clean-top SPICE but is not yet bound to a reviewed project functional TB,BLOCKED,Current project has the netlist but no reviewed project-owned TB contract for full top-level use
execution_model,Python PySpice transient harness plus Xyce MC helper,Standalone SPICE netlists and server ngspice/Xyce binaries exist,BLOCKED,Current project lacks a reviewed project functional runner that preserves upstream TIME semantics
clock_semantics,clk pulse generated by testbench with operation-specific scheduling,No reviewed current-project schedule contract for SRAM read/write cycles,BLOCKED,Exact cycle timing for clk relative to csb/web/PRE is not yet frozen for project evidence
chip_select_semantics,csb active-low input transformed into cs/cs_bar by TIME,No project-owned functional TB binding for csb to TIME,BLOCKED,Would be speculative to invent csb sequencing
write_enable_semantics,web active-low input transformed into we/we_bar by TIME,No project-owned functional TB binding for web to TIME,BLOCKED,Would be speculative to invent web sequencing
address_semantics,A0..A3 plus A_dff0..A_dff3 captured and measured,Current authoritative core-array subckt exposes only BL/BLB/WL rails without address pins,BLOCKED,Address behavior is absent at the core-array-only interface
data_semantics,DIN0..DIN15 plus DIN_dff0..DIN_dff15,Current authoritative core-array subckt exposes no DIN pins,BLOCKED,Write-data behavior is absent at the core-array-only interface
read_observation,SA_Q/SA_QB and OUT nodes measured,Current authoritative core-array subckt exposes no sense-amp outputs,BLOCKED,Read result observation points are not available on the isolated core array
array_interface,BL/BLB/WL visible through full top-level assembly,SRAM_6T_CORE_16x16 exposes BL0..15 BLB0..15 WL0..15,PARTIAL,Core-array-only transient is possible but is not equivalent to full SRAM functional proof
simulator,PySpice transient and Xyce MC path,ngspice primary and Xyce secondary are available,PARTIAL,Tool availability is real; interface contract remains the blocker
model_include,pdk_path_TT driven include,/data1/qujh/work/external/OpenYield/tran_models/models_TT.spice is included by authoritative clean-top SPICE,PARTIAL,Model availability is sufficient for module-level SPICE but not enough to close top-level TB semantics alone
