openyield_module,openyield_source_path,local_layoutgen_module,local_layoutgen_path,mapping_type,mapping_status,known_aliases,semantic_mismatch,next_required_action
SRAM_TOP,sram_compiler/testbenches/sram_6t_core_testbench.py,standalone top assembly,sram_layoutgen/netlist_writer.py,PARTIAL_MATCH,metadata_only,top assembly;hybrid prototype,Local top uses word_size/rows/cols abstraction; OpenYield top is transient testbench assembly.,Freeze a canonical top-level SRAM semantic contract.
BANK,sram_compiler/testbenches/sram_6t_core_testbench.py,,not_found,NO_LOCAL_COUNTERPART,unresolved,single implicit bank,No explicit BANK abstraction exists in either OpenYield source or current standalone flow.,Keep one-bank assumption until a bank object is introduced.
bitcell_array,sram_compiler/subcircuits/sram_6t_core.py,storage aggregation plan,sram_layoutgen/openyield_adapter/array_aggregation.py,PARTIAL_MATCH,mapped,SRAM_6T_CORE_*;cell_1rw array,OpenYield exposes a hierarchical subckt; local flow places imported hardcells.,Retain bitcell-array semantic aliasing.
dummy_array,sram_compiler/subcircuits/dummy_row_or_column.py,dummy aggregation plan,sram_layoutgen/openyield_adapter/array_aggregation.py,DIRECT_MATCH,mapped,Dummy_Row;Dummy_Column,Local flow currently uses only side dummy columns in standalone integration.,Document dummy-row omission if top-level floorplan excludes it.
replica_array,sram_compiler/subcircuits/replica_column.py,replica aggregation plan,sram_layoutgen/openyield_adapter/array_aggregation.py,DIRECT_MATCH,mapped,Replica_Column,Replica coupling to control timing is still metadata-only.,Keep RWL/RBL semantics explicit.
row_decoder,sram_compiler/subcircuits/decoder.py,decoder proxy plan,sram_layoutgen/openyield_adapter/decoder_row_rules.py,PARTIAL_MATCH,mapped_proxy_only,DECODER3_8;DECODER_CASCADE,"Local flow has decoder metadata and proxy placement, not full assembled decoder routing.",Complete decoder composite contract.
wordline_decoder,sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/wordline_driver.py,decoder output contracts,sram_layoutgen/openyield_adapter/decoder_output_contracts.py,PARTIAL_MATCH,mapped_proxy_only,row_decoder_to_wldriver,Wordline handoff is metadata-only.,Freeze handoff pin-side conventions before L1.
decoder_gate_cells,sram_compiler/subcircuits/standard_cell.py,gate-row packing,sram_layoutgen/openyield_adapter/gate_row_packer.py,ALIAS_MATCH,mapped,gen_inv;gen_nand2;gen_nand4,OpenYield leaf gates are generic logic; local uses replacement macro aliases.,Keep alias list stable.
wordline_driver,sram_compiler/subcircuits/wordline_driver.py,wordline driver adapter,sram_layoutgen/openyield_adapter/wordlinedriver_adapter.py,DIRECT_MATCH,mapped,WORDLINEDRIVER;gen_wl_driver,"Local macro is a hardcell replacement, not the literal transistor-level OpenYield subckt.",Preserve A/B/Z semantic contract.
wordline_driver_gate_cells,sram_compiler/subcircuits/wordline_driver.py;sram_compiler/subcircuits/standard_cell.py,gate-row packing,sram_layoutgen/openyield_adapter/gate_row_packer.py,PARTIAL_MATCH,mapped_proxy_only,PNAND2;Pinv,"Leaf factoring exists, but assembled routing is not closed.",Keep leaf-vs-composite distinction explicit.
column_mux,sram_compiler/subcircuits/mux_and_sa.py,column mux adapter,sram_layoutgen/openyield_adapter/columnmux_adapter.py,ALIAS_MATCH,mapped,COLUMNMUX*;gen_col_mux,OpenYield mux may expose OUTB/SELB semantics that require repaired alias metadata.,Keep repaired alias evidence tied to this mapping.
sense_amp,sram_compiler/subcircuits/mux_and_sa.py,sense amp architecture adapter,sram_layoutgen/openyield_adapter/architecture_adapter.py,PARTIAL_MATCH,mapped_with_qb_drop,SENSEAMP,Local hardcell is single-ended; OpenYield exposes Q/QB.,Keep QB treatment explicit in the read-path contract.
write_driver,sram_compiler/subcircuits/precharge_and_write_driver.py,write driver adapter,sram_layoutgen/openyield_adapter/writedriver_adapter.py,DIRECT_MATCH,mapped,WRITEDRIVER,Local macro is hardcell-backed rather than literal transistor netlist.,Preserve EN/DIN/BL/BLB semantics.
precharge,sram_compiler/subcircuits/precharge_and_write_driver.py,gen_precharge fallback,sram_layoutgen/netlist_writer.py,LEGACY_FALLBACK,partially_mapped,PRECHARGE;gen_precharge,Local flow still uses legacy precharge naming and active-high EN abstraction in some places.,Normalize active-low PRE/ENB semantics.
DELAY_CHAIN,sram_compiler/subcircuits/time_generate.py,delay timing metadata consumer,sram_layoutgen/openyield_adapter/delay_chain_timing_metadata.py,PARTIAL_MATCH,metadata_only,delay_chain;gen_delay_inv,"Local flow models a leaf inverter macro and timing metadata, not the full chain topology.",Keep chain topology in metadata until control placement exists.
PRECHARGE_ENABLE_PATH,sram_compiler/subcircuits/time_generate.py,,not_found,NO_LOCAL_COUNTERPART,unresolved,PRE path,No explicit local control-path object exists.,Create a dedicated control-path semantic object before physical planning.
SENSE_ENABLE_PATH,sram_compiler/subcircuits/time_generate.py,,not_found,NO_LOCAL_COUNTERPART,unresolved,s_en path,No explicit local control-path object exists.,Create a dedicated control-path semantic object before physical planning.
WRITE_ENABLE_PATH,sram_compiler/subcircuits/time_generate.py,,not_found,NO_LOCAL_COUNTERPART,unresolved,w_en path,No explicit local control-path object exists.,Create a dedicated control-path semantic object before physical planning.
WORDLINE_ENABLE_PATH,sram_compiler/subcircuits/time_generate.py,,not_found,NO_LOCAL_COUNTERPART,unresolved,wl_en path,No explicit local control-path object exists.,Create a dedicated control-path semantic object before physical planning.
GATED_CLOCK_PATH,sram_compiler/subcircuits/time_generate.py,,not_found,NO_LOCAL_COUNTERPART,unresolved,gated_clk path,No explicit local control-path object exists.,Create a dedicated control-path semantic object before physical planning.
DFF_ROW,sram_compiler/subcircuits/time_generate.py,DFF array adapter,sram_layoutgen/openyield_adapter/dff_array_adapter.py,PARTIAL_MATCH,metadata_only,ADDR_DFF;DATA_DFF;dff,"Local flow audits DFF leaf compatibility and row metadata, not full integrated control rows.",Freeze DFF row packing contract.
CONTROL_LOGIC,sram_compiler/subcircuits/time_generate.py,control decomposition metadata,sram_layoutgen/openyield_adapter/control_decomposition.py,PARTIAL_MATCH,metadata_only,TIME,TIME is composite and not directly placeable in local flow.,Keep composite control decomposition authoritative at L0.
