asset_id,asset_name,required_for_netlist_to_layout,current_status,status_level,evidence_paths,evidence_summary,source_stage,is_complete,is_partial,is_missing,blocking_for_next_stage,blocking_reason,must_reuse_artifacts,deprecated_artifacts_not_to_use,next_action,next_stage_to_fill,priority
NETLIST_SEMANTICS,网表 / module / instance / net / pin 连接语义,True,COMPLETE,COMPLETE,"['outputs/M10_raw_openyield_trace/current_supported_config/M10_source_backed_module_trace.csv', 'outputs/M10_raw_openyield_trace/current_supported_config/M10_source_backed_net_trace.csv', 'outputs/M10_raw_openyield_trace/current_supported_config/M10_source_backed_instance_trace.csv', 'outputs/M9_openyield_netlist_translator/current_supported_config/M9_net_binding_matrix.csv']","M10 source-backed module/net/instance trace and M9 net binding matrix cover the current supported translator semantics, but this does not expand into a full raw compiler claim.",M9/M10/M10H,True,False,False,False,"Semantic trace is reusable for the locked supported config; remaining blocker is claim scope, not missing semantics evidence.","['outputs/M10_raw_openyield_trace/current_supported_config/M10_source_backed_module_trace.csv', 'outputs/M10_raw_openyield_trace/current_supported_config/M10_source_backed_net_trace.csv', 'docs/M10H_confirm_source_backed_translator_report.json']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']",Freeze M10 source-backed trace as the semantic baseline for all later qualification work.,REUSE_IN_M11A_AND_LATER,P1
PHYSICAL_IMPLEMENTATION_LIBRARY,模块物理实现库，包括 layoutgen cell、OpenYield module GDS、hardmacro 候选,True,PARTIAL,PARTIAL,"['outputs/openyield_module_gds/', 'docs/mapping/openyield_module_gds_inventory.csv', 'outputs/M9_openyield_netlist_translator/current_supported_config/M9_module_binding_matrix.csv']","OpenYield module GDS inventory exists for 20 modules and M9 binds them semantically, but the library is not yet qualified for hardmacro substitution.",L3/M1/M9,False,True,False,True,"Existing module GDS are candidates, not qualified replacements for final SRAM assembly or selective substitution.","['outputs/openyield_module_gds/', 'docs/mapping/openyield_module_gds_inventory.csv', 'outputs/M9_openyield_netlist_translator/current_supported_config/M9_module_binding_matrix.csv']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']",Run M11A to qualify which OpenYield module GDS can be treated as reusable hardmacros versus fallback-only candidates.,M11A,P0
PIN_BBOX_RAIL_METADATA,pin / bbox / rail / layer / access metadata,True,PARTIAL,PARTIAL,"['outputs/openyield_module_gds/', 'docs/mapping/openyield_rail_rule_matrix.csv', 'outputs/M8R_fix_golden_geometry_delta/current_supported_config/M8R_fixed_reproduction_report.json']","Per-module pins/bbox/rail artifacts exist and M8R proves top-level rail overlap recovery, but qualified module-by-module extraction and access validation are incomplete.",L3/M8R/M9,False,True,False,True,"Metadata exists, but not every OpenYield module GDS pin/bbox/rail record has been qualification-checked for substitution use.","['outputs/openyield_module_gds/*/pins.json', 'outputs/openyield_module_gds/*/bbox.json', 'outputs/openyield_module_gds/*/rail_report.json']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']",Run M11B on top of M11A results to extract and verify pin/bbox/rail metadata only from qualified module GDS.,M11B,P0
SRAM_CONFIGURATION,SRAM 参数配置，包括 word_size、num_words、words_per_row、rows、cols、mux ratio,True,PARTIAL,PARTIAL,"['docs/M11_openyield_config_variation_report.json', 'docs/mapping/M11_spec_field_source_matrix.csv', 'outputs/M11_openyield_config_variation/current_supported_config/M11_variation_support_report.json']","M11 adds variation support and can derive 8x64_wpr4, 4x32_wpr2, 16x16_wpr1, but word_size/num_words/words_per_row still rely on fallback and M11H gate is missing=True.",M11,False,True,False,True,Raw-backed capacity/config coverage is incomplete and M11H confirmation file does not exist.,"['docs/M11_openyield_config_variation_report.json', 'docs/mapping/M11_spec_field_source_matrix.csv', 'outputs/M11_openyield_config_variation/current_supported_config/M11_variation_support_report.json']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']","First clear M11H gate status, then keep narrowing fallback fields before claiming config-aware translator v3.",M11H,P0
FLOORPLAN_RULES,floorplan 规则，包括 array、row path、column path、control、top pin 区域,True,PARTIAL,PARTIAL,"['outputs/M9_openyield_netlist_translator/current_supported_config/M9_placement_routing_power_intent.json', 'outputs/M10_raw_openyield_trace/current_supported_config/M10_translator_generation_report.json', 'outputs/M11_openyield_config_variation/current_supported_config/M11_variation_support_report.json']","Locked golden flow reproduces the supported config exactly, but adaptive floorplan rules for variation output and selective hardmacro replacement are not yet proven.",M8R/M9/M10/M11,False,True,False,True,Current floorplan evidence is strong for the locked golden path only; generalized variation and substitution rules are not yet closed.,"['outputs/M9_openyield_netlist_translator/current_supported_config/M9_placement_routing_power_intent.json', 'outputs/M8R_fix_golden_geometry_delta/current_supported_config/m8r_reproduced_fixed.gds']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']","After M11A/M11B, run selective substitution smoke and variation generation to prove adaptive floorplan behavior.",M11C,P1
PLACEMENT_RULES,placement / abutment / orientation / pitch 对齐规则,True,PARTIAL,PARTIAL,"['docs/mapping/openyield_placement_rule_matrix.csv', 'outputs/M9_openyield_netlist_translator/current_supported_config/M9_module_binding_matrix.csv', 'outputs/M8R_fix_golden_geometry_delta/current_supported_config/M8R_fixed_reproduction_report.json']","Placement, abutment, orientation, and pitch rules are documented and reused by the locked translator path, but they are not proven under qualified OpenYield module substitution.",L2/L3/M8R/M9,False,True,False,True,"Rulebooks exist, yet no qualified placement proof exists for selective OpenYield hardmacro insertion.","['docs/mapping/openyield_placement_rule_matrix.csv', 'outputs/M9_openyield_netlist_translator/current_supported_config/M9_module_binding_matrix.csv']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']",Use M11A/M11B outputs to rerun placement smoke for qualified substitution sites.,M11C,P1
ROUTING_RULES,WL、BL/BR、control、data、addr、enable 等 routing 规则,True,PARTIAL,PARTIAL,"['outputs/M9_openyield_netlist_translator/current_supported_config/M9_net_binding_matrix.csv', 'outputs/M8R_fix_golden_geometry_delta/current_supported_config/M8R_fixed_reproduction_report.json', 'outputs/M10_raw_openyield_trace/current_supported_config/M10_vs_golden_geometry_diff_report.json']","Routing semantics and exact-match locked flow are proven, but variable routing adaptation for non-locked variations and qualified module substitution is not yet demonstrated.",M8R/M9/M10/M11,False,True,False,True,"Current routing proof is locked-flow exact match, not variation-aware or substitution-aware routing closure.","['outputs/M9_openyield_netlist_translator/current_supported_config/M9_net_binding_matrix.csv', 'outputs/M8R_fix_golden_geometry_delta/current_supported_config/M8R_fixed_reproduction_report.json']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']",Generate variation GDS and routing/power adaptation evidence after module qualification.,M12B,P1
POWER_PLAN,VDD/GND rail overlap、stitch、abutment、top power pin 策略,True,PARTIAL,PARTIAL,"['outputs/M8R_fix_golden_geometry_delta/current_supported_config/M8R_fixed_reproduction_report.json', 'docs/mapping/openyield_rail_rule_matrix.csv', 'outputs/M9_openyield_netlist_translator/current_supported_config/M9_net_binding_matrix.csv']","M8R recovered the locked power rail overlap and top-level stitch geometry, but qualified module-boundary rail compatibility and substitution-era stitch policy remain open.",M8R/L2/L3/M9,False,True,False,True,Power evidence is exact for the locked baseline only; module boundary compatibility with OpenYield GDS candidates is not qualified.,"['outputs/M8R_fix_golden_geometry_delta/current_supported_config/M8R_fixed_reproduction_report.json', 'docs/mapping/openyield_rail_rule_matrix.csv']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']","After M11B metadata extraction, qualify rail overlap/stitch compatibility for each substitution candidate.",M12B,P1
GDS_GENERATION_FLOW,GDS generator / layoutgen golden flow / write_standalone 入口,True,COMPLETE,COMPLETE,"['sram_layoutgen/standalone.py', 'outputs/M8R_fix_golden_geometry_delta/current_supported_config/M8R_fixed_reproduction_report.json', 'docs/M10H_confirm_source_backed_translator_report.json', 'docs/M11_openyield_config_variation_report.json']","The locked layoutgen golden flow and write_standalone entry are proven and reused across M8R, M10, and M11 for current supported delivery.",M8R/M10/M11,True,False,False,False,"Generation entry itself is not blocked; extension work is needed in other assets, not in the existence of the flow.","['sram_layoutgen/standalone.py', 'outputs/M8R_fix_golden_geometry_delta/current_supported_config/m8r_reproduced_fixed.gds']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']",Keep the locked golden flow unchanged while extending inputs around it.,REUSE_AS_BASELINE,P1
VERIFICATION_AND_TRACE,GDS sanity、golden diff、module/net trace、DRC/LVS feasibility、人工 KLayout review,True,PARTIAL,PARTIAL,"['outputs/M10_raw_openyield_trace/current_supported_config/review_gds_manifest.json', 'outputs/M11_openyield_config_variation/current_supported_config/review_gds_manifest.json', 'docs/M10H_confirm_source_backed_translator_report.json', 'docs/M11_openyield_config_variation_report.json']","GDS sanity, exact-match diff, and source-backed trace exist, but DRC/LVS/signoff claims remain false and M11H confirmation present=False.",M8R/M10/M10H/M11,False,True,False,True,Human KLayout review is required and DRC/LVS/netlist-to-layout equivalence are not yet closed.,"['outputs/M10_raw_openyield_trace/current_supported_config/review_gds_manifest.json', 'outputs/M11_openyield_config_variation/current_supported_config/review_gds_manifest.json']","['outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds', '*_access_module', 'floorplan_proxy*', 'outputs/openyield_complete_sram/current_supported_config/openyield_complete_sram.gds']","Keep review manifests and diff reports, then advance to DRC/LVS feasibility only after qualification and variation adaptation work.",M13,P0
