logical_module,candidate_gds_path,top_cell_name,top_cell_has_direct_geometry,top_cell_reference_count,expected_child_module_multiset,candidate_child_cell_multiset,obvious_hierarchy_or_connectivity_failure,connectivity_note
ADDR_DFF,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,DFF_ROW,False,4,TIME,dff|dff|dff|dff,False,"Qualified as a bounded hierarchical child candidate, not as a final CONTROL_LOGIC top."
AND2,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,decoder_gate_cells,False,7,DECODER3_8|OPENYIELD_SRAM_TOP_V1|TIME,gen_inv|gen_inv|gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand4,False,Candidate file represents a broader path/composite or the wrong primitive type.
AND3,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,decoder_gate_cells,False,7,DECODER3_8|TIME,gen_inv|gen_inv|gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand4,False,Candidate file represents a broader path/composite or the wrong primitive type.
DATA_DFF,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,DFF_ROW,False,4,TIME,dff|dff|dff|dff,False,"Qualified as a bounded hierarchical child candidate, not as a final CONTROL_LOGIC top."
DFF,,dff,False,0,ADDR_DFF|DATA_DFF|DFF_BUF,,False,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance."
DFF_BUF,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,DFF_ROW,False,4,TIME,dff|dff|dff|dff,False,"Candidate composite provides some geometry, but source-to-physical trace is incomplete for exact logical reuse."
NMOS_VTG,,,False,0,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,,True,"SPICE device model name, not a placeable hardmacro."
PINV,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,wordline_driver_gate_cells,False,5,AND2|AND3|DECODER3_8|D_LATCH|TIME|WORDLINEDRIVER,gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand2,False,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance."
PINV1,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,wordline_driver_gate_cells,False,5,DFF|DFF_BUF|delay_chain|pdrive|pdrive2_for_pre|wl_pdrive,gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand2,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV2,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,wordline_driver_gate_cells,False,5,DFF_BUF|pdrive|pdrive2_for_pre|wl_pdrive,gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand2,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV3,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,wordline_driver_gate_cells,False,5,pdrive,gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand2,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV4,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,wordline_driver_gate_cells,False,5,pdrive,gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand2,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV_wl_en_bar,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,wordline_driver_gate_cells,False,5,TIME,gen_inv|gen_inv|gen_nand2|gen_nand2|gen_nand2,False,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance."
PMOS_VTG,,,False,0,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|PRECHARGE|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,,True,"SPICE device model name, not a placeable hardmacro."
