section,required_claim,supporting_source,figure_needed,table_needed,data_complete,claim_risk,missing_evidence,next_action
摘要,项目完成了 Team B 九单元正式闭合并建立了项目级盘点，同时把服务器真实能力边界推进到统一人工审核,docs/TEAM_B_CURRENT_STATUS.json; docs/PROJECT_CURRENT_STATUS.json; docs/PROJECT_INDUSTRIAL_GAP_CLOSURE_GATE.json,,项目成果状态矩阵,True,low,,reuse generated matrix and live closure gate
研究背景,OpenRAM / layoutgen / OpenYield 三路线关系,docs/OPENRAM_LAYOUTGEN_OPENYIELD_COMPARISON.md,三路线架构对比图,comparison matrix,True,low,,render comparison figure
总体架构,主线、外部 OpenYield、Team B 闭环关系,docs/PROJECT_BASELINE_SNAPSHOT.md; docs/PROJECT_RESULT_SOURCE_INVENTORY.json,项目成果与来源索引图,,True,low,,draw source topology figure
服务器真实能力,服务器上真实可用的 EDA/仿真工具已经完成版本与能力边界审计,docs/SERVER_EDA_TOOL_INVENTORY.csv; docs/SERVER_SIMULATOR_CAPABILITY_AUDIT.md,,server tool inventory,True,low,,reuse server audit outputs
OpenRAM 基线,OpenRAM 是参考基线不是最终 OpenYield 物理结果,docs/openram_gds_generation_audit_report.md; docs/M12O_openram_openyield_gap_audit_report.md,OpenRAM baseline view,,True,low,,capture representative view
简化 layoutgen,layoutgen 可生成真实 GDS 并作为研究平台,outputs/M2R_full_sram_regen/current_supported_config/openyield_layoutgen_full_sram_M2R.report.json,M2R top-level view,M2R metrics table,True,medium,external signoff absent,state limitations explicitly
OpenYield 语义网表,OpenYield 语义和权威源已锁定,docs/openyield_module_contracts.json; docs/OPENYIELD_AUTHORITY_REVALIDATION.json,semantic-to-physical mapping figure,module contract summary,True,low,,render mapping figure
可定制参数体系,项目已区分 fully supported / constrained / partial / roadmap 参数,docs/CUSTOMIZABLE_SRAM_PARAMETER_CATALOG.csv; docs/FORMAL_SRAM_CONFIG_INVENTORY.csv; docs/FORMAL_SRAM_CONFIG_SOURCE_BINDING.csv,parameter flow diagram,formal config inventory,True,low,,reuse formal config inventory and parameter-flow figure
模块级版图生成,模块级物理生成已经在 Team B、DFF、DFF_BUF、primitive 等层面建立,docs/PROJECT_RESULT_STATUS_MATRIX.csv,module inventory figure,module status matrix,True,medium,other-team source recovery still blocked on Owner A confirmation; decoder remains physically blocked,proceed to P1 while keeping blocked external request explicit
Team B 九单元,九单元正式 GDS / negative tests / integration / human review 已闭合,outputs/TeamB_9cell_integration/current_supported_config/TEAM_B_9CELL_INTEGRATION_GATE.json; docs/TEAM_B_OWNER_HUMAN_REVIEW_APPROVAL.json,9-cell integration atlas; AND2/AND3 zero-gap delta,Team B gate summary,True,low,,reuse human review package screenshots
