blocker_id,description,machine_solvable,requires_user_action,requires_teacher_confirmation,requires_external_file,requires_external_tool,blocks_which_stage,resolution_action,status
M12N2-B02,words_per_row > 1 and arbitrary numeric column mux ratio remain unverified.,False,False,False,False,False,post-V1 parameter expansion,Add explicit raw-source-backed mux-ratio contract and generate verified >1 words_per_row samples.,OPEN
M12N2-B03,tech parameter is not connected to a physical PDK abstraction for layout generation.,False,False,False,True,False,physical tech binding,Define a physical tech/PDK contract distinct from simulation model includes.,OPEN
M12N2-B04,No complete DRC/LVS/extraction loop is available for the extracted clean top.,False,False,False,False,True,signoff verification,Create a later physical verification stage after layout integration.,OPEN
M12N2-B05,Control-logic physical implementation has been defined but is not implemented.,False,False,False,False,False,control-logic physical implementation,Advance to the next control-logic qualification/planning stage; do not claim physical-ready before implementation exists.,DEFINED_NOT_IMPLEMENTED
M12N2-B07,OpenRAM references are still missing a matched full SPICE/LEF/Verilog/config contract for direct cross-flow equivalence.,False,False,False,True,False,cross-flow equivalence closure,Provide or align the missing OpenRAM collateral before any equivalence claim.,OPEN
M12C-B08,"Existing OpenYield control-logic candidate GDS files are metadata-rich candidates, not qualified final implementations.",True,False,False,False,False,M12C2_CONTROL_LOGIC_PHYSICAL_LIBRARY_QUALIFICATION,Qualify bbox/pin/rail metadata and verify that each candidate is a real reusable physical unit rather than a debug-only composition.,OPEN
M12C-B09,Pin and rail metadata coverage is incomplete across the full TIME primitive hierarchy.,True,False,False,False,False,M12C2_CONTROL_LOGIC_PHYSICAL_LIBRARY_QUALIFICATION,Run targeted metadata qualification on candidate composites and primitive hardcells.,OPEN
M12C-B10,Candidate control region insertion is expected to affect or at least challenge the current top-level bbox contract.,False,False,False,False,False,M12F_CONTROL_LOGIC_FLOORPLAN_PROTOTYPE_PLAN,Prototype the control-region floorplan and determine whether bbox expansion can be avoided.,OPEN
M12C-B11,OpenRAM control logic remains reference-only and cannot be directly reused as final OpenYield implementation.,False,False,False,False,False,control-logic implementation proof,Use OpenRAM only as floorplan/interface reference and keep OpenYield/layoutgen implementation paths separate.,OPEN
M12C-B12,Several transistor-level primitives still lack a parameterized physical generator plan.,True,False,False,False,False,M12C3_CONTROL_LOGIC_PRIMITIVE_LAYOUT_GENERATOR_PLAN,Define a parameterized transistor-level primitive layout generator or a legal wrapper path for the missing primitives.,OPEN
M12C-B13,FreePDK45 physical tech rule binding is still not connected to the OpenYield control-logic parameter contract.,False,False,False,True,False,technology-aware control-logic implementation,Bind control-logic primitive generation and qualification to an explicit physical tech abstraction.,OPEN
M12C-B14,Legal provenance and qualification boundaries for direct standard-cell-style reuse remain incomplete.,False,False,False,False,False,reuse qualification,Keep existing layoutgen/OpenYield hardcells in qualification-only scope until reuse boundaries are explicitly validated.,OPEN
