relative_path,relevance_category,relevance_to_sram_layoutgen,can_drive_layout_generation,can_provide_netlist_semantics,can_provide_module_definition,can_be_used_in_next_stage
.gitignore,UNKNOWN,UNKNOWN,False,False,False,False
LICENSE,DOCUMENTATION,Documentation or license material; informative for understanding the project but not a layout driver.,False,False,False,False
README.md,DOCUMENTATION,Documentation or license material; informative for understanding the project but not a layout driver.,False,False,False,False
conda,UTILITY,Project-level utility or environment helper with indirect integration relevance only.,False,False,False,False
config.py,CONFIG,Central OpenYield YAML configuration loader that materializes SRAM/global/module semantics used by netlist-generation flows.,False,True,False,True
demo_run_a_testbench.py,SCRIPT_ENTRYPOINT,"Script entrypoint for optimization or estimation flows, useful for locating execution roots but not direct GDS generation.",False,False,False,False
environment.yml,UTILITY,Project-level utility or environment helper with indirect integration relevance only.,False,False,False,False
equivalent_modeling/main_sram.py,UTILITY,"Equivalent-model experiments for simulation acceleration, not a direct physical-layout source.",False,False,False,False
equivalent_modeling/run.sh,UTILITY,"Equivalent-model experiments for simulation acceleration, not a direct physical-layout source.",False,False,False,False
equivalent_modeling/test.ipynb,UTILITY,"Equivalent-model experiments for simulation acceleration, not a direct physical-layout source.",False,False,False,False
img/logo-cut-openyield.jpg,DOCUMENTATION,Documentation image asset with no layout-generation semantics.,False,False,False,False
img/openyield_all-overall.drawio.png,DOCUMENTATION,Documentation image asset with no layout-generation semantics.,False,False,False,False
main_estimation.py,SCRIPT_ENTRYPOINT,"Script entrypoint for optimization or estimation flows, useful for locating execution roots but not direct GDS generation.",False,False,False,False
main_opt.py,SCRIPT_ENTRYPOINT,"Script entrypoint for optimization or estimation flows, useful for locating execution roots but not direct GDS generation.",False,False,False,False
main_sram.py,NETLIST_SOURCE,Top-level OpenYield SRAM netlist generator entrypoint; useful as a trace source for future netlist-to-layout translation.,True,True,False,True
plot_data.py,UTILITY,Project-level utility or environment helper with indirect integration relevance only.,False,False,False,False
readme_compiler.md,DOCUMENTATION,Documentation or license material; informative for understanding the project but not a layout driver.,False,False,False,False
refreshenv,UTILITY,Project-level utility or environment helper with indirect integration relevance only.,False,False,False,False
size_optimization/MOBO/README.md,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
size_optimization/MOBO/__init__.py,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
size_optimization/MOBO/acquisition.py,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
size_optimization/MOBO/bayesian_optimizer.py,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
size_optimization/MOBO/individual.py,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
size_optimization/MOBO/main.py,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
size_optimization/MOBO/population.py,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
size_optimization/MOBO/problem.py,OPTIMIZATION_ALGORITHM,"Optimization-side code for sizing/search, not a physical GDS implementation source.",False,False,False,False
