net_name,net_category,layout_role,source_module,source_pin,target_modules,target_pins,expected_geometry_direction,expected_routing_layer_hint,requires_pitch_alignment,requires_top_level_routing,requires_power_stitching,is_control_signal,is_wordline,is_bitline,is_power,is_clock,source_evidence,status,next_required_action
A[i],ADDRESS,address_distribution,SRAM_TOP,A[i],DFF_ROW,A[i],periphery_bus,control_or_address_bus_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:501-537;sram_compiler/testbenches/sram_6t_core_testbench.py:1025-1040,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
A_dff[i],ADDRESS,address_distribution,DFF_ROW,A_dff[i],row_decoder,A[i],periphery_bus,control_or_address_bus_layer,False,True,False,False,False,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:336-384,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
DEC_WL[i],WORDLINE,row_pitch_aligned_wordline,row_decoder,WL[i],wordline_driver,A,horizontal_across_array_rows,row_path_and_wordline_distribution_layer,True,True,False,False,True,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:375-426,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
WL_EN,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,wl_en,wordline_driver,B,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:640-657;sram_compiler/testbenches/sram_6t_core_testbench.py:416-421,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
WL[i],WORDLINE,row_pitch_aligned_wordline,wordline_driver,Z,bitcell_array,WL[i],horizontal_across_array_rows,row_path_and_wordline_distribution_layer,True,True,False,False,True,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:416-421;978-982,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,bitcell_array,BL[i]/BLB[i],precharge,BL/BLB,vertical_along_array_columns,bitline_stack,True,True,False,False,False,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:461-473,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,precharge,BL/BLB,column_mux,BL[i]/BLB[i],vertical_along_array_columns,bitline_stack,True,True,False,False,False,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:497-512,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
SA_IN[*];SA_INB[*],DATA_IN,write_data_delivery,column_mux,SA_IN/SA_INB,sense_amp,IN/INB,periphery_to_column_path,column_path_input_layer,False,True,False,False,False,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:567-589,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,bitcell_array,BL[i]/BLB[i],sense_amp,IN/INB,vertical_along_array_columns,bitline_stack,True,True,False,False,False,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:579-589,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
SA_Q[*];SA_QB[*],DATA_OUT,read_data_observation,sense_amp,Q/QB,SRAM_TOP,dout path,column_path_to_top_io,column_path_output_layer,False,True,False,False,False,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:551-589;428-442,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
DIN[i],DATA_IN,write_data_delivery,SRAM_TOP,DIN[i],DFF_ROW,DIN[i],periphery_to_column_path,column_path_input_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:507-555;sram_compiler/testbenches/sram_6t_core_testbench.py:625-646,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
DIN_dff[i],DATA_IN,write_data_delivery,DFF_ROW,DIN_dff[i],write_driver,DIN,periphery_to_column_path,column_path_input_layer,False,True,False,False,False,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:612-623,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
w_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,w_en,write_driver,EN,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:687-705;sram_compiler/testbenches/sram_6t_core_testbench.py:619,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,write_driver,BL/BLB,bitcell_array,BL[i]/BLB[i],vertical_along_array_columns,bitline_stack,True,True,False,False,False,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:613-623;978-982,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
rbl,BITLINE,column_pitch_aligned_bitline,replica_array,RBL/RBLB,DELAY_CHAIN,in,vertical_along_array_columns,bitline_stack,True,True,False,False,False,True,False,False,sram_compiler/subcircuits/time_generate.py:659-676;sram_compiler/testbenches/sram_6t_core_testbench.py:143-197,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
rbl_delay,TIMING_REPLICA,replica_timing_distribution,DELAY_CHAIN,out,SENSE_ENABLE_PATH,input,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:705-720,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
rbl_delay_bar,TIMING_REPLICA,replica_timing_distribution,DELAY_CHAIN,out_bar,WRITE_ENABLE_PATH,input,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:666-705,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
PRE,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,PRE,precharge,ENB,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:735-756;sram_compiler/testbenches/sram_6t_core_testbench.py:463-472,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
s_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,s_en,sense_amp,EN,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:705-720;sram_compiler/testbenches/sram_6t_core_testbench.py:573-587,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
clk_buf,CLOCK,clock_distribution,CONTROL_LOGIC,clk_buf,DFF_ROW,CLK,top_clock_spine,clock_distribution_layer,False,True,False,False,False,False,False,True,sram_compiler/subcircuits/time_generate.py:523-607,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
gated_clk_bar;gated_clk_buf,CLOCK,clock_distribution,CONTROL_LOGIC,gated_clk_bar/gated_clk_buf,GATED_CLOCK_PATH,internal gates,top_clock_spine,clock_distribution_layer,False,True,False,False,False,False,False,True,sram_compiler/subcircuits/time_generate.py:608-639,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
wl_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,wl_en,WORDLINE_ENABLE_PATH,derived output,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:640-657,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
PRE,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,PRE,PRECHARGE_ENABLE_PATH,derived output,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:735-756,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
w_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,w_en,WRITE_ENABLE_PATH,derived output,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:687-705,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
s_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,s_en,SENSE_ENABLE_PATH,derived output,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:705-720,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
VDD;VSS,POWER,power_distribution,VDD/GND,VDD/VSS,all_modules,power pins,top_level_rails_and_stitches,power_rail_layers,False,False,True,False,False,False,True,False,sram_compiler/subcircuits/base_subcircuit.py:10;sram_compiler/testbenches/sram_6t_core_testbench.py:861-863,MAPPED,Preserve this semantic-to-layout mapping in R2/R3 generator interfaces.
clk,CLOCK,clock_distribution,SRAM_TOP,clk,CONTROL_LOGIC;GATED_CLOCK_PATH;DFF_ROW,clk,top_clock_spine,clock_distribution_layer,False,True,False,False,False,False,False,True,docs/mapping/openyield_top_bank_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,MAPPED,Preserve this top-level semantic net in the R2/R3 layout intent interfaces.
csb,CONTROL,control_enable_distribution,SRAM_TOP,csb,CONTROL_LOGIC;DFF_ROW,csb,periphery_control_spine,control_bus_layer,False,True,False,True,False,False,False,False,docs/mapping/openyield_top_bank_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,MAPPED,Preserve this top-level semantic net in the R2/R3 layout intent interfaces.
web,CONTROL,control_enable_distribution,SRAM_TOP,web,CONTROL_LOGIC;DFF_ROW,web,periphery_control_spine,control_bus_layer,False,True,False,True,False,False,False,False,docs/mapping/openyield_top_bank_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,MAPPED,Preserve this top-level semantic net in the R2/R3 layout intent interfaces.
DOUT[i],DATA_OUT,read_data_observation,sense_amp,dout,SRAM_TOP,DOUT[i],column_path_to_top_io,column_path_output_layer,False,True,False,False,False,False,False,False,docs/mapping/openyield_top_bank_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,MAPPED,Preserve this top-level semantic net in the R2/R3 layout intent interfaces.
VDD,POWER,power_distribution,SRAM_TOP,VDD,ALL_MODULES,VDD,top_level_rails_and_stitches,power_rail_layers,False,False,True,False,False,False,True,False,docs/mapping/openyield_top_bank_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,MAPPED,Preserve this top-level semantic net in the R2/R3 layout intent interfaces.
VSS,GROUND,ground_distribution,SRAM_TOP,VSS,ALL_MODULES,GND,top_level_rails_and_stitches,power_rail_layers,False,False,True,False,False,False,True,False,docs/mapping/openyield_top_bank_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,MAPPED,Preserve this top-level semantic net in the R2/R3 layout intent interfaces.
RBL,TIMING_REPLICA,replica_timing_distribution,replica_array,RBL,DELAY_CHAIN;CONTROL_LOGIC,rbl;delay_in,replica_chain_periphery_route,control_timing_layer,False,True,False,False,False,False,False,False,docs/mapping/openyield_top_bank_semantic_contract.json;docs/mapping/openyield_module_connection_matrix.csv,MAPPED,Preserve this top-level semantic net in the R2/R3 layout intent interfaces.
