item_id,item,source_path,source_sha,recommended_view,debug_layers_to_hide,resolution,caption_points,availability,owner
FIG001,OpenRAM baseline layout,technology/freepdk45/gds_lib/*.gds; docs/openram_gds_generation_audit_report.md,4440b1585623b44aaf2eafa8ac63eed9fdeaff57a4bb768a075551c4ef1b05e7,代表 bitcell/column/read path,text/debug,300dpi,OpenRAM reference baseline only,SPEC_READY_MANUAL_CAPTURE,project
FIG002,简化 layoutgen 8x64_wpr4,outputs/M2R_full_sram_regen/current_supported_config/openyield_layoutgen_full_sram_M2R.presentation.gds,df03b0ee9a61e15f0e21280ebc368568c9f8330254d1344fd9ed10e87cd0a6ef,top-level macro overview,route_guides/debug,300dpi,generated top-level trial; internal DRC clean; not signoff-complete,SPEC_READY_MANUAL_CAPTURE,project
FIG003,OpenYield representative module,outputs/TeamB_9cell_integration/current_supported_config/TEAM_B_9CELL_CLEAN_ATLAS.gds,da264d7a160572815ff063a2c4dbfec112ba944e7e81ce54f18802f1cb8e4f93,9-cell library overview,annotation-only if needed,300dpi,Team B integrated physical library,READY_EXISTING,Team B
FIG004,Team B 9-cell integration atlas,/data1/qujh/TEAM_B_9CELL_INTEGRATION_HUMAN_REVIEW_PACKAGE_LATEST.tar.gz,26d5fd1139eab90bb6a6b2092dd6c9a6775299e6ea563149ea946b68ca91fe96,clean atlas and support atlases,none for review,300dpi,0-marker combined DRC and 28/28 negative tests,READY_EXISTING,Team B
FIG005,AND2/AND3 zero-gap comparison,outputs/TeamB_and_gate_abutment_optimization/AND2_AND3_ABUTMENT_DECISION.md,41ff95b7adaaed23f01fd1b85600e660c6a4a616835086d7417ec281cabd89cb,baseline vs zero-gap review atlas,debug labels in formal GDS,300dpi,parent power stitching true while child edge abutment false,READY_EXISTING,Team B
FIG006,delay-chain stage/load schematic,docs/figures/delay_chain_stage_load_baseline.mmd,8be9bf1b737191d439ea0a65f577c7173110c5619325945fe86cc719b1f4b04a,9x4 and 4x4 baseline,n/a,vector,current baseline fixed; future parameterization roadmap,READY_EXISTING,Team B
FIG007,parameter flow diagram,docs/figures/parameter_flow_diagram.mmd,6c7a04a7646027294363c62119cbf14e1421b4f03140f64026c81a8bcbb6ac1c,config to verification pipeline,n/a,vector,"parameter legality, netlist, placement, routing, verification",READY_EXISTING,project
FIG008,three-route architecture comparison,docs/figures/three_route_architecture_comparison.mmd,8f99ce62499e78333fd0a109f1e2556a1e7efdf2e8302c0e36c6bafac894a8c8,three-column comparison diagram,n/a,vector,OpenRAM vs simplified layoutgen vs OpenYield,READY_EXISTING,project
FIG009,representative area/runtime table,docs/SRAM_CONFIGURATION_INVENTORY.csv,884083ba98625ee1b890282696cb705ae7b75165a39cedfd22314c080c1cd306,table,n/a,print,only explicit evidence-backed configs,SPEC_READY_MANUAL_CAPTURE,project
FIG010,verification summary table,docs/PROJECT_RESULT_STATUS_MATRIX.csv,024a54ace908af29fdf3cae89da7de3079ef62705df354a496bf104f72c0593f,status matrix,n/a,print,MACHINE_VERIFIED vs HUMAN_REVIEWED vs MERGED,SPEC_READY_MANUAL_CAPTURE,project
