entry_id,net_name,net_category,shape_type,shape_bbox,layer_hint,approximation_type,affected_modules,why_approximate,blocks_complete_gds,required_fix_stage,recommended_fix
approx_000,WL[0],WORDLINE,route_segment,"{'x0': 4.085, 'y0': 8.64165, 'x1': 15.53, 'y1': 8.92335, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,BBOX_ONLY_ROUTE,"('bitcell_array',)",Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_001,WL[1],WORDLINE,route_segment,"{'x0': 4.085, 'y0': 10.20665, 'x1': 15.53, 'y1': 10.48835, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,BBOX_ONLY_ROUTE,"('bitcell_array',)",Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_002,WL[2],WORDLINE,route_segment,"{'x0': 4.085, 'y0': 11.77165, 'x1': 15.53, 'y1': 12.05335, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,BBOX_ONLY_ROUTE,"('bitcell_array',)",Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_003,WL[3],WORDLINE,route_segment,"{'x0': 4.085, 'y0': 13.33665, 'x1': 15.53, 'y1': 13.61835, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,BBOX_ONLY_ROUTE,"('bitcell_array',)",Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_004,BL[0],BITLINE,route_segment,"{'x0': 12.228225, 'y0': 8.05, 'x1': 12.353525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_008,BR[0],BITLINE,route_segment,"{'x0': 12.541475, 'y0': 8.05, 'x1': 12.666775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_012,BL[1],BITLINE,route_segment,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_016,BR[1],BITLINE,route_segment,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_020,BL[2],BITLINE,route_segment,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_024,BR[2],BITLINE,route_segment,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_028,BL[3],BITLINE,route_segment,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_032,BR[3],BITLINE,route_segment,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BBOX_ONLY_ROUTE,"('precharge',)",Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_036,precharge_en,CONTROL,route_segment,"{'x0': 12.3925, 'y0': 10.0075, 'x1': 24.6325, 'y1': 16.645, 'width': 12.24, 'height': 6.6375}",M4_control_spine,BBOX_ONLY_ROUTE,"('precharge',)",Tighten control fanout and exact landing vias during R5 detailed connectivity review.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_037,sense_en,CONTROL,route_segment,"{'x0': 14.1775, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.94, 'width': 10.455, 'height': 8.9325}",M4_control_spine,BBOX_ONLY_ROUTE,"('sense_amp',)",Tighten control fanout and exact landing vias during R5 detailed connectivity review.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_038,write_en,CONTROL,route_segment,"{'x0': 15.105, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.0225, 'width': 9.5275, 'height': 8.015}",M4_control_spine,BBOX_ONLY_ROUTE,"('write_driver',)",Tighten control fanout and exact landing vias during R5 detailed connectivity review.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_039,wordline_en,CONTROL,route_segment,"{'x0': 2.3125, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.2525, 'width': 22.32, 'height': 8.245}",M4_control_spine,BBOX_ONLY_ROUTE,"('wordline_driver',)",Tighten control fanout and exact landing vias during R5 detailed connectivity review.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
