net_name,net_class,source_instance,source_pin,destination_instance,destination_pin,bit_index,direction,polarity,timing_class,differential_pair,allowed_layer_class,must_be_matched,must_be_shielded,authority_source,authority_level,note
WL0,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[0].Z,array,WL0,0,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL0,bitline,array,BL0,column_path,BL0,0,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR0,bitline,array,BR0,column_path,BR0,0,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN0,data_write,top_pin,DIN0,write_driver,DIN,0,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT0,data_read,sense_amplifier,Q,top_pin,DOUT0,0,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL1,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[1].Z,array,WL1,1,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL1,bitline,array,BL1,column_path,BL1,1,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR1,bitline,array,BR1,column_path,BR1,1,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN1,data_write,top_pin,DIN1,write_driver,DIN,1,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT1,data_read,sense_amplifier,Q,top_pin,DOUT1,1,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL2,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[2].Z,array,WL2,2,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL2,bitline,array,BL2,column_path,BL2,2,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR2,bitline,array,BR2,column_path,BR2,2,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
