module,required_primitives,ready_primitives,not_ready_primitives,all_primitives_ready,module_can_generate_standalone_gds_now,module_can_generate_top_level_gds_now,blocking_primitive_gaps,next_required_action,evidence_files
SRAM_TOP,bitcell;dummy_cell;replica_cell;precharge_cell;column_mux;sense_amp;write_driver;wordline_driver;dff_cell;delay_inv;inv;nand2;nand3;and3,bitcell;column_mux;delay_inv;dff_cell;dummy_cell;inv;nand2;replica_cell;sense_amp;wordline_driver;write_driver,and3;nand3;precharge_cell,False,False,False,precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION;nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;and3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/dummy_row_or_column.py;sram_compiler/subcircuits/mux_and_sa.py;sram_compiler/subcircuits/precharge_and_write_driver.py;sram_compiler/subcircuits/replica_column.py;sram_compiler/subcircuits/sram_6t_core.py;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/cell_1rw.gds;technology/freepdk45/gds_lib/dff.gds;technology/freepdk45/gds_lib/dummy_cell_1rw.gds;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds;technology/freepdk45/gds_lib/replica_cell_1rw.gds;technology/freepdk45/gds_lib/sense_amp.gds;technology/freepdk45/gds_lib/write_driver.gds
BANK,bitcell;dummy_cell;replica_cell;precharge_cell;column_mux;sense_amp;write_driver;wordline_driver;dff_cell;delay_inv;inv;nand2;nand3;and3,bitcell;column_mux;delay_inv;dff_cell;dummy_cell;inv;nand2;replica_cell;sense_amp;wordline_driver;write_driver,and3;nand3;precharge_cell,False,False,False,precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION;nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;and3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/dummy_row_or_column.py;sram_compiler/subcircuits/mux_and_sa.py;sram_compiler/subcircuits/precharge_and_write_driver.py;sram_compiler/subcircuits/replica_column.py;sram_compiler/subcircuits/sram_6t_core.py;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/cell_1rw.gds;technology/freepdk45/gds_lib/dff.gds;technology/freepdk45/gds_lib/dummy_cell_1rw.gds;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds;technology/freepdk45/gds_lib/replica_cell_1rw.gds;technology/freepdk45/gds_lib/sense_amp.gds;technology/freepdk45/gds_lib/write_driver.gds
bitcell_array,bitcell,bitcell,,True,True,True,,Proceed to L2 abutment/rail closure.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/sram_6t_core.py;technology/freepdk45/gds_lib/cell_1rw.gds
dummy_array,dummy_cell,dummy_cell,,True,True,True,,Proceed to L2 abutment/rail closure.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/dummy_row_or_column.py;technology/freepdk45/gds_lib/dummy_cell_1rw.gds
replica_array,replica_cell;precharge_cell,replica_cell,precharge_cell,True,False,False,precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;sram_compiler/subcircuits/replica_column.py;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds;technology/freepdk45/gds_lib/replica_cell_1rw.gds
row_decoder,inv;nand3;and3;decoder_leaf_gate,inv,and3;decoder_leaf_gate;nand3,False,False,False,nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;and3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;decoder_leaf_gate:FALLBACK_ONLY,Resolve primitive physical source or fallback first.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds
wordline_decoder,inv;nand3;and3;wordline_decoder_leaf_gate,inv,and3;nand3;wordline_decoder_leaf_gate,False,False,False,nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;and3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;wordline_decoder_leaf_gate:FALLBACK_ONLY,Resolve primitive physical source or fallback first.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds
decoder_gate_cells,inv;nand3;and2;and3;decoder_leaf_gate,inv,and2;and3;decoder_leaf_gate;nand3,False,False,False,nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;and2:FALLBACK_ONLY;and3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;decoder_leaf_gate:FALLBACK_ONLY,Resolve primitive physical source or fallback first.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/stdcell.py::gen_nand2 + gen_inv composition;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds
wordline_driver,wordline_driver;nand2;inv,inv;nand2;wordline_driver,,True,True,False,,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds
wordline_driver_gate_cells,wordline_driver_leaf_gate;nand2;inv,inv;nand2,wordline_driver_leaf_gate,True,False,False,wordline_driver_leaf_gate:FALLBACK_ONLY,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/wordline_driver.py;sram_layoutgen/stdcell.py::gen_wl_driver;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds
