logical_module,candidate_cell_name,candidate_gds_path,expected_source_class,source_trace_complete,parameter_trace_complete,gds_parsed,expected_cell_found,bbox_valid,real_non_debug_geometry,pin_set_match,pin_geometry_complete,power_rail_geometry_complete,obvious_hierarchy_or_connectivity_failure,physical_strategy,qualification_status,blocking_reason,allowed_use
ADDR_DFF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,ADDR_DFF,True,False,True,True,True,False,True,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,QUALIFIED_FOR_HIERARCHICAL_COMPOSITION,"Qualified as a bounded hierarchical child candidate, not as a final CONTROL_LOGIC top.",HIERARCHICAL_CHILD_ONLY
AND2,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,AND2,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SOURCE_MISMATCH,Candidate file represents a broader path/composite or the wrong primitive type.,DO_NOT_USE
AND3,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,AND3,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SOURCE_MISMATCH,Candidate file represents a broader path/composite or the wrong primitive type.,DO_NOT_USE
DATA_DFF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,DATA_DFF,True,False,True,True,True,False,True,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,QUALIFIED_FOR_HIERARCHICAL_COMPOSITION,"Qualified as a bounded hierarchical child candidate, not as a final CONTROL_LOGIC top.",HIERARCHICAL_CHILD_ONLY
DFF,dff,,dff,True,False,True,True,True,True,False,False,False,False,LAYOUTGEN_REFERENCE_ONLY,QUALIFIED_REFERENCE_ONLY,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance.",REFERENCE_ONLY
DFF_BUF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,DFF_BUF,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,PARTIAL_SOURCE_TRACE,"Candidate composite provides some geometry, but source-to-physical trace is incomplete for exact logical reuse.",DO_NOT_USE
NMOS_VTG,,,NMOS_VTG,False,False,False,False,False,False,False,False,False,True,UNKNOWN,DEVICE_MODEL_NOT_A_HARDMACRO,"SPICE device model name, not a placeable hardmacro.",DO_NOT_USE
PINV,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,PINV,True,True,True,True,True,True,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,QUALIFIED_REFERENCE_ONLY,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance.",REFERENCE_ONLY
PINV1,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,PINV1,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SIZE_ALIAS_COLLISION,One fixed candidate GDS was mapped to multiple logically distinct size variants.,DO_NOT_USE
PINV2,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,PINV2,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SIZE_ALIAS_COLLISION,One fixed candidate GDS was mapped to multiple logically distinct size variants.,DO_NOT_USE
PINV3,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,PINV3,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SIZE_ALIAS_COLLISION,One fixed candidate GDS was mapped to multiple logically distinct size variants.,DO_NOT_USE
PINV4,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,PINV4,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SIZE_ALIAS_COLLISION,One fixed candidate GDS was mapped to multiple logically distinct size variants.,DO_NOT_USE
PINV_wl_en_bar,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,PINV_wl_en_bar,True,True,True,True,True,True,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,QUALIFIED_REFERENCE_ONLY,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance.",REFERENCE_ONLY
PMOS_VTG,,,PMOS_VTG,False,False,False,False,False,False,False,False,False,True,UNKNOWN,DEVICE_MODEL_NOT_A_HARDMACRO,"SPICE device model name, not a placeable hardmacro.",DO_NOT_USE
PNAND2,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,PNAND2,True,True,True,True,True,True,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,QUALIFIED_REFERENCE_ONLY,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance.",REFERENCE_ONLY
PNAND3,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,PNAND3,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SOURCE_MISMATCH,Candidate file represents a broader path/composite or the wrong primitive type.,DO_NOT_USE
TIME,CONTROL_LOGIC,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,TIME,True,False,True,True,True,False,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,CONNECTIVITY_UNPROVEN,Top composite exists only as candidate assembly; electrical equivalence is not proven.,DO_NOT_USE
TRANSMISSION_GATE,,,TransmissionGate,False,False,False,False,False,False,False,False,False,True,PARAMETERIZED_TRANSISTOR_LAYOUT_REQUIRED,MISSING_REQUIRES_GENERATOR,No standalone candidate GDS or qualified primitive layout generator exists.,DO_NOT_USE
delay_chain,DELAY_CHAIN,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,DelayChain,True,True,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,QUALIFIED_FIXED_VARIANT_ONLY,Qualified only for one fixed candidate variant with bounded use.,HIERARCHICAL_CHILD_ONLY
pdrive,GATED_CLOCK_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,pdrive,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SOURCE_MISMATCH,Candidate file represents a broader path/composite or the wrong primitive type.,DO_NOT_USE
pdrive2_for_pre,PRECHARGE_ENABLE_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,pdrive2_for_pre,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SOURCE_MISMATCH,Candidate file represents a broader path/composite or the wrong primitive type.,DO_NOT_USE
wl_pdrive,WORDLINE_ENABLE_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,wl_pdrive,True,False,True,True,True,False,False,True,True,False,HIERARCHICAL_PRIMITIVE_COMPOSITION,REJECTED_SOURCE_MISMATCH,Candidate file represents a broader path/composite or the wrong primitive type.,DO_NOT_USE
