object_name,object_type,allowed_orientations,default_orientation,row_alternation_policy,array_alternation_policy,recommended_policy,forbidden_policy,reason,cross_row_power_short_risk,pin_access_consideration,orientation_policy_status,blocking_gap,next_required_action,evidence_files
bitcell,primitive,"R0,MX",R0,alternate_adjacent_rows_between_R0_and_MX,MX_R0_storage_checkerboard_by_row,alternating_MX_R0_storage_rows,all_R0_storage_rows,Storage rows already carry R0/MX seam evidence; alternating rows avoids seam shorts and preserves pin/rail symmetry.,high_if_all_rows_share_same_seam_orientation,bitline/wordline edges remain regular under row alternation,ORIENTATION_POLICY_CLOSED,,Freeze alternating storage orientation in L3 array exporter.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/sram_6t_core.py;technology/freepdk45/gds_lib/cell_1rw.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
dummy_cell,primitive,"R0,MX",R0,alternate_adjacent_rows_between_R0_and_MX,MX_R0_storage_checkerboard_by_row,alternating_MX_R0_storage_rows,all_R0_storage_rows,Storage rows already carry R0/MX seam evidence; alternating rows avoids seam shorts and preserves pin/rail symmetry.,high_if_all_rows_share_same_seam_orientation,bitline/wordline edges remain regular under row alternation,ORIENTATION_POLICY_CLOSED,,Freeze alternating storage orientation in L3 array exporter.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/dummy_row_or_column.py;technology/freepdk45/gds_lib/dummy_cell_1rw.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
replica_cell,primitive,"R0,MX",R0,alternate_adjacent_rows_between_R0_and_MX,MX_R0_storage_checkerboard_by_row,alternating_MX_R0_storage_rows,all_R0_storage_rows,Storage rows already carry R0/MX seam evidence; alternating rows avoids seam shorts and preserves pin/rail symmetry.,high_if_all_rows_share_same_seam_orientation,bitline/wordline edges remain regular under row alternation,ORIENTATION_POLICY_CLOSED,,Freeze alternating storage orientation in L3 array exporter.,docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/replica_column.py;technology/freepdk45/gds_lib/replica_cell_1rw.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
inv,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
delay_inv,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nand2,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nand3,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
nand4,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,technology/freepdk45/gds_lib/gen_nand4.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nor2,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,technology/freepdk45/gds_lib/gen_nor2.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
nor3,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,docs/openyield_cell_rail_overlap_eligibility_report.json
