parameter_name,source,evidence,status,notes
num_rows,sram_compiler/config_yaml/global.yaml,global.yaml key + GlobalConfig.num_rows,SUPPORTED,Directly loaded by SRAM_CONFIG and used by testbench/core factories.
num_cols,sram_compiler/config_yaml/global.yaml,global.yaml key + GlobalConfig.num_cols,SUPPORTED,Directly loaded by SRAM_CONFIG and used by testbench/core factories.
choose_columnmux,sram_compiler/config_yaml/global.yaml,global.yaml key + testbench choose_columnmux branch,SUPPORTED,Directly gates column mux behavior in testbench flow.
corner,sram_compiler/config_yaml/global.yaml,corner + pdk_path_* lookup,SUPPORTED,Directly selects PDK model include path.
temperature,sram_compiler/config_yaml/global.yaml,temperature field passed into run_mc_simulation,SUPPORTED,"Runtime simulation parameter, not a direct layout parameter."
sram_cell_type,sram_compiler/config_yaml/global.yaml,SRAM_6T_CELL / SRAM_10T_CELL dispatch,SUPPORTED,Selects 6T vs 10T cell/core/testbench path.
word_size,derived from num_cols and optional column mux behavior,No explicit top-level word_size field in OpenYield global config,PARTIAL,Current flow exposes num_cols instead of a locked word_size contract.
num_words,derived from num_rows,No explicit top-level num_words field in OpenYield global config,PARTIAL,Current flow exposes num_rows rather than a raw-source num_words contract.
words_per_row,not explicitly modeled as a top-level config field,No global.yaml key or top-level function argument found,UNKNOWN,"Column-mux behavior exists, but a raw authoritative words_per_row contract is not locked."
mux_ratio,choose_columnmux plus module behavior,"Boolean choose_columnmux exists, but numeric mux ratio contract is not explicit",PARTIAL,"Presence of column mux is configurable, but ratio is not locked as a top-level scalar."
tech,global.yaml pdk_path_* model includes,"Model files imply simulator tech corner, not a layout-authority tech contract",PARTIAL,Technology is indirectly represented by transistor model paths.
control_timing_parameters,global.yaml + TIME / BaseTestbench timing fields,"timeout, vdd, and timing waveforms in testbench code",SUPPORTED,"Supported for simulation/testbench timing, not yet a pure layout control-path contract."
