openyield_module,golden_target_cell_or_region,golden_match_status,module_bbox,golden_bbox,bbox_compatible,pin_mapping_summary,pin_compatible,rail_compatible,pitch_compatible,layer_compatible,floorplan_safe,placement_safe,routing_safe,power_safe,requires_wrapper,comparison_notes
CONTROL_LOGIC,control_logic;control_glue,UNKNOWN_GOLDEN_REGION,6.105x4.235,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
DELAY_CHAIN,gen_delay_inv chain,UNKNOWN_GOLDEN_REGION,3.29x2.585,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
DFF_ROW,dff array,UNKNOWN_GOLDEN_REGION,11.44x2.67,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
GATED_CLOCK_PATH,control_glue,UNKNOWN_GOLDEN_REGION,2.6825x2.96,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
PRECHARGE_ENABLE_PATH,control_glue,UNKNOWN_GOLDEN_REGION,4.245x4.065,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
SENSE_ENABLE_PATH,control_glue,UNKNOWN_GOLDEN_REGION,3.4225x7.575,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
WORDLINE_ENABLE_PATH,control_glue,UNKNOWN_GOLDEN_REGION,3.8675x3.07,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
WRITE_ENABLE_PATH,control_glue,UNKNOWN_GOLDEN_REGION,1.6625x6.76,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
bitcell_array,cell_1rw,UNKNOWN_GOLDEN_REGION,3.58x6.26,0.895x1.565,False,array_bus_contract_only,False,True,True,True,False,False,False,False,False,Only leaf-cell proxies are visible in golden; the corresponding assembled array region is not auto-isolated.
column_mux,gen_col_mux_vdd_labeled,ALIAS_GOLDEN_CELL,0.8175x1.88,0.805x1.8,True,all_major_pins_mappable,True,True,True,True,True,True,True,True,True,"Golden comparison is against the layoutgen leaf cell used by the locked flow, not a substituted SRAM top-level region."
decoder_gate_cells,row_decoder role instances,UNKNOWN_GOLDEN_REGION,5.2825x3.045,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
dummy_array,dummy_cell_1rw,UNKNOWN_GOLDEN_REGION,3.58x6.26,0.895x1.565,False,array_bus_contract_only,False,True,True,True,False,False,False,False,False,Only leaf-cell proxies are visible in golden; the corresponding assembled array region is not auto-isolated.
precharge,gen_precharge,EXACT_GOLDEN_CELL,0.785x1.42,0.7125x1.39,True,all_major_pins_mappable,False,True,True,True,True,True,False,True,False,"Golden comparison is against the layoutgen leaf cell used by the locked flow, not a substituted SRAM top-level region."
replica_array,replica_cell_1rw,UNKNOWN_GOLDEN_REGION,1.79x7.68,0.895x1.565,False,array_bus_contract_only,False,True,True,True,False,False,False,False,False,Only leaf-cell proxies are visible in golden; the corresponding assembled array region is not auto-isolated.
row_decoder,row_decoder role instances,UNKNOWN_GOLDEN_REGION,4.245x3.13,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
sense_amp,sense_amp,EXACT_GOLDEN_CELL,0.775x6.01,0.775x6.01,True,all_major_pins_mappable,True,True,True,True,True,True,True,True,False,"Golden comparison is against the layoutgen leaf cell used by the locked flow, not a substituted SRAM top-level region."
wordline_decoder,row_decoder role instances,UNKNOWN_GOLDEN_REGION,4.245x3.045,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
wordline_driver,gen_wl_driver,EXACT_GOLDEN_CELL,3.045x1.505,3.075x1.4325,True,all_major_pins_mappable,True,True,True,True,True,True,True,True,True,"Golden comparison is against the layoutgen leaf cell used by the locked flow, not a substituted SRAM top-level region."
wordline_driver_gate_cells,wordline_driver role instances,UNKNOWN_GOLDEN_REGION,2.8975x2.96,,False,semantic_binding_only,False,False,False,False,False,False,False,False,True,"Golden flow uses a regenerated layoutgen region or role-based composite for this module, not a standalone golden hardmacro cell that can be auto-extracted."
write_driver,write_driver,EXACT_GOLDEN_CELL,0.84x4.175,0.84x4.175,True,all_major_pins_mappable,True,True,True,True,True,True,True,True,False,"Golden comparison is against the layoutgen leaf cell used by the locked flow, not a substituted SRAM top-level region."
